
[00:00:00.000 --> 00:00:04.680]   [MUSIC PLAYING]
[00:00:04.680 --> 00:00:07.200]   Welcome to the community panel at the Fully Connected
[00:00:07.200 --> 00:00:09.840]   Conference presented by Weights & Biases.
[00:00:09.840 --> 00:00:13.360]   My name is Corey Straussman, and I'm a community manager.
[00:00:13.360 --> 00:00:16.280]   I'm excited to spotlight two members of our community,
[00:00:16.280 --> 00:00:19.960]   Andrada and Atharva, who will be presenting on today's topic,
[00:00:19.960 --> 00:00:21.880]   Built with WMB.
[00:00:21.880 --> 00:00:24.200]   As we continue to grow, you will see a lot
[00:00:24.200 --> 00:00:28.360]   of focus on the most successful part of WMB, you.
[00:00:28.360 --> 00:00:32.080]   We'd love to capture what you have utilized WMB to build
[00:00:32.080 --> 00:00:34.960]   and provide a platform for your ML practice.
[00:00:34.960 --> 00:00:37.520]   Today, I'm excited to introduce our panelists, who
[00:00:37.520 --> 00:00:40.800]   have accomplished so much with Weights & Biases.
[00:00:40.800 --> 00:00:44.400]   First, Andrada is a data scientist at Endeva,
[00:00:44.400 --> 00:00:48.520]   a WMB dev expert, Kaggle Notebooks Grandmaster,
[00:00:48.520 --> 00:00:52.240]   and ZBHP Global Data Science Ambassador.
[00:00:52.240 --> 00:00:53.600]   Andrada, welcome.
[00:00:53.600 --> 00:00:55.840]   Thank you, Corey, so much for the introduction.
[00:00:55.840 --> 00:00:59.400]   I'm super happy and grateful to be with you today.
[00:00:59.400 --> 00:01:03.240]   So before getting started, a little bit of a back story.
[00:01:03.240 --> 00:01:05.680]   So when I started doing data science,
[00:01:05.680 --> 00:01:08.400]   and I was starting to do experiments,
[00:01:08.400 --> 00:01:12.040]   I didn't even know at that time these are called experiments.
[00:01:12.040 --> 00:01:14.760]   And I remember I was doing, I think,
[00:01:14.760 --> 00:01:18.040]   the Melanoma competition on Kaggle a couple of years ago.
[00:01:18.040 --> 00:01:22.840]   And I was experimenting with efficient nets,
[00:01:22.840 --> 00:01:26.720]   and epoch sizes, and batch sizes.
[00:01:26.720 --> 00:01:28.680]   And it was super, super, super fun.
[00:01:28.680 --> 00:01:31.360]   And I was keeping all the outputs,
[00:01:31.360 --> 00:01:36.320]   the recording of all the outputs and the results in my notebook.
[00:01:36.320 --> 00:01:40.400]   And I had pages of pages of changes or little tweaks
[00:01:40.400 --> 00:01:41.440]   that I was doing.
[00:01:41.440 --> 00:01:42.800]   And I was writing them down.
[00:01:42.800 --> 00:01:47.600]   And of course, at some point, I kept track of some information
[00:01:47.600 --> 00:01:49.920]   or some information was lost in the process
[00:01:49.920 --> 00:01:51.240]   and was quite hectic.
[00:01:51.240 --> 00:01:52.880]   It was fun, but it was super hectic.
[00:01:52.880 --> 00:01:55.240]   And I didn't know, actually, there
[00:01:55.240 --> 00:02:03.320]   is a smart way to keep track of everything that I was doing
[00:02:03.320 --> 00:02:06.440]   instead of, I don't know, just writing on hard paper.
[00:02:06.440 --> 00:02:08.360]   And then I discovered weights and biases.
[00:02:08.360 --> 00:02:12.600]   And at this point, every time I'm doing anything,
[00:02:12.600 --> 00:02:15.680]   I am using weights and biases because it's extremely,
[00:02:15.680 --> 00:02:17.960]   extremely easy and seamless.
[00:02:17.960 --> 00:02:21.440]   And it goes right in the code.
