
[00:00:00.000 --> 00:00:17.200]   Thanks, everybody, for coming.
[00:00:17.200 --> 00:00:19.400]   Yeah, I wanted to talk about some work
[00:00:19.400 --> 00:00:23.120]   I've done recently on trying to figure out
[00:00:23.120 --> 00:00:26.440]   just how fast these inference engines are
[00:00:26.440 --> 00:00:30.000]   when you run open models on them.
[00:00:30.000 --> 00:00:35.040]   So I've been talking at AI Engineer
[00:00:35.040 --> 00:00:38.880]   since it was AI Engineer Summit two years ago.
[00:00:38.880 --> 00:00:43.020]   And for a long time, it's basically
[00:00:43.020 --> 00:00:46.320]   been the open AI wrapper conference, right?
[00:00:46.320 --> 00:00:48.640]   It's like, just because, yeah, what am I going to do?
[00:00:48.640 --> 00:00:49.900]   Am I going to run an agent with Burt?
[00:00:49.900 --> 00:00:51.680]   Probably not.
[00:00:51.680 --> 00:00:55.200]   And it was exciting to talk about all these cool new technologies,
[00:00:55.200 --> 00:00:58.960]   see people building stuff like Cursor on top of them, or Devon.
[00:00:58.960 --> 00:01:01.300]   But for me, as somebody coming from having
[00:01:01.300 --> 00:01:04.000]   trained my own models a lot, it was like, oh, man,
[00:01:04.000 --> 00:01:05.060]   I want to touch the weights.
[00:01:05.060 --> 00:01:06.720]   I want to play with them.
[00:01:06.720 --> 00:01:09.840]   I want to hack them.
[00:01:09.840 --> 00:01:11.980]   But the quality just wasn't there yet
[00:01:11.980 --> 00:01:14.900]   to do some of the interesting stuff.
[00:01:14.900 --> 00:01:15.720]   And that's changed.
[00:01:15.720 --> 00:01:17.500]   You've got the Llama series.
[00:01:17.500 --> 00:01:18.700]   We've got the Quinn series.
[00:01:18.700 --> 00:01:20.300]   We've got Deep Seek.
[00:01:20.300 --> 00:01:24.720]   And so now we're catching up to maybe even literally catching up
[00:01:24.720 --> 00:01:27.100]   with the frontier labs, which would be pretty crazy.
[00:01:27.100 --> 00:01:30.140]   But we're at the very least at the point where a lot of things
[00:01:30.140 --> 00:01:32.260]   people have been talking about at AI Engineer for years
[00:01:32.260 --> 00:01:35.540]   are possible with open weights models, where they weren't before.
[00:01:35.540 --> 00:01:37.540]   And at the same time, there's also the development
[00:01:37.540 --> 00:01:39.300]   of the software stack on top of that.
[00:01:39.300 --> 00:01:41.640]   Also, as somebody coming from writing
[00:01:41.640 --> 00:01:43.640]   and running my own PyTorch models, I was like,
[00:01:43.640 --> 00:01:45.380]   how hard could it be to run a language model?
[00:01:45.380 --> 00:01:49.680]   Like, you just torch nn.module, wrap a class around it.
[00:01:49.680 --> 00:01:52.760]   And yeah, I mean, having done stuff with Transformers before,
[00:01:52.760 --> 00:01:54.480]   it's like, oh yeah, it's a little more complicated
[00:01:54.480 --> 00:01:55.260]   with Transformers.
[00:01:55.260 --> 00:01:56.120]   Training looks weird.
[00:01:56.120 --> 00:01:57.560]   Inference is different.
[00:01:57.560 --> 00:01:59.700]   But pretty quickly, the state of play
[00:01:59.700 --> 00:02:02.180]   has advanced a lot on how to run a Transformer, right?
[00:02:02.180 --> 00:02:04.900]   KV caching is just the first thing.
[00:02:04.900 --> 00:02:08.220]   And then it's this page detention,
[00:02:08.220 --> 00:02:10.920]   now multi-token prediction, speculative decoding,
[00:02:10.920 --> 00:02:13.400]   all this stuff that's pretty hard to write yourself.
[00:02:13.400 --> 00:02:18.480]   And so you want software to do that for you, probably.
[00:02:18.480 --> 00:02:20.880]   And so these open source engines are available now.
[00:02:20.880 --> 00:02:23.720]   You've got VLLM and SGLang and Tensor or TLLM.
[00:02:23.720 --> 00:02:25.160]   So the combination of those two things
[00:02:25.160 --> 00:02:28.860]   has kind of flipped the playing field around
[00:02:28.860 --> 00:02:31.420]   to where you'd need a really good reason
[00:02:31.420 --> 00:02:33.880]   to run your own models, like you're the US government
[00:02:33.880 --> 00:02:38.020]   or something, or you want to run on an air gap system.
[00:02:38.020 --> 00:02:42.440]   Or you had to believe it in your heart.
[00:02:42.440 --> 00:02:44.580]   You had to want open source models,
[00:02:44.580 --> 00:02:47.280]   like the news or prime intellect.
[00:02:47.280 --> 00:02:50.760]   You had to be like a decentralized crypto bro or whatever
[00:02:50.760 --> 00:02:53.520]   to want to run your own open models.
[00:02:53.520 --> 00:02:56.520]   But yeah, now the situation has changed.
[00:02:56.520 --> 00:02:57.360]   It's really exciting.
[00:02:57.360 --> 00:02:59.060]   It sort of finally makes sense to self-host.
[00:03:01.160 --> 00:03:05.640]   So just wanted to do this really quickly.
[00:03:05.640 --> 00:03:10.660]   Was anybody here at this AI Engineer Summit 2023, the first one?
[00:03:10.660 --> 00:03:11.400]   Anybody?
[00:03:11.400 --> 00:03:11.900]   OK.
[00:03:11.900 --> 00:03:14.400]   Did anybody come to the AI Engineering 201
[00:03:14.400 --> 00:03:20.080]   workshop the day before in the 500 Treet Avenue?
[00:03:20.080 --> 00:03:20.740]   Maybe not.
[00:03:20.740 --> 00:03:23.340]   I talked to one or two people who were there.
[00:03:23.340 --> 00:03:28.820]   So I gave a talk on how to do your own AI stuff back then.
[00:03:28.820 --> 00:03:31.820]   I just wanted to pull out a couple of slides.
[00:03:31.820 --> 00:03:35.420]   So one of the main-- this is 2023.
[00:03:35.420 --> 00:03:38.220]   We're like, who's going to win, open models or closed models?
[00:03:38.220 --> 00:03:43.700]   And the key statement in the talk was like, if capabilities requirements saturate, open models
[00:03:43.700 --> 00:03:47.460]   will catch up to proprietary models and then dominate for those cases.
[00:03:47.460 --> 00:03:52.500]   Inspired by what you see with operating systems, databases, programming languages, like as soon
[00:03:52.500 --> 00:04:00.500]   as there's like a sort of like, you know, capability level that everybody-- like that you don't need
[00:04:00.500 --> 00:04:06.420]   the absolute best thing, you just need something that's good enough, open like collaborative projects
[00:04:06.420 --> 00:04:09.720]   tend to catch up and then have better properties.
[00:04:09.720 --> 00:04:11.820]   And that's happened with open models, so check.
[00:04:11.820 --> 00:04:20.520]   Yeah, so that was mostly around like capabilities and, you know, at the time there was only LLAMA,
[00:04:20.520 --> 00:04:22.300]   but now we got a lot.
[00:04:22.300 --> 00:04:26.100]   The other one was, yeah, talked a little bit about LLM inference libraries at the time.
[00:04:26.100 --> 00:04:32.700]   And most of them are gone, TGI, RIP, for example, but VLLM was good then.
