
[00:00:00.040 --> 00:00:09.580]   Bizim
[00:00:09.580 --> 00:00:28.160]   good. I do
[00:00:28.780 --> 00:00:37.020]   interact with you. Although not Q&A today. Today I handle your comments.
[00:00:37.020 --> 00:00:56.740]   Welcome to Radical Personal Finance, a show dedicated to providing you with the tools,
[00:00:56.740 --> 00:00:57.520]   Корrector of the Week. I'm your host, Corrector of the Week. I'm your host,
[00:00:57.520 --> 00:00:57.520]   and I'm your host, Corrector of the Week. I'm your host, Corrector of the Week.
[00:00:57.520 --> 00:00:57.520]   I'm your host, Corrector of the Week. I'm your host, Corrector of the Week. I'm your host,
[00:00:57.520 --> 00:00:57.520]   Corrector of the Week. I'm your host, Corrector of the Week. I'm your host, Corrector of the Week.
[00:00:57.520 --> 00:00:57.520]   I'm your host, Corrector of the Week. I'm your host, Corrector of the Week. I'm your host,
[00:00:57.520 --> 00:01:26.440]  , Corrector of the Week. I'm your host, Corrector of the Week. I'm your host, Corrector of the Week.
[00:01:26.440 --> 00:01:26.500]   Corrector of the Week. I'm your host, Corrector of the Week. I'm your host, Corrector of the Week.
[00:01:26.500 --> 00:01:26.720]   Corrector of the Week. I'm your host, Corrector of the Week. I'm your host, Corrector of the Week. I'm your host, Corrector of the Week.
[00:02:24.600 --> 00:02:34.700]   scared
[00:02:34.700 --> 00:02:38.920]   de to del
[00:02:38.920 --> 00:02:53.580]   learn the Sch, but,
[00:02:53.660 --> 00:02:56.900]  �.
[00:02:56.900 --> 00:02:59.440]   for you to get personalized advice.
[00:02:59.440 --> 00:03:02.740]   If you have not set that up in the past, let me explain how it works.
[00:03:02.740 --> 00:03:05.600]   I currently use a website called Clarity.
[00:03:05.600 --> 00:03:09.060]   It's clarity.fm that you'll be directed.
[00:03:09.060 --> 00:03:10.900]   That link will forward you through to Clarity.
[00:03:10.900 --> 00:03:14.420]   You will be able to request a call with me. You make up a profile.
[00:03:14.420 --> 00:03:17.200]   I don't care what name you use. I don't care anything on that.
[00:03:17.200 --> 00:03:19.920]   But when you set up a Clarity call, you request a call with me.
[00:03:19.920 --> 00:03:22.680]   The way it works is you choose how long you want to take the call.
[00:03:22.680 --> 00:03:22.680]   You can set up a Clarity call with me. You can set up a Clarity call with me.
[00:03:22.680 --> 00:03:22.680]   You can set up a Clarity call with me. You can set up a Clarity call with me.
[00:03:22.680 --> 00:03:22.760]   You can set up a Clarity call with me. You can set up a Clarity call with me.
[00:03:22.760 --> 00:03:52.700]  , it can be five minutes. It can be an hour. And then the computer system is set up so that it will bill your credit card with whatever amount of time that you want to talk to me. And the hourly rate that I bill is $300 per hour, which comes out to $5 a minute. And the way that the computer system works is it will put you in a situation where you have a code that you call in. You can call in and I will call in.
[00:03:52.720 --> 00:03:56.680]   And then the exact amount of time that you're on the phone with me,
[00:03:56.680 --> 00:03:59.720]   you'll be billed for that exact amount of time.
[00:03:59.720 --> 00:04:02.220]   The computer tracks how long the two of us are connected.
[00:04:02.220 --> 00:04:04.760]   As long as we're connected, it'll keep track of that.
[00:04:04.760 --> 00:04:08.360]   Let's say that you sign up for a 30-minute call with me.
[00:04:08.360 --> 00:04:11.880]   Your credit card will be pre-authorized for 30 minutes.
[00:04:11.880 --> 00:04:15.400]   So you'll be billed for $150 in that context.
[00:04:15.400 --> 00:04:18.580]   And then if we cut the call short in 15 minutes,
[00:04:18.580 --> 00:04:22.460]   because I've brilliantly answered your questions and solved all of your problems,
[00:04:22.460 --> 00:04:22.720]   and then I'll be billed for $150 in that context.
[00:04:22.720 --> 00:04:22.720]   And then if we cut the call short in 15 minutes,
[00:04:22.720 --> 00:04:22.720]   because I've brilliantly answered your questions and solved all of your problems,
[00:04:22.720 --> 00:04:22.720]   and then I'll be billed for $150 in that context.
[00:04:22.760 --> 00:04:52.740]  ,
[00:04:52.740 --> 00:04:52.740]   and then I'll be billed for $150 in that context.
[00:04:52.740 --> 00:04:52.740]   And then if we cut the call short in 15 minutes,
[00:04:52.740 --> 00:04:52.740]   and then I'll be billed for $150 in that context.
[00:04:52.740 --> 00:04:52.740]   And then if we cut the call short in 15 minutes,
[00:04:52.740 --> 00:04:52.740]   and then I'll be billed for $150 in that context.
[00:04:52.740 --> 00:04:52.740]   And then if we cut the call short in 15 minutes,
[00:04:52.740 --> 00:04:52.740]   and then I'll be billed for $150 in that context.
[00:04:52.740 --> 00:04:52.740]   And then I'll be billed for $150 in that context.
[00:04:52.760 --> 00:05:22.760]   I'm a highly credentialed and competent financial planner.
[00:05:22.760 --> 00:05:22.760]   I am a highly credentialed and competent financial planner.
[00:05:22.760 --> 00:05:22.760]   My registration with the CFP board is not valid at the moment,
[00:05:22.760 --> 00:05:22.760]   My registration with the CFP board is not valid at the moment,
[00:05:22.760 --> 00:05:22.760]   I am not currently a certified financial planner.
[00:05:22.760 --> 00:05:22.760]   And some of my other things, I stopped using all the credentials and designations.
[00:05:22.760 --> 00:05:22.760]   But if you want to just speak to me, somebody who has been there, done that,
[00:05:22.760 --> 00:05:22.760]   and get specific advice on your situation, that is your best way to do it.
[00:05:22.760 --> 00:05:22.760]   I've done calls with people who are broke and in debt, and I've done calls with people who are multimillionaires.
[00:05:22.760 --> 00:05:22.760]   I've done calls with people who are multimillionaires.
