
[00:00:00.000 --> 00:00:23.460]   awesome thanks so much for coming I wanted to give a bit of a talk on implementing MCP clients
[00:00:23.460 --> 00:00:30.420]   and talking about MCP at scale within a large organization like Anthropic I wanted to give
[00:00:30.420 --> 00:00:35.820]   first a little introduction for me my name is John I've spent 20 years building large-scale systems
[00:00:35.820 --> 00:00:42.540]   and dealing with problems that that causes and so I've made a lot of mistakes and I'm excited to
[00:00:42.540 --> 00:00:47.520]   give maybe some thoughts on avoiding some of those mistakes I'm currently a member of technical staff
[00:00:47.520 --> 00:00:53.520]   here at Anthropic and I've spent the past few months focusing on tool calling and integration and
[00:00:53.520 --> 00:01:00.180]   implementing MCP support for all of our internal like external integrations within the org and so
[00:01:00.180 --> 00:01:07.200]   looking at tool integration with models we've kind of hit this timeline where models only really got
[00:01:07.200 --> 00:01:16.740]   good at calling tools like kind of late mid last year and suddenly everyone got very excited because
[00:01:16.740 --> 00:01:21.240]   like your model could go and call your Google Drive and then it could call your maps and then it could
[00:01:21.240 --> 00:01:26.160]   send a text message to people and so there's a huge explosion with like very little effort you can make
[00:01:26.160 --> 00:01:32.280]   very cool things and so teams are all trying to move fast everyone's moving very fast in AI custom endpoints
[00:01:32.280 --> 00:01:36.840]   and then start proliferating for every use case there's a lot of like services popping up with like
[00:01:36.840 --> 00:01:43.920]   slash call tool and slash like get context and then people start to realize the digital needs of
[00:01:43.920 --> 00:01:49.380]   some authentication there's a bunch of stuff there and this kind of led to some integration chaos where
[00:01:49.380 --> 00:01:55.800]   you're duplicating a bunch of functionality around your org nothing really works the same you have an
[00:01:55.800 --> 00:02:01.020]   integration that works really well in service a but then you want to use it in service b but it you can't
[00:02:01.020 --> 00:02:05.660]   because it's going to take you three weeks to rewrite it to talk to the new interface and so we're in this kind of
[00:02:05.660 --> 00:02:08.040]   spot and
[00:02:08.040 --> 00:02:15.020]   the place that we came to at anthropic is realizing that over time all of these endpoints started to look a lot like mcp
[00:02:15.020 --> 00:02:19.520]   you you end up with some get tools some get resources some
[00:02:19.520 --> 00:02:22.880]   elicitation of details
[00:02:22.880 --> 00:02:25.140]   and
[00:02:25.140 --> 00:02:30.200]   even if you're not using the entire feature space of mcp as a whole immediately like
[00:02:30.200 --> 00:02:34.840]   like you're probably going to go extend into something that kind of looks like it over time and
[00:02:35.480 --> 00:02:56.760]   when i'm talking about mcp here there's kind of two sides to mcp that in my mind feel a bit unrelated there's this json rpc specification which is really valuable as engineers it's like a standard way of sending messages and communicating back and forth between providers of context for your models and the code that's interacting with the models and
[00:02:56.760 --> 00:03:02.040]   uh getting those messages right and getting those messages right is the topic of huge debate on like the mcp
[00:03:02.040 --> 00:03:02.760]   mcp
[00:03:02.760 --> 00:03:14.520]   uh repos if you're involved with any standardization process ever you know how those conversations end up going and then on the other side there's this global transport standard which is the stuff around streamable hdp
[00:03:14.520 --> 00:03:16.520]   oh 2.1 session
[00:03:16.520 --> 00:03:18.520]   management and
[00:03:19.320 --> 00:03:23.400]   global transport standard is hard because you're trying to get everyone to speak the same language and so
[00:03:23.400 --> 00:03:26.120]   it's really nitty but there's not a lot of like
[00:03:26.120 --> 00:03:30.520]   most of the juice of mcp is in this the message specification in the way that the
[00:03:30.520 --> 00:03:33.320]   servers are interacting
[00:03:33.320 --> 00:03:39.240]   um and so we started asking ourselves like can we just mcp for everything and we said yes with the
[00:03:39.240 --> 00:03:47.320]   caveat that yes is for everything involved in presenting model context to models um we have this format where
