
[00:00:00.040 --> 00:00:09.480]   ち
[00:00:09.480 --> 00:00:10.840]   que came,,,
[00:00:10.840 --> 00:00:13.320]   present there ir
[00:00:13.320 --> 00:00:26.420]  assen Many He H Or Not Red on 1939in, to serve my. I, I, I, I, I, I, I, I, w, of, de, voyez, property.urez. porte. .. .. way. :. .. is a .. .. ,. ., Ang. cor .. meaning . Ce機. , Gray - show the -
[00:00:26.420 --> 00:00:27.840]   thank uh.иваем a
[00:00:27.840 --> 00:00:28.580]   scap
[00:00:28.680 --> 00:00:33.700]   It's Friday, and today we do a live Q&A.
[00:00:33.700 --> 00:00:57.320]   Welcome to the Radical Personal Finance Podcast. My name is Joshua Sheets and I am your host. And it's Friday. On Fridays we do a live Q&A show. Any Friday that it can arrange to be.
[00:00:57.320 --> 00:01:25.980]  ,
[00:01:25.980 --> 00:01:25.980]   It's Friday, and today we do a live Q&A show. Any Friday that it can arrange to be. At an internet connection and a phone connection. These are the shows where you call in and we try to together work out some answers to your questions. I hope you are along for the ride. I've got four callers lined up and today it's going to be fun.
[00:01:26.020 --> 00:01:54.920]   dec
[00:01:55.060 --> 00:02:05.140]   lack
[00:02:05.140 --> 00:02:09.320]   is get creates
[00:02:09.320 --> 00:02:24.000]  -G M B N視
[00:02:24.080 --> 00:02:38.020]   ado.com/patron. I do that to allow me to slightly limit the number of callers so that I can create a good show, but not have 47 people calling in each time. And so far so good. We go first to Jacob in California. Jacob, welcome to the show. How can I serve you, sir?
[00:02:38.020 --> 00:02:53.060]   Hi, Joshua. Thanks for taking my call. So I just to give you my background a little bit. I'm 23 years old. And I do have some seasonal employment. I work in Arizona as a wildland firefighter.
[00:02:53.060 --> 00:02:53.060]   I work in Arizona as a wildland firefighter.
[00:02:53.060 --> 00:02:53.060]   I work in Arizona as a wildland firefighter.
[00:02:53.060 --> 00:02:53.060]   I work in Arizona as a wildland firefighter.
[00:02:53.060 --> 00:02:53.060]   I work in Arizona as a wildland firefighter.
[00:02:53.060 --> 00:02:53.060]   I work in Arizona as a wildland firefighter.
[00:02:53.060 --> 00:02:53.060]   I work in Arizona as a wildland firefighter.
