
[00:00:00.000 --> 00:00:02.000]   Welcome back everybody
[00:00:02.000 --> 00:00:05.640]   I'm sure you've noticed
[00:00:05.640 --> 00:00:11.400]   But there's been a lot of cool activity on the forum this week and one of the things that's been really great to see
[00:00:11.400 --> 00:00:14.040]   Is that a lot of you have started creating?
[00:00:14.040 --> 00:00:22.120]   Really helpful materials both for your classmates to better understand stuff and also for you to better understand stuff by
[00:00:22.120 --> 00:00:27.440]   Trying to teach what you've learned. I just wanted to highlight a few I've actually
[00:00:29.040 --> 00:00:33.220]   Posted to the wiki thread a few of these, but there's lots more
[00:00:33.220 --> 00:00:44.200]   Reshma has posted a whole bunch of nice introductory tutorials so for example if you're having any trouble getting connected with AWS
[00:00:44.200 --> 00:00:47.000]   She's got a whole step-by-step
[00:00:47.000 --> 00:00:54.840]   How to go about logging in and getting everything working which I think is a really terrific thing and so it's a kind of thing
[00:00:54.840 --> 00:00:56.840]   that if you
[00:00:57.600 --> 00:01:00.520]   Writing some notes for yourself to remind you how to do it
[00:01:00.520 --> 00:01:06.280]   You may as well post them for others to do it to do it as well and by using a markdown file like this
[00:01:06.280 --> 00:01:10.700]   It's actually good practice if you haven't used github before if you put it up on github
[00:01:10.700 --> 00:01:14.960]   Everybody can now use it or of course you can just put it in the forum
[00:01:14.960 --> 00:01:16.640]   so
[00:01:16.640 --> 00:01:18.200]   more advanced
[00:01:18.200 --> 00:01:22.600]   Thing that Reshma wrote up about is she noticed that I like using tmux
[00:01:22.600 --> 00:01:25.680]   Which is a handy little thing which lets me?
[00:01:27.480 --> 00:01:31.400]   Let me basically have a window. Let's see if I've got one. I'll show you
[00:01:31.400 --> 00:01:34.200]   So as soon as I log into my computer
[00:01:34.200 --> 00:01:37.280]   If I run tmux
[00:01:37.280 --> 00:01:39.820]   You'll see that all of my windows pop straight up
[00:01:39.820 --> 00:01:45.760]   Basically and I can like continue running stuff in the background and I can like I've got vim over here
[00:01:45.760 --> 00:01:50.600]   And I can kind of zoom into it or I can move over to the top which is here's budget
[00:01:50.600 --> 00:01:55.280]   But I can all running and so forth so if that sounds interesting Reshma has a
[00:01:56.400 --> 00:01:58.520]   Tutorial here on how you can use tmux
[00:01:58.520 --> 00:02:04.520]   And it's actually got a whole bunch of stuff in her github, so that's that's really cool
[00:02:04.520 --> 00:02:12.160]   Up built among has written a very nice kind of summary basically of our last lesson
[00:02:12.160 --> 00:02:15.880]   Which kind of covers
[00:02:15.880 --> 00:02:20.060]   What are the key things we did and why did we do them so if you're if you're kind of?
[00:02:20.060 --> 00:02:26.040]   Wondering like how does it fit together? I think this is a really helpful summary
[00:02:26.160 --> 00:02:30.800]   Like what did those couple of hours look like if we summarize it all into a page or two?
[00:02:30.800 --> 00:02:33.520]   I
[00:02:33.520 --> 00:02:36.080]   also really like Pavel has
[00:02:36.080 --> 00:02:41.420]   Dark kind of done a deep dive on the learning rate finder
[00:02:41.420 --> 00:02:44.200]   which is a
[00:02:44.200 --> 00:02:47.680]   Topic that a lot of you have been interested in learning more about particularly
[00:02:47.680 --> 00:02:54.120]   Those of you who have done deep learning before I've realized that this is like a solution to a problem that you've been having for
[00:02:54.120 --> 00:02:59.940]   A long time and haven't seen before and so it's kind of something which hasn't really been vlogged about before so this is the first
[00:02:59.940 --> 00:03:03.800]   Time I've seen this blogged about so when I put this on Twitter a link to
[00:03:03.800 --> 00:03:07.280]   Pavel's post it's been shared now hundreds of times
[00:03:07.280 --> 00:03:12.960]   It's been really really popular and viewed many thousands of times, so that's some great content
[00:03:12.960 --> 00:03:20.360]   Radek has posted lots of cool stuff. I really like this practitioners guide to pytorch which again
[00:03:20.360 --> 00:03:27.200]   This is more for more advanced students, but it's like digging into people who have never used pytorch before but know a bit about
[00:03:27.200 --> 00:03:33.080]   Numerical programming in general and it's a quick introduction to how pytorch is different
[00:03:33.080 --> 00:03:41.080]   And then there's been some interesting little bits of research like what's the relationship between learning rate and batch size so one of the
[00:03:41.080 --> 00:03:47.320]   Students actually asked me this before class and I said well one of the other students has written an analysis of exactly that
[00:03:49.080 --> 00:03:54.960]   so what he's done is basically looked through and tried different batch sizes and different learning rates and tried to see how they seem to
[00:03:54.960 --> 00:03:59.960]   Relate together and these are all like cool experiments, which you know you can try yourself
[00:03:59.960 --> 00:04:07.600]   Radek again, he's written something again a kind of a research into this question. I made a claim that
[00:04:07.600 --> 00:04:13.800]   The the stochastic gradient descent with restarts finds more generalizable
[00:04:14.240 --> 00:04:20.440]   Parts of the function surface because they're kind of flatter, and he's been trying to figure out. Is there a way to measure that more directly?
[00:04:20.440 --> 00:04:24.080]   Not quite successful yet, but a really interesting piece of research
[00:04:24.080 --> 00:04:27.120]   got some
[00:04:27.120 --> 00:04:29.120]   introductions to convolutional neural networks
[00:04:29.120 --> 00:04:31.120]   and
[00:04:31.120 --> 00:04:33.000]   then
[00:04:33.000 --> 00:04:38.480]   something that we'll be learning about towards the end of this course, but I'm sure you've noticed we're using something called ResNet and
[00:04:39.560 --> 00:04:46.400]   Anand Sahar actually posted a pretty impressive analysis of like what's a ResNet and why is it interesting?
[00:04:46.400 --> 00:04:51.280]   And this one's actually been very already shared very widely around the internet. I've seen also
[00:04:51.280 --> 00:04:55.000]   So so we're advanced students who are interested in
[00:04:55.000 --> 00:05:00.840]   Jumping ahead can look at that and appeal to mom also has done something similar
[00:05:00.840 --> 00:05:03.600]   so lots of
[00:05:03.600 --> 00:05:09.360]   Yeah, lots of stuff going on on the forums. I'm sure you've also noticed we have a beginner forum now
[00:05:09.760 --> 00:05:12.880]   specifically for you know asking questions which
[00:05:12.880 --> 00:05:15.760]   You know
[00:05:15.760 --> 00:05:17.760]   There's always the case that there are no
