
[00:00:00.000 --> 00:00:03.420]   Hello everybody, it's Sam from Financial Samurai and in this episode
[00:00:03.420 --> 00:00:09.020]   I want to talk about a series of unfortunate events that has led me to conclude that
[00:00:09.020 --> 00:00:13.820]   Early retirement and minimalism go together like peanut butter and jelly
[00:00:13.820 --> 00:00:16.080]   perfect combination
[00:00:16.080 --> 00:00:23.040]   One supports the other if you're a minimalist it helps lower your costs and helps you get to early retirement quicker
[00:00:23.040 --> 00:00:25.040]   And once you're in early retirement
[00:00:25.360 --> 00:00:33.000]   Well, if you're a minimalist you get to keep your costs low and it helps you sustain your early retirement lifestyle further
[00:00:33.000 --> 00:00:36.840]   The more minimalistic you are the less things break
[00:00:36.840 --> 00:00:43.640]   Everything breaks over time as a result. You've got to spend time fixing it maintaining it replacing it
[00:00:43.640 --> 00:00:50.520]   What a pain and when you have a lot more freedom your time is actually more valuable and therefore your opportunity
[00:00:50.520 --> 00:00:53.840]   Cost of not doing something you really enjoy is higher
[00:00:54.280 --> 00:00:59.660]   So for example, let's say you have a sick kid. You've got to take time off work to take care of your sick kid
[00:00:59.660 --> 00:01:02.620]   Of course, it's a bummer, but you've got to do what you got to do
[00:01:02.620 --> 00:01:10.280]   But the upside is you don't have to go to work. You have a valid excuse to take one two, three four days off and
[00:01:10.280 --> 00:01:15.960]   You'll still get paid. That's pretty good. Well, that's not that bad, right?
[00:01:15.960 --> 00:01:22.460]   Well, let's say you are an early retiree who can do whatever and you're really into pickleball all of a sudden like I am
[00:01:22.640 --> 00:01:27.480]   You play from 10 a.m. To 1 p.m. Every single day when the Sun is shining
[00:01:27.480 --> 00:01:31.760]   Well, if you have a sick kid, you're gonna have to give up your pickleball
[00:01:31.760 --> 00:01:39.040]   One of your greatest joys right now to take care of your child. You're definitely not gonna get paid doing your parental duty
[00:01:39.040 --> 00:01:45.040]   So isn't it a little bit ironic that if you have a day job and the more you dislike your day job
[00:01:45.040 --> 00:01:50.780]   The happier you are to do something else. So the opportunity cost is lower to do something else
[00:01:51.120 --> 00:01:57.000]   What I realized from writing my post on minimalism and early retirement going perfectly together
[00:01:57.000 --> 00:02:02.900]   Is that whatever we do it tends to get more complicated over time?
[00:02:02.900 --> 00:02:05.720]   Whether it's having children our
[00:02:05.720 --> 00:02:12.920]   Investments buying cars houses clothes. There's no natural path to simplicity
[00:02:12.920 --> 00:02:20.840]   It's actually a natural path to accumulating more and more stuff and you can do that as you gain
[00:02:20.960 --> 00:02:27.400]   More and more income and wealth and so these things are highly correlated more stuff more income more wealth
[00:02:27.400 --> 00:02:29.880]   So to live a better life, we actually have to be
[00:02:29.880 --> 00:02:36.320]   intentional with trying to keep the creep from growing too big keep the
