
[00:00:00.040 --> 00:00:04.960]   all right everybody welcome to the number one podcast in the world here we are on the all in
[00:00:04.960 --> 00:00:11.280]   podcast we have a fifth bestie with us today joining david freeber chamath piha patia david
[00:00:11.280 --> 00:00:16.160]   sachs and myself is the one and the only mark cuban how you doing buddy what's up guys i'm
[00:00:16.160 --> 00:00:21.600]   doing great thanks for having me on of course of course thank you i've been practicing my virtue
[00:00:21.600 --> 00:00:27.440]   signaling so i'm ready all right let's go i think we're gonna have twice the virtue signaling as
[00:00:27.440 --> 00:00:37.440]   normal on this episode double the virtue i don't virtue signal i'll say you to anybody
[00:00:37.440 --> 00:00:54.880]   you have gotten very vocal about politics during this cycle
[00:00:55.760 --> 00:01:03.120]   and you seem to be i don't know if it's official you know speaking on behalf of the kamala ticket so
[00:01:03.120 --> 00:01:09.760]   why why are you this active what is the um reason that you've decided to get this active during this
[00:01:09.760 --> 00:01:18.080]   election because i'm proud to be an american that's exactly why i mean you know we all make choices and
[00:01:18.080 --> 00:01:22.160]   think what's best for the country and show our patriotism in different ways and you know i'm not
[00:01:22.160 --> 00:01:26.880]   a democrat i'm not a republican i'm an independent through and through oh my god like jacal he's an
[00:01:26.880 --> 00:01:33.520]   independent too there we go and why is it that all the democrats are afraid to call themselves democrats
[00:01:33.520 --> 00:01:39.440]   well look i've said this many many times if if it wasn't donald trump running it was a non-maga candidate
[00:01:39.440 --> 00:01:44.720]   particularly if it was joe biden still i'd vote republican i voted republican before if it was a non-maga
[00:01:44.720 --> 00:01:49.440]   candidate versus kamala harris it would be you know let's look at the policies let's look at the
[00:01:49.440 --> 00:01:53.600]   character of the people involved and let's make a decision it's it's just donald trump is not a
[00:01:53.600 --> 00:01:59.520]   republican republicans are donald trump you know the republican party is now the family business for
[00:01:59.520 --> 00:02:03.680]   donald trump and to me i just think kamala harris is a better choice for the country
[00:02:03.680 --> 00:02:09.920]   on a percentage basis how often have you voted just a level set democrat versus republican would you say
[00:02:09.920 --> 00:02:18.640]   out of 10 elections presidential probably i voted for george w twice then i voted for um obama twice
[00:02:18.640 --> 00:02:26.160]   and then i voted for um clinton and biden but before that i voted for um ross perot jr my first vote was
[00:02:26.160 --> 00:02:33.360]   for a guy named um something john anderson so i mean i literally worked on ross perot jr's campaign way back
[00:02:33.360 --> 00:02:39.600]   when tell us about that that's fascinating he got 19 of the vote as an independent candidate
[00:02:39.600 --> 00:02:45.840]   yeah i was living out in la and this was 92 and this is when computers were relatively new i sold my
[00:02:45.840 --> 00:02:51.760]   company and i was taking acting classes and just living by manhattan beach and just loving life and
