
[00:00:00.000 --> 00:00:21.960]   In January of this year, Mark Zuckerberg said that he was going to replace all of the mid-level
[00:00:21.960 --> 00:00:29.340]   engineers at Meta with AI by the end of the year. I think Mark was a bit optimistic.
[00:00:29.340 --> 00:00:34.800]   And he was probably acting like a good CEO would to inspire a vision and also probably
[00:00:34.800 --> 00:00:41.640]   to keep the Facebook stock price up. But what Mark also did was create a lot of trouble
[00:00:41.640 --> 00:00:50.820]   for CTOs worldwide. Why? Because after Mark said that, every single CEO in the world almost
[00:00:50.820 --> 00:00:56.580]   turned to their CTO and said, "Hey, Mark says he's going to replace all of his developers
[00:00:56.580 --> 00:01:01.800]   with AI. Where are we in that journey?" And the answer probably was, honestly, not very
[00:01:01.800 --> 00:01:05.480]   far. And we're not sure we're going to do that.
[00:01:05.480 --> 00:01:12.080]   And so I personally think hopefully this is not, you know, going to change, but I don't
[00:01:12.080 --> 00:01:19.580]   think AI is going to replace developers entirely, at least this year, let alone at Meta, right?
[00:01:19.580 --> 00:01:25.880]   But I do think that AI increases developer productivity, but there's also cases in which it decreases developer
[00:01:25.880 --> 00:01:31.720]   productivity. So AI or using AI for coding is not a one size fits all solution. And there
[00:01:31.720 --> 00:01:38.920]   are cases in which it shouldn't be used. And so for the past three years, we've been running
[00:01:38.920 --> 00:01:46.380]   one of the largest studies on software engineering productivity at Stanford. And we've done this
[00:01:46.380 --> 00:01:51.480]   in a time series and cross sectional way. So time series, meaning that even if a participant
[00:01:51.480 --> 00:01:58.080]   joins in 2025, we get access to their get history, meaning we can see trends of data across time,
[00:01:58.080 --> 00:02:04.680]   we can see COVID, we can see AI, we can see all of these trends and things that happened. And then also cross-sectional
[00:02:04.680 --> 00:02:11.900]   because we have more than 600 companies participating, enterprise, mid-sized, and also startups.
[00:02:11.900 --> 00:02:17.980]   And so this means that we have more than 100,000 software engineers in our data set right now, dozens
[00:02:17.980 --> 00:02:24.480]   of millions of commits, and billions of lines of code. And most importantly, most of this data
[00:02:24.480 --> 00:02:30.200]   is private repositories. This is important because if you use a public repo to measure someone's
[00:02:30.200 --> 00:02:35.000]   productivity, that public repo is not self-contained. Someone could be working on that repo on the
[00:02:35.000 --> 00:02:41.060]   weekend or once in a while, right? Whereas if you have a private repo, it's much more self-contained
[00:02:41.060 --> 00:02:49.340]   and much easier to measure the productivity of a team, of a company, of an organization.
[00:02:49.340 --> 00:02:55.820]   So late last year, there was a huge controversial thing around ghost engineers. So this came
[00:02:55.820 --> 00:03:01.380]   from kind of the same research group, our research group. And here, Elon Musk was kind enough to
[00:03:01.380 --> 00:03:07.000]   retweet us. But what we found is that roughly 10% of software engineers in our data set at the
[00:03:07.000 --> 00:03:14.160]   time, about 50,000, were what we called ghost engineers. These people collect a paycheck but
[00:03:14.160 --> 00:03:21.380]   basically do no work. So that was very surprising for some people, very unsurprising for others.
