
[00:00:00.000 --> 00:00:08.720]   over lunch this individual told me you know every founder and every vc in china studies the west
[00:00:08.720 --> 00:00:16.080]   at a nauseating level so they listen to all the podcasts they read everything they possibly can
[00:00:16.080 --> 00:00:22.480]   they study any speech they look at the financials and he said the west doesn't do that of china
[00:00:22.480 --> 00:00:29.280]   and you know maybe we should be maybe we should be studying the best and the brightest over there
[00:00:29.280 --> 00:00:48.400]   hey bill great to see you good to see you brian summer has just blown past it's all it's almost
[00:00:48.400 --> 00:00:52.960]   football season yes uh how are the longhorns looking this year um they rank pretty high
[00:00:52.960 --> 00:00:58.560]   what's that mean come on give me the scoop i know i know you're all over that people that know know
[00:00:58.560 --> 00:01:04.960]   but they they have the dangerous starting position of being ranked number one in the country oh wow
[00:01:04.960 --> 00:01:11.680]   wow any big games coming up they uh play the number two team in the country this saturday and so we're
[00:01:11.680 --> 00:01:16.320]   gonna find out we're gonna find out we're gonna find out oh it gets real fast back to buckeye country
[00:01:16.320 --> 00:01:24.400]   yeah exactly it's been really incredible uh you know i just i just got back to silicon valley um after
[00:01:25.040 --> 00:01:29.200]   you know being away for a few weeks these you know the open ai deal the anthropic deal i was just
[00:01:29.200 --> 00:01:36.640]   looking at these i think these are bigger private ipos than any public ipo uh done in the last five
[00:01:36.640 --> 00:01:42.960]   years in the tech market right you had sam say the other day sam altman say you know two two things can
[00:01:42.960 --> 00:01:48.560]   be simultaneously true um one that this is the biggest thing to have ever happened in technology
[00:01:48.560 --> 00:01:53.520]   but number two uh that in the short run things become overheated and people are can get a little
[00:01:53.520 --> 00:01:59.280]   bit ahead of themselves where are you on that look there's just no denying that the amount of capital
[00:01:59.280 --> 00:02:07.920]   that is going into these companies earlier in their life and the scale of hiring and their willingness to
[00:02:07.920 --> 00:02:14.640]   take on risk which i think you can use cash burn as just a proxy for risk because you get further away
[00:02:14.640 --> 00:02:21.760]   from knowing unit economics and and you're more threatening you know i i think what those numbers
[00:02:21.760 --> 00:02:28.640]   are unprecedented like even against you know the uber doordash wars and all this they're bigger than that
[00:02:28.640 --> 00:02:34.960]   and so i think it's part of we've talked about it i think it's part of a systematic trend where investors
[00:02:34.960 --> 00:02:40.080]   are aware of network effects they've watched companies that get the initial conditions
[00:02:40.080 --> 00:02:46.000]   right go on to really big outcomes and they're willing to bet ahead of the curve and as the more
[00:02:46.000 --> 00:02:52.640]   confident they get over more time the more they're willing to make that bet ahead of time and um and so
[00:02:52.640 --> 00:02:59.280]   you know it is what it is we're seeing you know massive numbers well i'd say it's it's a combination of
[00:02:59.280 --> 00:03:04.880]   two things extraordinary scaling we've never seen two companies in the case of open ai scale
[00:03:04.880 --> 00:03:09.600]   uh users and scale revenue as fast as they are but definitely you're absolutely right the private
[00:03:09.600 --> 00:03:15.520]   markets are there to meet them um and we're seeing the depth and the breadth of capital and investment
[00:03:15.520 --> 00:03:20.080]   in the private markets i think unlike anything we've ever seen but you know we're going to save that for
[00:03:20.080 --> 00:03:25.280]   yeah save it right let's save it we're gonna save it let's save that for another day we're gonna do
[00:03:25.280 --> 00:03:32.400]   something a little different today um you know one topic that i think um we we've hit on time and time
[00:03:32.400 --> 00:03:37.280]   again but we're gonna we're really just try dedicate the show to it today and that's china you know you
[00:03:37.280 --> 00:03:43.760]   just got back from china it's one of the hottest in many ways most consequential and also most
[00:03:43.760 --> 00:03:50.240]   controversial debates i think in silicon valley and in washington you know on the one hand you have
[00:03:50.240 --> 00:03:56.400]   i think national security economic hawks you know who are in this camp that we should decouple it's a
[00:03:56.400 --> 00:04:02.560]   a little bit more cold war 2.0 yeah a great power struggle this is the meersheimer perspective you
[00:04:02.560 --> 00:04:07.920]   know maybe in the middle you have you know tech pragmatists i guess i i might call them you know
[00:04:07.920 --> 00:04:14.240]   like jensen wang or tim cook i'd probably put myself in this camp who thinks we we have to compete we have
[00:04:14.240 --> 00:04:20.000]   to re-onshore industry you probably should have some tariffs in order to achieve that but you you definitely
[00:04:20.000 --> 00:04:26.560]   can't decouple or ignore or or antagonize and then maybe on the other end you have kind of the globalists
[00:04:26.560 --> 00:04:32.160]   i don't know jeff sacks jeffrey sacks is probably in this camp it's free trade open science collaboration
[00:04:32.160 --> 00:04:39.760]   and you know there's this is of tremendous consequence to issues around tariffs and trade issues
[00:04:39.760 --> 00:04:46.720]   around military issues around ai and there's this new book out by dan wang that i want to talk about
[00:04:47.360 --> 00:04:52.800]   um you know uh where where he really takes on the differences between the two countries but why
[00:04:52.800 --> 00:04:58.400]   don't we start with you know this trip that you recently took you know you you just got back from
[00:04:58.400 --> 00:05:04.240]   china why did why did you go you know and frankly especially given all the you know blowback
[00:05:04.240 --> 00:05:11.200]   you've gotten personally benchmarks gotten uh with respect to china maybe for having too soft of you on china
[00:05:11.200 --> 00:05:16.000]   give me your inspiration for wanting to go and spend as much time as you did studying china
[00:05:16.000 --> 00:05:23.280]   yeah so i i've probably been four or five times before this trip but i hadn't been since um covet and
[00:05:23.280 --> 00:05:29.600]   i've been reading you know about everyone that's been going we talked about thomas friedman's comments
[00:05:29.600 --> 00:05:36.080]   um from his last trip and you hear about all the things that are different um you know personally my
[00:05:36.080 --> 00:05:42.400]   my daughter's an asian studies major so she went on the trip with with myself and my wife and so you know
[00:05:42.400 --> 00:05:48.160]   you know with her studying that topic this is i thought it'd be a great chance for her to see
[00:05:48.160 --> 00:05:54.560]   things too um much younger than us but i wanted her to go around and the fact that she speaks mandarin was
[00:05:54.560 --> 00:06:01.680]   helpful on on the trip as well but you you know you just said something right you said this is probably the
[00:06:01.680 --> 00:06:08.320]   most consequential you know other nation when it comes to thinking about america or thinking about
[00:06:08.320 --> 00:06:14.400]   our stock markets or thinking about how technology companies are evolving and so i just wanted to
[00:06:14.400 --> 00:06:22.160]   learn like like like why wouldn't you want to know more i don't understand how you if it is the most
[00:06:22.160 --> 00:06:29.280]   consequential relationship for our country why you'd want to know less right and so um i've always enjoyed
[00:06:29.280 --> 00:06:35.200]   going over there i've always enjoyed learning things that i don't know um and i really wanted
[00:06:35.200 --> 00:06:42.640]   to see it up close and personal um one thing that was super helpful was uh dan wang who you just
[00:06:42.640 --> 00:06:48.720]   mentioned gave me a early copy of his book so i read it on the way over there tell us tell us a little
[00:06:48.720 --> 00:06:54.640]   bit who is dan wang so um it's a gentleman that lived over there he lived over there during covid
[00:06:54.640 --> 00:07:02.480]   um you know he's a he's a policy analyst um and he recently moved back to the u.s um he's at the hoover
[00:07:02.480 --> 00:07:07.040]   institute yeah been studying china for a long time looks at it through the lens of technology and
[00:07:07.040 --> 00:07:14.320]   innovation and the book's titled breakneck and it's really talking about some of the acceleration um that
[00:07:14.320 --> 00:07:21.440]   we've seen in in building you know inside of china but but it i would suggest the two things about the
[00:07:21.440 --> 00:07:27.440]   book that are really interesting one he kind of uses as a mirror back on the u.s so it's really about both
[00:07:27.440 --> 00:07:35.040]   countries it's not just about china um and then two he's balanced like he talks about the pros you know and
[00:07:35.040 --> 00:07:41.840]   the cons of what have happened over there he starts with with this chapter that was recently republished
[00:07:41.840 --> 00:07:49.280]   in the atlantic where he highlights that the vast majority of the political borough are former engineers
[00:07:49.280 --> 00:07:55.920]   so this is the the ruling party within china and that the vast majority of the people in washington dc
[00:07:55.920 --> 00:08:03.200]   are former lawyers and you know that he uses that lens to say this is why they're great at building
[00:08:03.200 --> 00:08:08.400]   things and maybe why they're not so great at social things i think he gives the edge to having the
[00:08:08.400 --> 00:08:15.600]   lawyers to protecting free speech and personal rights he did not enjoy the lockdown in shanghai which was
[00:08:15.600 --> 00:08:22.800]   fairly abrupt um he's very negative on the one child policy and for those people that don't know
[00:08:22.800 --> 00:08:27.120]   the the chinese government's now trying to encourage people to have three children
[00:08:27.120 --> 00:08:32.800]   not successfully but that's the new program um so they've completely flipped from where they were
[00:08:33.360 --> 00:08:38.720]   um but but it's a fascinating read it's a very personal read you can tell that you know his life
[00:08:38.720 --> 00:08:45.200]   journey his parents were born there and left you know and went to canada and that's how he grew up in
[00:08:45.200 --> 00:08:51.200]   the west and then he went back and so he has it's i think it's a really interesting lens but it's very very
[00:08:51.200 --> 00:08:57.120]   current one of the things he really dives into and this is something that that people that i've talked to
[00:08:57.120 --> 00:09:02.160]   you that know china have known this for some time but i don't think the general people understand this
[00:09:02.160 --> 00:09:08.880]   so one of the things that's led to the vast build out so we've read about high speed trains we've read
[00:09:08.880 --> 00:09:15.520]   about overnight cities we've read about their number of companies in the solar space in the ev space one
[00:09:15.520 --> 00:09:22.400]   of the reasons that happens is the provincial leaders compete with each other so the provinces are very
[00:09:22.400 --> 00:09:28.720]   competitive with one another not in the same way the states are really um one of the reasons this
[00:09:28.720 --> 00:09:34.800]   is true is if you run a province and do well you put yourself in really good standings to move up in
[00:09:34.800 --> 00:09:40.480]   the federal government but wouldn't you say that's it i mean that seems to me like gavin newsom competing
[00:09:40.480 --> 00:09:47.120]   you know with desantis in florida on you know who is more business friendly who is tougher on immigration
[00:09:47.120 --> 00:09:51.200]   it seems a little bit the same way i think it's a little bit the same way but the difference is
[00:09:51.200 --> 00:09:57.840]   that because there's a singular government that's going to make choices like like in the u.s if you do
[00:09:57.840 --> 00:10:04.480]   well as a governor you might get elected got it but in this case it's more like divisions of a company
[00:10:04.480 --> 00:10:12.240]   and if you run one well you might get the ceo job and and so that competition you know leads to
[00:10:12.240 --> 00:10:20.080]   overbuild in certain cases so there's several ghost cities um that that are buildings that are empty you
[00:10:20.080 --> 00:10:26.000]   know where they've built too fast they are now facing problems even though they're the world leader in evs
[00:10:26.000 --> 00:10:32.240]   and the world leader in solar panels where some of these companies need to go bankrupt and a province
[00:10:32.240 --> 00:10:39.920]   may not want them to because of employment issues right and so the the those are the those are flip
[00:10:39.920 --> 00:10:45.600]   you know two sides of a coin you get one benefit you get hyper competition we talked about the thousand
[00:10:45.600 --> 00:10:52.320]   flowers bloom so this the the federal government publishes every five years this this mandate of the
[00:10:52.320 --> 00:10:57.760]   things these are the things that are important and you need to go work on and then the provinces you
[00:10:57.760 --> 00:11:04.480]   know go go at it like they go right against those initiatives and that's that's how they've got taken
[00:11:04.480 --> 00:11:09.760]   a lead in those things we mentioned and energy production right you wonder we talk about all the
[00:11:09.760 --> 00:11:15.760]   number of nuclear plants that they have new nuclear starts solar farms wind farms i'm going to dig into
[00:11:15.760 --> 00:11:21.600]   that bill i think there's this general view that china's good at building things building iphones but
[00:11:21.600 --> 00:11:27.840]   perhaps not at innovating right and then you know jensen huang reminded us recently that 50 percent
[00:11:27.840 --> 00:11:33.760]   of the world's ai researchers are in china and they're indeed innovating and not copying you know
[00:11:33.760 --> 00:11:39.040]   on the ground when you look at the things happening in auto when you look at the things happening in
[00:11:39.040 --> 00:11:47.760]   ai when you look at that things happening in space or energy etc um how would you compare contrast as a
[00:11:47.760 --> 00:11:56.800]   venture capitalist the level of rigor and innovation and excitement enthusiasm um and investment i guess
[00:11:56.800 --> 00:12:01.600]   going on against these you know critical future industries well if you're over there
[00:12:01.600 --> 00:12:10.080]   you you know that the bite dance founder is just remarkably unique you know leijun at jami
[00:12:10.720 --> 00:12:18.000]   is remarkably unique and if you spend time um studying those people i just i don't know how you would
[00:12:18.000 --> 00:12:24.720]   possibly think that they can't innovate i mean tick tock was there first right and then it came here and
[00:12:24.720 --> 00:12:31.680]   then reels copied tick tock one thing that doesn't seem like innovation but i was surprised by pop mart is a
[00:12:31.680 --> 00:12:39.600]   uh 40 50 billion dollar public company which is a children's toy company that started in china and is
[00:12:39.600 --> 00:12:46.320]   everywhere over there but like just the idea that that there is no innovation you know one one of my
[00:12:46.320 --> 00:12:50.880]   favorite meetings and i promised i would protect the innocent so i'm not going to share who it was with
[00:12:51.440 --> 00:13:01.120]   but over lunch this individual told me you know every founder and every vc in china studies the west
[00:13:01.120 --> 00:13:08.720]   at a nauseating level so they listen to all the podcasts they read everything they possibly can they
[00:13:08.720 --> 00:13:14.880]   study any speech they look at the financials and he said the west doesn't do that of china
[00:13:16.080 --> 00:13:21.600]   and you know maybe this goes back to my main motivation for going over there to learn but that
[00:13:21.600 --> 00:13:27.920]   i thought that was a very provocative statement that he made you know and um maybe we should be
[00:13:27.920 --> 00:13:33.680]   maybe we should be studying the best and the brightest over there well let's say let's dive into
[00:13:33.680 --> 00:13:40.000]   you know maybe one industry i i guess as a lens yeah i know you spent a bunch of time uh in the auto
[00:13:40.000 --> 00:13:45.440]   industry yeah right looking at all of these new entrants and i would help us understand the
[00:13:45.440 --> 00:13:51.680]   innovation that's happening there are two dimensions one on uh you know just electric vehicles number two
[00:13:51.680 --> 00:13:58.320]   on you know maybe autonomy and then number three i'm just curious like how tesla is able to compete so
[00:13:58.320 --> 00:14:07.120]   effectively you know in a market where you have this hyper competition uh for electric vehicles yeah so i i i had
[00:14:07.120 --> 00:14:14.560]   a number of auto experiences when i was over there first of all i i was invited to um visit byd this
[00:14:14.560 --> 00:14:22.800]   is my they gave me a nice coat i um i met with stella lee who is their number one executive i think
[00:14:22.800 --> 00:14:28.560]   facing outside of china um she runs all their europe initiatives for those people that don't know byd is
[00:14:28.560 --> 00:14:36.880]   the largest ev manufacturer in the world at about four million vehicles um they started in batteries
[00:14:36.880 --> 00:14:44.400]   they they you know they compete in with uh foxconn to build mobile phones they bought jabel circuit you
[00:14:44.400 --> 00:14:51.840]   remember that old company i do and they make lots of things they make buses and subways and all kinds of
[00:14:51.840 --> 00:14:58.880]   different things but they got into cars uh over i don't know about five to ten years ago um they have
[00:14:58.880 --> 00:15:05.520]   a number of models they gave me this one this is you know a very kind of high-end sports car in fact i
[00:15:05.520 --> 00:15:11.440]   met a public company ceo that was proudly showing me this was his favorite car that he drives around
[00:15:11.440 --> 00:15:17.200]   they make an suv you can drive into the water wait i don't i don't know exactly why you'd want to do that
[00:15:17.200 --> 00:15:24.480]   but we rode it into the water drove around in the water and drove out um they have cars at 10 to 15
[00:15:24.480 --> 00:15:30.480]   grand price point on the entry side they've hired a european designer it's just how they're building
[00:15:30.480 --> 00:15:39.600]   stuff like this um on the higher end um and um they're very aggressive from a cost perspective
[00:15:39.600 --> 00:15:45.840]   yeah i think byd more than anyone on the cost side it's not preventing them from building higher
[00:15:45.840 --> 00:15:56.240]   in cars as well um so that's byd i also had a chance to visit xiaomi they also gave me a car the uh the
[00:15:56.240 --> 00:16:01.680]   xiaomi is a super interesting story if people don't know so i i would i was fortunate enough to meet
[00:16:01.680 --> 00:16:11.360]   leijun back in 03-04 um but about 13 10 to 13 years ago he started a phone company and that's what xiaomi is
[00:16:11.360 --> 00:16:17.840]   and that company's now third i think around the globe and handsets sold heavy in europe heavy in
[00:16:17.840 --> 00:16:25.520]   south america not just china um and three to four years ago i think around 2021 he decided to build a
[00:16:25.520 --> 00:16:30.800]   car and it was about the same time apple said they were going to build a car and and mind you this guy
[00:16:30.800 --> 00:16:38.880]   was back in 03 ran an e-commerce company called joio like like he's he wasn't i there's no reason he
[00:16:38.880 --> 00:16:45.520]   he should be able to build a phone and then build a car so what do you attribute that to bill like why
[00:16:45.520 --> 00:16:50.480]   you know when you see that you know again going back to dan wang's book he's like this is an
[00:16:50.480 --> 00:16:56.960]   engineering culture that has built these technological ecosystems that gives rise to a higher velocity of
[00:16:56.960 --> 00:17:02.240]   innovation uh you know than we see in the united states that dan would argue is bogged down by
[00:17:02.720 --> 00:17:10.320]   you know regulatory capture and lawyers etc why do you think uh you know xiaomi is so successful
[00:17:10.320 --> 00:17:16.560]   and by the way let me just share with you some numbers so so they're making uh a thousand of these
[00:17:16.560 --> 00:17:22.720]   a day they just came out with a kind of a kind of a thousand cars a day yeah in in this in the factory
[00:17:22.720 --> 00:17:29.680]   that i went to um it it it they're sold out they have like a 30 to 40 week backlog um you have to
[00:17:29.680 --> 00:17:35.200]   pay five grand to get on the waiting list the factory this is an interesting data point the factory
[00:17:35.200 --> 00:17:41.360]   makes a thousand cars a day with two thousand employees um it was highly automated like really
[00:17:41.360 --> 00:17:48.320]   highly automated i imagine that they plan to improve that number over the next five years let's say they
[00:17:48.320 --> 00:17:54.000]   took it to a thousand employees for a thousand cars that'd be employed per car per day that number is
[00:17:54.000 --> 00:18:00.320]   like at six in the u.s and that's super interesting for a number of things like if you want to bring
[00:18:00.320 --> 00:18:06.480]   the jobs back there by the time you get the jobs back there may not be any jobs like like at one because
