
[00:00:00.960 --> 00:00:06.640]   Yeah, okay. So, hello everyone. This is the Quint image paper, or technical report rather.
[00:00:06.640 --> 00:00:13.600]   So, let's get started. So, wait, wait, wait. We have a volunteer for next week, Venki.
[00:00:13.600 --> 00:00:20.480]   Yeah, Venki. Awesome. Let's go. Are you on the Discord?
[00:00:20.480 --> 00:00:25.280]   I think I'm on the Discord. If not, I'll ask my friend.
[00:00:25.840 --> 00:00:30.800]   Yeah, I mean, just announce what paper you're going through next week, and just drop the link
[00:00:30.800 --> 00:00:36.720]   to the paper so that people can pre-read this. Super excited for you to share, Venki. Looking
[00:00:36.720 --> 00:00:45.680]   forward to it. Thank you. Thank you, YouTube. Yeah, cool. Okay. So, yeah. So, we have Quint image.
[00:00:45.680 --> 00:00:53.840]   So, it's a diffusion image generation model. That's pretty nice. And throughout the paper,
[00:00:55.120 --> 00:00:58.640]   they talk about how it's a diffusion model, obviously, but they kind of put special emphasis
[00:00:58.640 --> 00:01:06.960]   on how the model does well in Chinese. Or, like, logographic languages, including Chinese and others.
[00:01:06.960 --> 00:01:12.720]   And also, we kind of get to see how they curate their data, and also how they label it,
[00:01:12.720 --> 00:01:17.680]   and the different techniques that they use. Yeah, I find that pretty interesting. So, let's see.
[00:01:17.680 --> 00:01:23.680]   So, it's Quint image. So, it achieves significant advances in complex text rendering and precise image
[00:01:23.680 --> 00:01:28.640]   editing. That's pretty cool. They use a progressive training strategy. So, yeah. So, with this, they use,
[00:01:28.640 --> 00:01:33.440]   essentially, curriculum learning. Like, for a stage, they train the model on, like, very, very low
[00:01:33.440 --> 00:01:40.240]   resolution/quality images, like 256 pixel, or, like, 256 by 256 images. And they kind of, like,
[00:01:40.240 --> 00:01:46.800]   progress. Like, they make the images, like, sharper and sharper, which I find interesting. So,
[00:01:46.800 --> 00:01:53.280]   that's a form of curriculum learning. Let's see. English, Chinese. And they also use VAE, like,
[00:01:53.280 --> 00:01:58.800]   a variational autoencoder, and also a language model, or, like, a visual language model, to,
[00:01:58.800 --> 00:02:03.520]   like, to kind of have, like, a system one, system two thing, where, like, they use the VAE encoder to
[00:02:03.520 --> 00:02:09.600]   encode low-level, like, physical or, like, spatial details within the image. And they use their language
[00:02:09.600 --> 00:02:17.600]   model, like, when 2.5 VL to encode, like, the more, like, semantic part of the image. So, I kind of
[00:02:17.600 --> 00:02:22.720]   found that interesting also. So, let's see. There's nothing new here. These are a bunch of benchmarks.
[00:02:22.720 --> 00:02:25.440]   You guys can read it if you want. But I'll kind of skip them.
[00:02:25.440 --> 00:02:31.520]   A bunch of images. Pretty cool.
