
[00:00:00.000 --> 00:00:29.000]   *Footsteps*
[00:00:29.000 --> 00:00:35.000]   This video is of Mark Zuckerberg and I, Lex Friedman, training Jiu Jitsu.
[00:00:35.000 --> 00:00:39.240]   A martial art with the goal of attaining positional dominance of your opponent and then to submit
[00:00:39.240 --> 00:00:44.520]   them by breaking their arm or leg or choking them unconscious, but stopping right before
[00:00:44.520 --> 00:00:48.760]   that as your opponent taps twice to designate that they give up.
[00:00:48.760 --> 00:00:53.900]   I'm a black belt in Jiu Jitsu and have been doing it for over 15 years and also Judo and
[00:00:53.900 --> 00:00:55.680]   Wrestling for 10 more.
[00:00:55.680 --> 00:00:58.760]   Mark has been training Jiu Jitsu for just over a year.
[00:00:58.760 --> 00:01:03.440]   And has taken this journey on with humility and with a seriousness that to me is truly
[00:01:03.440 --> 00:01:04.820]   inspiring.
[00:01:04.820 --> 00:01:09.240]   This was recorded shortly after our recent podcast conversation.
[00:01:09.240 --> 00:01:14.700]   And given the recent back and forth between Elon and Zuck on social media, I should mention
[00:01:14.700 --> 00:01:19.700]   that I'm a long time friend of Elon and a new friend of Zuck, and I'm excited to see
[00:01:19.700 --> 00:01:25.200]   them take on the journey of being martial artists in their own way and I look forward
[00:01:25.200 --> 00:01:27.440]   to training with each of them.
[00:01:27.440 --> 00:01:28.520]   They both run large groups.
[00:01:28.520 --> 00:01:31.340]   Large, successful, impactful companies.
[00:01:31.340 --> 00:01:33.420]   And so they're super busy.
[00:01:33.420 --> 00:01:37.520]   But I do believe there's tremendous value in them practicing martial arts as it will
[00:01:37.520 --> 00:01:43.780]   make them better leaders, better human beings, and students of human nature.
[00:01:43.780 --> 00:01:47.540]   First and foremost, at least to me, Jiu Jitsu is humbling.
[00:01:47.540 --> 00:01:52.680]   And humility is a powerful tool for innovation and leadership.
[00:01:52.680 --> 00:01:58.280]   Let me quote here as one must, the great Miyamoto Musashi, a Japanese swordsman.
[00:01:58.280 --> 00:02:01.100]   And warrior philosopher from the 17th century.
[00:02:01.100 --> 00:02:06.100]   "Think lightly of yourself and deeply of the world."
[00:02:06.100 --> 00:02:08.760]   That said, this is a martial art.
[00:02:08.760 --> 00:02:16.780]   So he also did say that the way of the warrior is the resolute acceptance of death.
[00:02:16.780 --> 00:02:22.700]   In this video, you see Mark and I doing live technical training and some practice of techniques
[00:02:22.700 --> 00:02:27.320]   under the guidance of the legendary Jiu Jitsu and Judo instructor, Dave Camarillo.
[00:02:27.320 --> 00:02:28.040]   And now dear friends.
[00:02:28.040 --> 00:02:29.040]   Here's Mark Zuckerberg and I training some Jiu Jitsu.
[00:02:29.040 --> 00:02:30.040]   What are we doing?
[00:02:30.040 --> 00:02:31.040]   You can grapple too.
[00:02:31.040 --> 00:02:32.040]   Ah, sorry.
[00:02:32.040 --> 00:02:33.040]   You want a little high?
[00:02:33.040 --> 00:02:34.040]   Or up here?
[00:02:34.040 --> 00:02:35.040]   I just don't want to give you a shock.
[00:02:35.040 --> 00:02:36.040]   Okay.
[00:02:36.040 --> 00:02:37.040]   Yeah, no worries.
[00:02:37.040 --> 00:02:38.040]   I'm just going to go ahead and do this.
[00:02:38.040 --> 00:02:39.040]   I'm going to go ahead and do this.
[00:02:39.040 --> 00:02:40.040]   I'm going to go ahead and do this.
[00:02:40.040 --> 00:02:41.040]   I'm going to go ahead and do this.
[00:02:41.040 --> 00:02:42.040]   I'm going to go ahead and do this.
[00:02:42.040 --> 00:02:43.040]   I'm going to go ahead and do this.
[00:02:43.040 --> 00:02:44.040]   I'm going to go ahead and do this.
[00:02:44.040 --> 00:02:45.040]   I'm going to go ahead and do this.
[00:02:45.040 --> 00:02:46.040]   I'm going to go ahead and do this.
[00:02:46.040 --> 00:02:47.040]   I'm going to go ahead and do this.
[00:02:47.040 --> 00:02:48.040]   I'm going to go ahead and do this.
[00:02:48.040 --> 00:02:49.040]   I'm going to go ahead and do this.
[00:02:49.040 --> 00:02:50.040]   I'm going to go ahead and do this.
[00:02:50.040 --> 00:02:51.040]   I'm going to go ahead and do this.
[00:02:51.040 --> 00:02:52.040]   I'm going to go ahead and do this.
[00:02:52.040 --> 00:02:53.040]   I'm going to go ahead and do this.
[00:02:53.040 --> 00:02:54.040]   I'm going to go ahead and do this.
[00:02:54.040 --> 00:02:55.040]   I'm going to go ahead and do this.
[00:02:55.040 --> 00:02:56.040]   I'm going to go ahead and do this.
[00:02:56.040 --> 00:02:57.040]   I'm going to go ahead and do this.
[00:02:57.040 --> 00:02:58.040]   I'm going to go ahead and do this.
[00:02:58.040 --> 00:02:59.040]   I'm going to go ahead and do this.
[00:02:59.040 --> 00:03:00.040]   I'm going to go ahead and do this.
[00:03:00.040 --> 00:03:01.040]   I'm going to go ahead and do this.
[00:03:01.040 --> 00:03:02.040]   I'm going to go ahead and do this.
[00:03:02.040 --> 00:03:03.040]   I'm going to go ahead and do this.
