
[00:00:00.640 --> 00:00:02.120]   - Welcome, everyone.
[00:00:02.120 --> 00:00:05.240]   My name is Mason Egger, I work at Temporal,
[00:00:05.240 --> 00:00:07.280]   and today we're gonna talk about events
[00:00:07.280 --> 00:00:09.920]   are the wrong abstraction for your AI agents.
[00:00:09.920 --> 00:00:13.000]   So, who here, raise of hands, recognizes
[00:00:13.000 --> 00:00:15.480]   what this diagram is, out of curiosity?
[00:00:15.480 --> 00:00:18.160]   Okay, so this is an abstract,
[00:00:18.160 --> 00:00:20.320]   and we're gonna talk about events
[00:00:20.320 --> 00:00:23.040]   or the wrong abstraction for your AI agents.
[00:00:23.040 --> 00:00:26.120]   So, who here, raise of hands, recognizes
[00:00:26.120 --> 00:00:28.600]   what this diagram is, out of curiosity?
[00:00:28.600 --> 00:00:32.240]   Okay, so this is a map of our solar system
[00:00:32.240 --> 00:00:34.280]   in a geocentric projection.
[00:00:34.280 --> 00:00:35.920]   This is where we have Earth
[00:00:35.920 --> 00:00:37.560]   as the center of our solar system,
[00:00:37.560 --> 00:00:40.280]   and this is how celestial objects move around the Earth.
[00:00:40.280 --> 00:00:44.320]   And this was used to kind of calculate celestial trajectories
[00:00:44.320 --> 00:00:46.520]   prior to like the 16th, 17th century.
[00:00:46.520 --> 00:00:49.840]   It's really pretty, I really like it.
[00:00:49.840 --> 00:00:52.400]   Complex, but really nice.
[00:00:52.400 --> 00:00:54.120]   And then around the 16th century,
[00:00:54.120 --> 00:00:56.040]   Copernicus decided to put the sun
[00:00:56.040 --> 00:00:58.560]   at the center of the solar system,
[00:00:58.560 --> 00:01:01.600]   and it greatly simplified how we view our world
[00:01:01.600 --> 00:01:03.040]   and how we view the universe.
[00:01:03.040 --> 00:01:05.160]   This allowed people to start thinking about the laws of nature.
[00:01:05.160 --> 00:01:07.800]   We got the laws of gravity and a lot of different things
[00:01:07.800 --> 00:01:10.560]   because of us being able to recenter our focus
[00:01:10.560 --> 00:01:13.760]   on how we look at the way that we're looking at things,
[00:01:13.760 --> 00:01:15.480]   the way that we build things.
[00:01:15.480 --> 00:01:17.720]   And basically, a whole series of new discoveries
[00:01:17.720 --> 00:01:21.040]   and developments were made simply by just focusing our shift
[00:01:21.040 --> 00:01:23.360]   on how we decide to look at things.
[00:01:23.360 --> 00:01:26.600]   Now, it's interesting to note that both of these are actually accurate.
[00:01:26.600 --> 00:01:27.920]   They're both correct.
[00:01:27.920 --> 00:01:32.720]   However, it's interesting that you have to take the right frame of mind
[00:01:32.720 --> 00:01:35.120]   and look at what do you need to use,
[00:01:35.120 --> 00:01:37.840]   what tools do you need to use, what software are you using,
[00:01:37.840 --> 00:01:40.880]   and determine how do we want to use this as a reference.
[00:01:40.880 --> 00:01:43.520]   So, for example, if we're looking at something like a moon trajectory,
[00:01:43.520 --> 00:01:46.400]   it might be useful to use the Earth as the frame of reference here.
[00:01:46.400 --> 00:01:48.200]   But if you're thinking about something like the planets
[00:01:48.200 --> 00:01:50.760]   and how planetary objects move, then it's probably more useful
[00:01:50.760 --> 00:01:52.760]   to put the sun at the center of your ecosystem.
[00:01:52.760 --> 00:01:55.080]   So you're probably wondering why I'm talking about this,
