
[00:00:00.000 --> 00:00:06.540]   [ Applause ]
[00:00:06.540 --> 00:00:07.480]   All right.
[00:00:07.480 --> 00:00:11.980]   This next presentation we're going to do is another interview.
[00:00:11.980 --> 00:00:18.420]   But I have not -- I've decided not to ambush Wade with any questions.
[00:00:18.420 --> 00:00:21.020]   So I gave him my list of questions before we started.
[00:00:21.020 --> 00:00:22.160]   He had a week to think about it.
[00:00:22.160 --> 00:00:24.700]   I even said, "If you want to throw a few slides together
[00:00:24.700 --> 00:00:26.360]   to help answer some of these, you can."
[00:00:26.360 --> 00:00:28.600]   And so he has a few slides we'll use.
[00:00:28.600 --> 00:00:30.500]   Our clicker is not working perfectly.
[00:00:30.500 --> 00:00:32.560]   So we'll be doing the next slide thing.
[00:00:32.560 --> 00:00:34.700]   But it's going to work out okay.
[00:00:34.700 --> 00:00:38.840]   For those who don't know Wade, Wade has a PhD and a CFA.
[00:00:38.840 --> 00:00:43.740]   He is the founder of Retirement Researcher, which is an educational resource
[00:00:43.740 --> 00:00:48.780]   for individuals and financial advisors on topics related to retirement income planning.
[00:00:48.780 --> 00:00:51.220]   He's published a gazillion papers.
[00:00:51.220 --> 00:00:53.120]   He's published four books.
[00:00:53.120 --> 00:00:56.560]   And he's been all over all the journals
[00:00:56.560 --> 00:00:59.520]   and publications you would expect somebody of a stature to be in,
[00:00:59.520 --> 00:01:03.100]   like the Wall Street Journal, Time, Kiplinger's Money, et cetera.
[00:01:03.100 --> 00:01:05.200]   So very accomplished in his career so far.
[00:01:05.200 --> 00:01:10.300]   His focus has been on retirement, planning for retirement, helping retirees get
[00:01:10.300 --> 00:01:13.900]   through retirement, different types of withdrawals, and things like that.
[00:01:13.900 --> 00:01:20.340]   So what I like the most about Wade, though, is Wade is not afraid to take another look
[00:01:20.340 --> 00:01:26.840]   at something in an unconventional way and say, how can that be useful to retirees?
[00:01:26.840 --> 00:01:29.540]   And so we're going to talk about some of those topics today.
[00:01:29.540 --> 00:01:31.820]   But before we get into it, the first thing I want to talk
[00:01:31.820 --> 00:01:34.880]   about is something we run into all the time in medicine.
[00:01:34.880 --> 00:01:39.520]   I'm a practicing doc, and we have something called the Sunshine Act in medicine,
[00:01:39.520 --> 00:01:44.800]   where if somebody buys me lunch, like a drug rep buys me lunch, a $15 lunch,
[00:01:44.800 --> 00:01:48.340]   that goes in a database, a publicly searchable database.
[00:01:48.340 --> 00:01:50.960]   Medicine's very big on conflicts of interest.
[00:01:50.960 --> 00:01:53.240]   The financial services industry, not as much.
[00:01:53.240 --> 00:01:56.980]   But we're going to start talking about that.
[00:01:56.980 --> 00:02:00.320]   And anyone who wants to make a living today doing anything
[00:02:00.320 --> 00:02:03.880]   in financial services has conflicts of interest.
[00:02:03.880 --> 00:02:09.320]   And, Wade, can you talk a little bit about your conflicts of interest and then more generally
[00:02:09.320 --> 00:02:14.420]   about what you think an investor ought to do about conflicts when reading or listening
[00:02:14.420 --> 00:02:17.340]   to the words of somebody like you that has conflicts?
[00:02:17.340 --> 00:02:21.900]   You know, is disclosure enough, or should the presence of conflicts keep them from,
[00:02:21.900 --> 00:02:23.940]   you know, taking your advice and that sort of thing?
[00:02:23.940 --> 00:02:27.080]   Can you talk about your conflicts and how people ought to look at them?
[00:02:27.080 --> 00:02:27.980]   >> Yeah, yeah, absolutely.
[00:02:27.980 --> 00:02:30.420]   And thank you for having the session before lunch
[00:02:30.420 --> 00:02:33.780]   so that people couldn't get tomatoes from their salads to throw at me.
[00:02:33.780 --> 00:02:36.220]   Oh, it's not working yet.
[00:02:36.220 --> 00:02:37.780]   Can you hear okay?
[00:02:37.780 --> 00:02:42.460]   Okay. So, yeah, so let me -- oh, not quite loud enough.
[00:02:42.460 --> 00:02:50.140]   All right, so with conflicts, I think in the context of bogleheads looking
[00:02:50.140 --> 00:02:53.500]   at the forums, the big issue is insurance.
[00:02:53.500 --> 00:02:56.580]   So I want to talk about the insurance conflicts a little bit.
[00:02:56.580 --> 00:02:59.940]   First, as presented, it's a little bit of a chicken and an egg problem,
[00:02:59.940 --> 00:03:03.500]   but then gets specifically into the conflict issue itself.
[00:03:03.500 --> 00:03:06.300]   So I was a professor in Japan.
[00:03:06.300 --> 00:03:10.020]   I was teaching students mainly from emerging market countries.
[00:03:10.020 --> 00:03:13.780]   I was doing research on pension funds in emerging market countries.
[00:03:13.780 --> 00:03:16.220]   I wanted to move back to the United States.
[00:03:16.220 --> 00:03:19.820]   I realized emerging market pension fund research is not going to be
[00:03:19.820 --> 00:03:22.260]   of interest to U.S.-based employers.
[00:03:22.260 --> 00:03:24.700]   So I started looking for, like, what could I do?
[00:03:24.700 --> 00:03:27.340]   I studied -- that's when I studied for the CFA exam.
[00:03:27.340 --> 00:03:29.500]   That's when I came across the 4% rule.
[00:03:29.500 --> 00:03:34.460]   Now, as part of living in Japan, I had access to the -- it's now owned by Morningstar.
[00:03:34.460 --> 00:03:37.900]   It was a Dim Sum Stanton March global returns data set.
[00:03:37.900 --> 00:03:41.500]   And I was just curious, did the idea of the 4% rule in retirement income that was based
[00:03:41.500 --> 00:03:45.420]   on U.S. historical data, did that work in other countries?
[00:03:45.420 --> 00:03:50.340]   And so this article was published in 2010 when I was still just simply a professor in Japan
[00:03:50.340 --> 00:03:55.420]   with no connection to anything in the United States in terms of financial services.
[00:03:55.420 --> 00:03:58.580]   And the answer is, no, it's really an artifact of U.S. data.
[00:03:58.580 --> 00:04:01.780]   Now, Canada, too, and this is the original research
[00:04:01.780 --> 00:04:04.980]   where I gave the best possible asset allocation rather than looking
[00:04:04.980 --> 00:04:07.420]   at just, well, maybe a 50/50 portfolio.
[00:04:07.420 --> 00:04:10.340]   But generally, the 4% rule didn't work around the world.
[00:04:10.340 --> 00:04:13.500]   So then I started to read more about retirement income planning.
[00:04:13.500 --> 00:04:16.820]   I quickly realized that there's very conflicting viewpoints about this.
[00:04:16.820 --> 00:04:19.980]   So there's -- for a long time, I talked about this idea that there's two schools
[00:04:19.980 --> 00:04:22.860]   of thought, probability-based and safety-first.
[00:04:22.860 --> 00:04:24.540]   And there's just these huge disagreements.
[00:04:24.540 --> 00:04:26.780]   And you can see a lot of that at the boba heads.
[00:04:26.780 --> 00:04:29.180]   Questions like, is the 4% rule any good?
[00:04:29.180 --> 00:04:30.660]   Is there any role for annuities?
[00:04:30.660 --> 00:04:33.500]   All these kinds of questions where you can have people answer them
[00:04:33.500 --> 00:04:35.420]   in the exact opposite manner.
[00:04:35.420 --> 00:04:37.340]   And I just started exploring this more.
[00:04:37.340 --> 00:04:38.500]   I'm still living in Japan.
[00:04:38.500 --> 00:04:41.620]   I'm still not at this point -- well, by this point, I was maybe starting
[00:04:41.620 --> 00:04:45.260]   to actually look for a job in the U.S. But I'm still pretty much isolated
[00:04:45.260 --> 00:04:47.220]   from U.S. financial services.
[00:04:47.220 --> 00:04:51.100]   I wrote an article on this idea of the efficient frontier for retirement income,
[00:04:51.100 --> 00:04:54.660]   which really -- it doesn't say that annuities are a replacement for stocks.
[00:04:54.660 --> 00:04:57.580]   It's -- the conversation's always around bonds.
[00:04:57.580 --> 00:05:00.820]   And the idea of the efficient frontier for retirement income,
[00:05:00.820 --> 00:05:04.180]   instead of looking at stock bond allocations, you look at allocations
[00:05:04.180 --> 00:05:06.900]   of stocks in lifetime income annuities.
[00:05:06.900 --> 00:05:10.780]   And that's still pretty like chicken and egg here, pure research.
[00:05:10.780 --> 00:05:13.020]   Now, this is where the conflicts come in.
[00:05:13.020 --> 00:05:16.540]   As I move back to the United States, insurance companies want
[00:05:16.540 --> 00:05:18.220]   to promote this research.
[00:05:18.220 --> 00:05:23.060]   And so if you see an industry white paper out there that's --
[00:05:23.060 --> 00:05:27.260]   this paper is presented by insurance company A, I'm the author.
[00:05:27.260 --> 00:05:28.900]   Yes, I was probably paid something to do that.
[00:05:28.900 --> 00:05:33.180]   Now, there are exceptions because I do occasionally see my name being used
[00:05:33.180 --> 00:05:34.820]   in ways I didn't even know about.
[00:05:34.820 --> 00:05:39.180]   But probably, probably I was paid something to do that white paper.
[00:05:39.180 --> 00:05:41.020]   So that does create a conflict.
[00:05:41.020 --> 00:05:43.220]   Yes, you should be skeptical about it.
[00:05:43.220 --> 00:05:47.580]   Now, one aspect of this research that's different from a lot
[00:05:47.580 --> 00:05:50.900]   of research, it's possible to make up data.
[00:05:50.900 --> 00:05:52.900]   And that's less possible with this.
[00:05:52.900 --> 00:05:56.100]   Like, if you disagree with the conclusions of the paper,
[00:05:56.100 --> 00:05:58.740]   what I'm basically doing is math calculations.
[00:05:58.740 --> 00:06:00.380]   I'm explaining the methodology.
