
[00:00:00.040 --> 00:00:09.560]  �
[00:00:09.560 --> 00:00:10.140]  ree save the. Sh,
[00:00:10.140 --> 00:00:20.060]   12
[00:00:20.060 --> 00:00:28.140]   line
[00:00:28.840 --> 00:00:43.280]   Today on Radical Personal Finance, I have a special treat for you. A joint show with my friend David Stein, who is the host of the excellent personal finance and investing podcast called Money for the Rest of Us.
[00:00:43.280 --> 00:00:56.920]   Back in episode 466 in June of 2017, I recorded an episode called The USA's Long-Term Fiscal Gap and Why It Matters to You.
[00:00:56.920 --> 00:00:57.640]   The USA's Long-Term Fiscal Gap and Why It Matters to You.
[00:00:57.640 --> 00:00:57.640]   The USA's Long-Term Fiscal Gap and Why It Matters to You.
[00:00:57.640 --> 00:00:57.640]   The USA's Long-Term Fiscal Gap and Why It Matters to You.
[00:00:57.640 --> 00:00:57.640]   The USA's Long-Term Fiscal Gap and Why It Matters to You.
[00:00:57.640 --> 00:00:57.640]   The USA's Long-Term Fiscal Gap and Why It Matters to You.
[00:00:57.640 --> 00:00:57.640]   The USA's Long-Term Fiscal Gap and Why It Matters to You.
[00:00:57.680 --> 00:01:26.560]  ,
[00:01:26.560 --> 00:01:27.660]   and it's generational consequences.
[00:01:27.660 --> 00:01:27.660]   I read an essay by Professor Lawrence Kotlikoff.
[00:01:27.660 --> 00:01:27.660]   I believe I read his testimony that he presented to the U.S. Congress on the subject of what is referred to as the unfunded liabilities of the U.S. government. Unfunded liabilities are those promises that have been made to citizens of promises of benefits, but promises that have not been paid for nor has money been allocated to citizens.
[00:01:27.660 --> 00:01:27.660]   I read an essay by Professor Lawrence Kotlikoff.
[00:01:27.680 --> 00:01:57.680]   I read an essay by Professor Lawrence Kotlikoff.
[00:01:57.680 --> 00:01:57.680]   I read an essay by Professor Lawrence Kotlikoff.
[00:01:57.680 --> 00:01:57.680]   I read an essay by Professor Lawrence Kotlikoff.
[00:01:57.680 --> 00:01:57.680]   I read an essay by Professor Lawrence Kotlikoff.
[00:01:57.680 --> 00:01:57.680]   I read an essay by Professor Lawrence Kotlikoff.
[00:01:57.680 --> 00:01:57.680]   I read an essay by Professor Lawrence Kotlikoff.
[00:01:57.680 --> 00:01:57.680]   I read an essay by Professor Lawrence Kotlikoff.
[00:01:57.680 --> 00:01:57.680]   I read an essay by Professor Lawrence Kotlikoff.
[00:01:57.680 --> 00:01:57.680]   I read an essay by Professor Lawrence Kotlikoff.
[00:01:57.680 --> 00:01:57.680]   I read an essay by Professor Lawrence Kotlikoff.
[00:01:57.680 --> 00:01:57.680]   I read an essay by Professor Lawrence Kotlikoff.
[00:01:57.680 --> 00:01:57.680]   I read an essay by Professor Lawrence Kotlikoff.
[00:01:57.820 --> 00:02:27.700]   I read an essay by Professor Lawrence Kotlikoff.
[00:02:27.700 --> 00:02:27.700]   I read an essay by Professor Lawrence Kotlikoff.
[00:02:27.700 --> 00:02:27.700]   I read an essay by Professor Lawrence Kotlikoff.
[00:02:27.700 --> 00:02:27.700]   I read an essay by Professor Lawrence Kotlikoff.
[00:02:27.700 --> 00:02:27.700]   I read an essay by Professor Lawrence Kotlikoff.
[00:02:27.700 --> 00:02:27.700]   I read an essay by Professor Lawrence Kotlikoff.
[00:02:27.700 --> 00:02:27.700]   I read an essay by Professor Lawrence Kotlikoff. I read an essay by Professor Lawrence Kotlikoff.
[00:02:27.720 --> 00:02:57.720]   I read an essay by Professor Lawrence Kotlikoff. I read an essay by Professor Lawrence Kotlikoff.
[00:02:57.720 --> 00:02:57.720]   I read an essay by Professor Lawrence Kotlikoff. I read an essay by Professor Lawrence Kotlikoff.
[00:02:57.720 --> 00:02:57.720]   I read an essay by Professor Lawrence Kotlikoff. I read an essay by Professor Lawrence Kotlikoff.
[00:02:57.720 --> 00:02:57.720]   I read an essay by Professor Lawrence Kotlikoff. I read an essay by Professor Lawrence Kotlikoff.
