
[00:00:00.000 --> 00:00:05.480]   The holidays start here at Ralph's with a variety of options to celebrate traditions old and new.
[00:00:05.480 --> 00:00:13.540]   Whether you're making a traditional roasted turkey or spicy turkey tacos, your go-to shrimp cocktail, or your first Cajun risotto,
[00:00:13.540 --> 00:00:17.600]   Ralph's has all the freshest ingredients to embrace your traditions.
[00:00:17.600 --> 00:00:19.880]   Ralph's, fresh for everyone.
[00:00:19.880 --> 00:00:26.140]   Choose from a great selection of digital coupons and use them up to five times in one transaction. Check our app for details.
[00:00:26.140 --> 00:00:28.640]   Ralph's, fresh for everyone.
[00:00:29.640 --> 00:00:34.640]   Radical Personal Finance is brought to you today by you, the listener.
[00:00:34.640 --> 00:00:44.640]   If you'd like to help make sure that the show is here with the consistency, the quality, and the unbiased point of view that you've come to expect,
[00:00:44.640 --> 00:00:50.640]   please go to radicalpersonalfinance.com/patron and support the show.
[00:00:50.640 --> 00:00:59.640]   Have you ever wanted to take on an industry all by yourself and revolutionize an industry?
[00:00:59.640 --> 00:01:07.640]   Well, today's guest is trying to do exactly that. He's trying to revolutionize the financial planning industry.
[00:01:07.640 --> 00:01:25.640]   Welcome to the Radical Personal Finance Podcast.
[00:01:25.640 --> 00:01:30.640]   My name is Joshua Sheets and today is Thursday, February 26, 2015.
[00:01:30.640 --> 00:01:39.640]   On Thursdays, we usually do interviews and today we do an interview with Alan Moore, founder of the XY Planning Network.
[00:01:39.640 --> 00:01:47.640]   After all, financial planning is not just for boomers anymore and Alan's a big reason as to why I can say that statement.
[00:01:47.640 --> 00:02:06.640]   There is today a whole entire cohort of people trying to shake up the financial planning industry and many of those people have gathered underneath the banner of the XY Planning Network.
[00:02:06.640 --> 00:02:09.640]   Now, there are other banners as well in financial planning.
[00:02:09.640 --> 00:02:14.640]   There's the NAPFA banner. All the NAPFA folks are trying to shake up the financial planning industry.
[00:02:14.640 --> 00:02:24.640]   There's the Garrett Planning Network. They're trying to shake up the financial planning industry and who knows who's going to win and who's not and who knows who's going to succeed long term and who's not.
[00:02:24.640 --> 00:02:30.640]   But XY Planning Network has come on the scene in a big way since they launched less than a year ago.
[00:02:30.640 --> 00:02:34.640]   You've heard me mention them a couple of times on the show and today we're going to talk with Alan.
[00:02:34.640 --> 00:02:43.640]   Alan is the co-founder of the organization. I believe it was actually his idea and then he has worked with Michael Kitsis who you previously heard on the show.
[00:02:43.640 --> 00:03:01.640]   They are co-founders of the XY Planning Network and the goal of the XY Planning Network is they're trying to foster a new practice model for reaching and helping generations X and Y, basically anyone who's not a baby boomer with financial planning.
[00:03:01.640 --> 00:03:07.640]   They're bringing together a number of independent financial planners all underneath one umbrella.
[00:03:07.640 --> 00:03:18.640]   I was actually previously a part of the XY Planning Network. When I left the firm I was with previously, I was in the process of establishing my own financial planning firm.
[00:03:18.640 --> 00:03:24.640]   When I heard – as you'll hear in this interview, when I heard about XY and what they were doing, I immediately said yes.
[00:03:24.640 --> 00:03:27.640]   I don't want to go this alone and try to figure this out and just do my ideas.
[00:03:27.640 --> 00:03:37.640]   I'd rather work with people who have already – who are doing this because in the launch of any new business, in the launch of any new industry or new approach, it's just fraught with problems.
[00:03:37.640 --> 00:03:48.640]   Sometimes you need someone that understands the problems that you can sit and talk through and in my mind, this new practice model that the XY Planning Network is offering is similar to that.
