
[00:00:00.040 --> 00:00:09.400]   Angeb
[00:00:09.400 --> 00:00:28.220]   all. I a
[00:01:26.380 --> 00:01:39.120]   Lac Mande, in the name of Jesus Christ, I ask that you please stand by and be prepared for the day of our Lord, this day of August, and of the independence of the United States of America, the 243rd, Donald J. Trump.
[00:01:39.120 --> 00:01:45.100]   I always enjoy presidential proclamations. They're funny because it's such a formal language that we don't use much in day-to-day discourse.
[00:01:45.100 --> 00:01:51.340]   But September is indeed the National Preparedness Month by virtue of presidential proclamation.
[00:01:51.340 --> 00:01:55.120]   And I'm just going to use this as a rough outline for various things.
[00:01:55.120 --> 00:01:55.120]   The National Preparedness Month is the national day of our Lord, this day of August, and the year of our Lord, 2018, and of the independence of the United States of America, the 243rd, Donald J. Trump.
[00:01:55.140 --> 00:02:11.600]   I a a series of shows which I'll be sharing with you here in the month because I am convinced there is a deep connection between the term or the word preparedness and all of its associated concepts and financial planning.
[00:02:11.600 --> 00:02:18.080]   Preparedness is basically the root of good financial planning.
[00:02:18.080 --> 00:02:24.380]   Now, in the traditional sense of financial planning, we usually think of financial products.
[00:02:24.380 --> 00:02:24.840]   So, let's start with the traditional sense of financial planning.
[00:02:24.840 --> 00:02:24.980]   The traditional sense of financial planning is that we usually think of financial products.
[00:02:24.980 --> 00:02:25.100]   The traditional sense of financial planning is that we usually think of financial products.
[00:02:25.100 --> 00:02:25.140]   The traditional sense of financial planning is that we usually think of financial products.
[00:02:25.140 --> 00:02:25.160]   The traditional sense of financial planning is that we usually think of financial products.
[00:02:25.160 --> 00:02:25.160]   And the traditional sense of financial planning is that we usually think of financial products.
[00:02:25.160 --> 00:02:55.180]  , and the traditional sense of financial planning is that we usually think of financial products.
[00:02:55.180 --> 00:02:55.180]   And the traditional sense of financial planning is that we usually think of financial products.
[00:02:55.180 --> 00:02:55.180]   And the traditional sense of financial planning is that we usually think of financial products.
[00:02:55.180 --> 00:02:55.180]   And the traditional sense of financial planning is that we usually think of financial products.
[00:02:55.180 --> 00:02:55.180]   And the traditional sense of financial planning is that we usually think of financial products.
[00:02:55.180 --> 00:02:55.180]   And the traditional sense of financial planning is that we usually think of financial products.
[00:02:55.180 --> 00:02:55.180]   And the traditional sense of financial planning is that we usually think of financial products.
[00:02:55.200 --> 00:03:25.200]   The traditional sense of financial planning is that we usually think of financial products.
[00:03:25.200 --> 00:03:25.200]   The traditional sense of financial planning is that we usually think of financial products.
[00:03:25.200 --> 00:03:25.200]   The traditional sense of financial planning is that we usually think of financial products.
[00:03:25.200 --> 00:03:25.200]   The traditional sense of financial planning is that we usually think of financial products.
[00:03:25.200 --> 00:03:25.200]   The traditional sense of financial planning is that we usually think of financial products.
[00:03:25.200 --> 00:03:25.200]   The traditional sense of financial planning is that we usually think of financial products.
[00:03:25.200 --> 00:03:25.200]   The traditional sense of financial planning is that we usually think of financial products.
[00:03:25.200 --> 00:03:25.200]   The traditional sense of financial planning is that we usually think of financial products.
[00:03:25.200 --> 00:03:25.200]   The traditional sense of financial planning is that we usually think of financial products.
[00:03:25.200 --> 00:03:25.200]   The traditional sense of financial planning is that we usually think of financial products.
[00:03:25.200 --> 00:03:25.200]   The traditional sense of financial planning is that we usually think of financial products.
[00:03:25.200 --> 00:03:25.200]   The traditional sense of financial planning is that we usually think of financial products.
[00:03:25.220 --> 00:03:55.220]   The traditional sense of financial planning is that we usually think of financial products.
[00:03:55.220 --> 00:03:55.220]   The traditional sense of financial planning is that we usually think of financial products.
[00:03:55.220 --> 00:03:55.220]   The traditional sense of financial planning is that we usually think of financial products.
[00:03:55.220 --> 00:03:55.220]   The traditional sense of financial planning is that we usually think of financial products.
[00:03:55.220 --> 00:03:55.220]   The traditional sense of financial planning is that we usually think of financial products.
[00:03:55.220 --> 00:03:55.220]   The traditional sense of financial planning is that we usually think of financial products.
[00:03:55.220 --> 00:03:55.220]   The traditional sense of financial planning is that we usually think of financial products.
[00:03:55.220 --> 00:03:55.220]   The traditional sense of financial planning is that we usually think of financial products.
[00:03:55.220 --> 00:03:55.220]   The traditional sense of financial planning is that we usually think of financial products.
[00:03:55.220 --> 00:03:55.220]   The traditional sense of financial planning is that we usually think of financial products.
[00:03:55.260 --> 00:04:25.240]   the traditional sense of financial planning is that we usually think of financial products.
[00:04:25.240 --> 00:04:25.240]   The traditional sense of financial planning is that we usually think of financial products.
[00:04:25.240 --> 00:04:25.240]   The traditional sense of financial planning is that we usually think of financial products.
[00:04:25.240 --> 00:04:25.240]   The traditional sense of financial planning is that we usually think of financial products.
[00:04:25.240 --> 00:04:25.240]   The traditional sense of financial planning is that we usually think of financial products.
[00:04:25.240 --> 00:04:25.240]   The traditional sense of financial planning is that we usually think of financial products.
[00:04:25.240 --> 00:04:25.240]   The traditional sense of financial planning is that we usually think of financial products.
[00:04:25.240 --> 00:04:25.240]   The traditional sense of financial planning is that we usually think of financial products.
[00:04:25.240 --> 00:04:25.240]   The traditional sense of financial planning is that we usually think of financial products.
[00:04:25.240 --> 00:04:25.240]   The traditional sense of financial planning is that we usually think of financial products.
