
[00:00:00.000 --> 00:00:01.000]   [GASP]
[00:00:01.000 --> 00:00:02.000]   [GLASS BREAKING]
[00:00:02.000 --> 00:00:03.000]   [SIGH]
[00:00:03.000 --> 00:00:06.000]   Shop break-resistant glassware at wineenthusiast.com
[00:00:06.000 --> 00:00:07.000]   so you can spend more time--
[00:00:07.000 --> 00:00:08.000]   [DING]
[00:00:08.000 --> 00:00:09.000]   --and less time--
[00:00:09.000 --> 00:00:10.000]   [GLASS BREAKING]
[00:00:10.000 --> 00:00:12.000]   --ugh, I'll get the broom.
[00:00:12.000 --> 00:00:14.000]   Shop our Black Friday and Cyber Monday deals
[00:00:14.000 --> 00:00:17.000]   for the best prices of the season on wine storage, gifts,
[00:00:17.000 --> 00:00:18.000]   and more.
[00:00:18.000 --> 00:00:21.000]   Plus, get free shipping on orders of $99 and more.
[00:00:21.000 --> 00:00:24.000]   At wineenthusiast.com, we bring wine to life.
[00:00:24.000 --> 00:00:25.000]   [DING]
[00:00:25.000 --> 00:00:26.000]   Exclusions apply.
[00:00:26.000 --> 00:00:27.000]   See website for details.
[00:00:27.000 --> 00:00:28.000]   [MUSIC PLAYING]
[00:00:28.000 --> 00:00:30.000]   Welcome to the Radical Personal Finance Podcast.
[00:00:30.000 --> 00:00:32.000]   My name is Joshua Sheets, and I'm your host.
[00:00:32.000 --> 00:00:33.000]   Thank you for being here.
[00:00:33.000 --> 00:00:36.000]   Today is Friday, December 26, 2014.
[00:00:36.000 --> 00:00:39.000]   And today, I bring to you an interview
[00:00:39.000 --> 00:00:43.000]   with Jeff from the sustainablelifeblog.com.
[00:00:43.000 --> 00:00:44.000]   Jeff is a really neat guy.
[00:00:44.000 --> 00:00:46.000]   He's a listener to the show.
[00:00:46.000 --> 00:00:47.000]   And we first met at FinCon.
[00:00:47.000 --> 00:00:50.000]   He offered to come on the show, and I offered to bring him on.
[00:00:50.000 --> 00:00:52.000]   And I'm thrilled he accepted.
[00:00:52.000 --> 00:00:55.000]   I like to bring you interviews like today.
[00:00:55.000 --> 00:01:00.000]   If you are looking for a show with 23 specific, in-depth,
[00:01:00.000 --> 00:01:03.000]   top tips on here's what you should do or not do,
[00:01:03.000 --> 00:01:04.000]   you'll want to skip today's show.
[00:01:04.000 --> 00:01:06.000]   It's a little bit more of just a conversation.
[00:01:06.000 --> 00:01:08.000]   But the reason why I like to bring it is one
[00:01:08.000 --> 00:01:11.000]   of the major benefits that I get from listening
[00:01:11.000 --> 00:01:17.000]   to financial radio is encouragement and perspective.
[00:01:17.000 --> 00:01:18.000]   And I like to hear real people.
[00:01:18.000 --> 00:01:22.000]   And this is one of the real benefits I see in podcasting,
[00:01:22.000 --> 00:01:27.000]   is we can vary the content between specific,
[00:01:27.000 --> 00:01:30.000]   in-depth, hardcore, hard-hitting experts,
[00:01:30.000 --> 00:01:32.000]   and also relatively normal people.
[00:01:32.000 --> 00:01:34.000]   Jeff is a listener to the show, and he and his wife
[00:01:34.000 --> 00:01:37.000]   are on the same process.
[00:01:37.000 --> 00:01:41.000]   And what I think you'll find really valuable
[00:01:41.000 --> 00:01:43.000]   is towards the latter half of the interview,
[00:01:43.000 --> 00:01:45.000]   we get into some of the hiccups that have happened
[00:01:45.000 --> 00:01:47.000]   in Jeff and his wife's financial plan,
[00:01:47.000 --> 00:01:49.000]   specifically the loss of a child.
[00:01:49.000 --> 00:01:53.000]   And I think that you'll appreciate that perspective.
[00:01:53.000 --> 00:01:57.000]   Because it's very easy in, and I'm guilty of this myself,
[00:01:57.000 --> 00:01:59.000]   it's very easy in financial discussions
[00:01:59.000 --> 00:02:02.000]   to try to sound brilliant at everything.
[00:02:02.000 --> 00:02:04.000]   You know, I want you to think I'm brilliant every day.
[00:02:04.000 --> 00:02:06.000]   So I try to sound smart.
[00:02:06.000 --> 00:02:09.000]   And a lot of times that's just not the facts.
[00:02:09.000 --> 00:02:11.000]   Sometimes life is tough.
[00:02:11.000 --> 00:02:13.000]   Sometimes things happen that are not in our control.
