
[00:00:00.000 --> 00:00:09.000]   When you're in winter's favorite town, the snow-covered mountains surround you.
[00:00:09.000 --> 00:00:14.000]   A historic Main Street charms you.
[00:00:14.000 --> 00:00:20.000]   And every day brings a new adventure.
[00:00:20.000 --> 00:00:26.000]   Welcome to Park City, Utah. Naturally, winter's favorite town.
[00:00:26.000 --> 00:00:30.000]   Join the experience at visitparkcity.com.
[00:00:30.000 --> 00:00:36.000]   The holidays start here at Ralph's, with a variety of options to celebrate traditions old and new.
[00:00:36.000 --> 00:00:41.000]   You could do a classic herb-roasted turkey, or spice it up and make turkey tacos.
[00:00:41.000 --> 00:00:47.000]   Serve up a go-to shrimp cocktail, or use Simple Truth wild-caught shrimp for your first Cajun risotto.
[00:00:47.000 --> 00:00:52.000]   Make creamy mac and cheese, or a spinach artichoke fondue from our selection of Murray's cheese.
[00:00:52.000 --> 00:00:58.000]   No matter how you shop, Ralph's has all the freshest ingredients to embrace all your holiday traditions.
[00:00:58.000 --> 00:01:01.000]   Ralph's. Fresh for everyone.
[00:01:01.000 --> 00:01:10.000]   Welcome to Radical Personal Finance, a show dedicated to providing you with the knowledge, skills, insight, and encouragement you need to live a rich and meaningful life now, while building a plan for financial freedom in 10 years or less.
[00:01:10.000 --> 00:01:15.000]   My name is Joshua. I am your host today. It's Friday, September 1, 2023.
[00:01:15.000 --> 00:01:21.000]   And on this Friday, as we do every Friday, in which I can arrange the appropriate technology, we do live Q&A.
[00:01:21.000 --> 00:01:26.000]   If you'd like to gain access to one of these live Q&A shows, go to patreon.com/radicalpersonalfinance.
[00:01:26.000 --> 00:01:31.000]   Patreon.com/radicalpersonalfinance. That will gain access for you to one of these live shows.
[00:01:31.000 --> 00:01:36.000]   We begin with Mike in Minnesota. Mike, welcome to the show. How can I serve you today?
[00:01:36.000 --> 00:01:48.000]   Hey, Joshua. You and I actually last spoke on April of 2022, and I was asking you about a plan for spending five months abroad with my wife, who's from South Africa.
[00:01:48.000 --> 00:01:49.000]   Awesome.
[00:01:49.000 --> 00:01:56.000]   So we've made that our goal. I got a remote job and my wife tailored her business to the opportunity.
[00:01:56.000 --> 00:02:06.000]   So we'll actually be bringing two flights of wedding photographers from the US to a safari lodge for high-end niche wedding content.
[00:02:06.000 --> 00:02:15.000]   So I'm proud of her for planning this and putting it together. And I'm happy that we're making this goal a reality. We'll leave in November.
[00:02:15.000 --> 00:02:22.000]   But that brings me to my question. I've never thought about health insurance while we're abroad.
[00:02:22.000 --> 00:02:31.000]   We've been over there at most for a month's stay at a time. And so I've always been insured through my workplace.
[00:02:31.000 --> 00:02:38.000]   You know, high deductible insurance. We're not at the doctors often. But should I be considering health insurance while we're abroad?
[00:02:38.000 --> 00:02:48.000]   While you're abroad, are you abroad simply as a tourist living on a tourist visa or did you set up any kind of residential visa for where you are living?
[00:02:48.000 --> 00:02:55.000]   My wife is still a citizen in South Africa, and I will be there only on a tourist visa.
[00:02:55.000 --> 00:03:08.000]   Okay. So ordinarily, if you're not there on a tourist, sorry, ordinarily as a tourist, most countries do not require you in practice to have health insurance.
[00:03:08.000 --> 00:03:15.000]   Even except, especially for kind of rich countries, people coming in on rich country passports.
[00:03:15.000 --> 00:03:21.000]   Many countries when establishing a residence permit do require you to have some form of health insurance.
[00:03:21.000 --> 00:03:25.000]   So it doesn't sound like there's a requirement like that for your wife, but being a citizen.
[00:03:25.000 --> 00:03:33.000]   But a lot of times a condition, for example, in the European Union, a condition of maintaining your residency is for you to have active health insurance.
[00:03:33.000 --> 00:03:39.000]   So you don't have that. Now you have two basic options. You could choose. So you have three options.
[00:03:39.000 --> 00:03:44.000]   Option number, four options. Let's go through them. Option number one is you could just skip having health insurance.
[00:03:44.000 --> 00:03:56.000]   And once you are out of the United States, once you are out of Australia, et cetera, then the idea of simply skipping having health insurance is a much more reasonable one than it is in the United States.
[00:03:56.000 --> 00:04:03.000]   Because health care costs are so high in the United States, a lot of us live in fear of having some kind of medical event.
[00:04:03.000 --> 00:04:08.000]   But in most of the world, when you have a medical event, you can just go and pay for it.
[00:04:08.000 --> 00:04:20.000]   And it's not that big of a deal. And so while I think certainly travelers, medical insurance is a good idea, and I think smart to have, I don't think much about it.
[00:04:20.000 --> 00:04:31.000]   I have a couple of ways that I handle my own stuff. But when I'm traveling, if I don't have insurance, it's not that big a deal because you just assume you're going to pay for it, especially for just kind of ordinary things.
[00:04:31.000 --> 00:04:33.000]   You get in a car accident, et cetera, you're going to pay for it.
[00:04:33.000 --> 00:04:44.000]   Chances are that with most things, again, barring a massive heart attack or something like that, with most things, if you have ongoing medical care, you're going to want to be transported back to the United States.
[00:04:44.000 --> 00:04:48.000]   And so you'll want to think about your setup in the United States and what's your plan.
[00:04:48.000 --> 00:04:58.000]   Thankfully, one nice thing is that when you go back to the United States after being abroad, you can usually go ahead and get back onto an Affordable Care Act plan on the health insurance exchange.
[00:04:58.000 --> 00:04:59.000]   And so that's a good thing.
[00:04:59.000 --> 00:05:00.000]   So number one is you could just skip it.
[00:05:00.000 --> 00:05:08.000]   Number two is you can have coverage that works with simply your normal national policy.
[00:05:08.000 --> 00:05:15.000]   And so many kinds of health plans that are in the United States do provide international coverage or they do provide reimbursement or something like that.
[00:05:15.000 --> 00:05:16.000]   So that's your second option.
[00:05:16.000 --> 00:05:19.000]   Your third option is if you want to buy a traveler's policy.
[00:05:19.000 --> 00:05:27.000]   There are a number of companies that sell health insurance to travelers, and that would be probably the best fit for you.
[00:05:27.000 --> 00:05:35.000]   And the nice thing is that if you don't need coverage, those are normally tiered at two different price points.
[00:05:35.000 --> 00:05:43.000]   There's a policy that includes coverage in the United States, Canada, Australia, et cetera, and there's a policy that excludes coverage in the United States, Canada, Australia, et cetera.
[00:05:43.000 --> 00:05:53.000]   And so if you're planning to be in South Africa, your policy will give you coverage there, and you don't have to have the more expensive tier, and they're very inexpensive to get high levels of coverage.
[00:05:53.000 --> 00:05:56.000]   And then your fourth thing would just be to buy a local insurance policy.
[00:05:56.000 --> 00:06:02.000]   And the big difference for Americans going abroad is often the prices are shockingly low.
[00:06:02.000 --> 00:06:14.000]   So you can probably buy just a local health insurance policy of some kind in South Africa, and I would guess that you'll be pleasantly surprised by the relatively low price of it compared to what you're accustomed to.
[00:06:14.000 --> 00:06:17.000]   Great.
[00:06:17.000 --> 00:06:18.000]   That's good info.
[00:06:18.000 --> 00:06:32.000]   I think I'll start in with option four as my first kind of discovery point, and I have a couple quotes for different travelers' policies, and that could be my backup.
[00:06:32.000 --> 00:06:33.000]   Awesome.
[00:06:33.000 --> 00:06:34.000]   Great.
[00:06:34.000 --> 00:06:35.000]   Well, enjoy your time.
[00:06:35.000 --> 00:06:36.000]   Good job for you.
[00:06:36.000 --> 00:06:40.000]   Congratulations on renegotiating your work arrangements on your wife for all of her hard work.
[00:06:40.000 --> 00:06:47.000]   I hope that it's just a really great time for you to test it out and enjoy the lifestyle and have a wonderful five-month trip.
[00:06:47.000 --> 00:06:48.000]   Congratulations on taking action.
[00:06:48.000 --> 00:06:53.000]   Call me back in six months or a year and let us know a little bit of what you learned from the experience.
[00:06:53.000 --> 00:06:54.000]   You bet.
[00:06:54.000 --> 00:06:55.000]   I plan to.
[00:06:55.000 --> 00:06:56.000]   Thank you, Josh.
[00:06:56.000 --> 00:06:58.000]   We go to Kearney in Ohio.
[00:06:58.000 --> 00:06:59.000]   Welcome to the show.
[00:06:59.000 --> 00:07:02.000]   How can I serve you today?
[00:07:02.000 --> 00:07:03.000]   Hi, Joshua.
[00:07:03.000 --> 00:07:04.000]   Can you hear me?
[00:07:04.000 --> 00:07:05.000]   Sounds good.
[00:07:05.000 --> 00:07:06.000]   Go ahead.
[00:07:06.000 --> 00:07:08.000]   So I'm a longtime listener.
[00:07:08.000 --> 00:07:14.000]   I've been listening as much as I can, as much as I could, since 2015.
