
[00:00:00.000 --> 00:00:04.120]   All the people who sold the war in Iraq, they lied us into war after a war.
[00:00:04.120 --> 00:00:07.500]   They've bankrupted the country, damn near destroyed the dollar.
[00:00:07.500 --> 00:00:09.740]   And like, no one loses their job.
[00:00:09.740 --> 00:00:12.520]   No one even gets in trouble over any of this.
[00:00:12.520 --> 00:00:17.960]   If you make everybody monsters and they're not human beings, well, you can't do diplomacy with monsters.
[00:00:17.960 --> 00:00:22.600]   You can't negotiate with monsters, but you can with humans.
[00:00:22.600 --> 00:00:28.380]   Maybe there are times where you shouldn't negotiate or you can't negotiate with humans, but it's better if you can.
[00:00:29.300 --> 00:00:32.780]   And we could use a lot more of that thinking.
[00:00:32.780 --> 00:00:44.540]   Donald Trump has put a lot of political capital chips into the middle of the table that I can end this war, you know, and he's going to look very, very bad if he can't.
[00:00:44.540 --> 00:00:48.820]   So he's very highly incentivized to get this thing done as quick as possible.
[00:00:48.820 --> 00:00:53.460]   You are fighting in a way that produces more of the thing that you're fighting.
[00:00:53.460 --> 00:00:56.400]   And so the first step is to stop doing that.
[00:00:56.580 --> 00:00:59.740]   Like, your cure is making the patient more sick.
[00:00:59.740 --> 00:01:01.280]   So stop doing that.
[00:01:01.280 --> 00:01:03.460]   And then let's see if maybe we could heal.
[00:01:03.460 --> 00:01:04.860]   Where are the tapes?
[00:01:04.860 --> 00:01:07.920]   Why is everyone talking about the flight logs and the files?
[00:01:07.920 --> 00:01:09.220]   Where are the tapes?
[00:01:09.220 --> 00:01:12.360]   This guy was clearly taping people to blackmail them.
[00:01:12.500 --> 00:01:16.180]   Like, why does anything need to be redacted for national security?
[00:01:16.180 --> 00:01:17.020]   Like, I'm sorry.
[00:01:17.020 --> 00:01:21.580]   You're telling me there's a pedophile ring and we can't tell you everything about it for national security.
[00:01:21.580 --> 00:01:23.700]   Why would that be related to national security?
[00:01:25.700 --> 00:01:34.920]   The following is a conversation with Dave Smith, an outspoken and at times controversial anti-war libertarian, comedian, and podcast host.
[00:01:35.620 --> 00:01:37.780]   This is a Lex Friedman podcast.
[00:01:37.780 --> 00:01:40.800]   To support it, please check out our sponsors in the description.
[00:01:40.800 --> 00:01:44.560]   And now, dear friends, here's Dave Smith.
[00:01:44.560 --> 00:01:50.700]   You are a longtime libertarian, perhaps an anarcho-capitalist.
[00:01:50.700 --> 00:01:51.240]   Yeah.
[00:01:51.240 --> 00:01:52.000]   We can talk about that.
[00:01:52.000 --> 00:02:00.260]   Can you explain the different variants, flavors of libertarianism and where you stand among those variants?
[00:02:00.620 --> 00:02:08.720]   Yeah, so there's almost like anything, like with left-wing schools of thought or right-wing schools of thought, there's many different camps and different thinkers.
[00:02:08.720 --> 00:02:19.180]   And so, within the kind of broader theme of libertarianism, there was a lot of influence from people like Ayn Rand, Milton Friedman, Thomas Sowell.
[00:02:19.180 --> 00:02:22.360]   Those were, I think, some of the more mainstream figures.
