
[00:00:00.000 --> 00:00:03.320]   (upbeat music)
[00:00:03.320 --> 00:00:08.320]   I'm Cal Newport, and this is Deep Questions, episode 180.
[00:00:08.320 --> 00:00:15.420]   I'm here at my Deep Work HQ,
[00:00:15.420 --> 00:00:21.100]   joined with my producer, Jesse.
[00:00:21.100 --> 00:00:23.920]   The Jesse ominous sign, ominous sign
[00:00:23.920 --> 00:00:25.360]   happened just the other day.
[00:00:26.480 --> 00:00:31.480]   My oldest son asked us if we would set up
[00:00:31.480 --> 00:00:36.600]   a Zoom conference for him and some of his school buddies,
[00:00:36.600 --> 00:00:39.100]   because they're setting up a business
[00:00:39.100 --> 00:00:40.980]   to sell Pokemon cards.
[00:00:40.980 --> 00:00:44.160]   And so they needed to do a Zoom meeting.
[00:00:44.160 --> 00:00:47.820]   And so I thought the tentacles,
[00:00:47.820 --> 00:00:50.900]   the heart numbing, deadening tentacles,
[00:00:50.900 --> 00:00:54.040]   that is doing meetings on Zoom,
[00:00:54.040 --> 00:00:54.960]   work meetings on Zoom,
[00:00:54.960 --> 00:00:57.680]   and not extend past us to our kids, but they have.
[00:00:57.680 --> 00:01:01.300]   Now my own son is setting up on his own accord,
[00:01:01.300 --> 00:01:03.680]   the things that have tortured us for the last two years,
[00:01:03.680 --> 00:01:07.360]   which is Zoom based business meetings.
[00:01:07.360 --> 00:01:09.160]   So I think that's an ominous sign.
[00:01:09.160 --> 00:01:11.800]   If he starts sending me calendar invites,
[00:01:11.800 --> 00:01:13.480]   we're moving to a farm.
[00:01:13.480 --> 00:01:14.320]   That's it.
[00:01:14.320 --> 00:01:17.080]   He doesn't have to be exposed.
[00:01:17.080 --> 00:01:19.820]   He's too pure to be exposed to the inanities
[00:01:19.820 --> 00:01:22.820]   of the world of digital remote work.
[00:01:23.100 --> 00:01:25.140]   (laughing)
[00:01:25.140 --> 00:01:27.060]   Speaking of farm, so I read,
[00:01:27.060 --> 00:01:28.240]   last week you were telling me about
[00:01:28.240 --> 00:01:31.820]   this big New Yorker profile of Wendell Berry.
[00:01:31.820 --> 00:01:35.940]   So I went on your recommendation and I read it.
[00:01:35.940 --> 00:01:37.300]   I had to read in the physical magazine,
[00:01:37.300 --> 00:01:38.700]   because Wendell Berry,
[00:01:38.700 --> 00:01:42.500]   you gotta read a Wendell Berry thing in physical form.
[00:01:42.500 --> 00:01:45.680]   And that's really interesting, really interesting.
[00:01:45.680 --> 00:01:47.700]   I mean, I knew about Berry,
[00:01:47.700 --> 00:01:51.420]   but it was interesting to hear more of a long form,
[00:01:51.420 --> 00:01:55.140]   long form description of what his life was like.
[00:01:55.140 --> 00:01:57.980]   The thing that caught my attention is that
[00:01:57.980 --> 00:02:02.100]   he is a purified instantiation of this deep life philosophy
[00:02:02.100 --> 00:02:03.220]   that we talk about on the show.
[00:02:03.220 --> 00:02:04.540]   I don't know if you had the same reaction,
[00:02:04.540 --> 00:02:05.380]   but think about it.
[00:02:05.380 --> 00:02:06.980]   This is someone who said,
[00:02:06.980 --> 00:02:09.080]   I'm gonna do exactly what's at the core
[00:02:09.080 --> 00:02:10.380]   of our notion of the deep life,
[00:02:10.380 --> 00:02:12.420]   which we talk about in our core idea video
[00:02:12.420 --> 00:02:14.500]   on the deep life, if people aren't familiar.
[00:02:14.500 --> 00:02:18.060]   So YouTube page, core idea video on the deep life,
[00:02:18.060 --> 00:02:20.060]   we talk about this, but at the core of the deep life
[00:02:20.060 --> 00:02:23.020]   is making radical change to your life
[00:02:23.020 --> 00:02:26.220]   to put it into alignment with the things that you value.
[00:02:26.220 --> 00:02:27.980]   And that's what Berry did.
[00:02:27.980 --> 00:02:30.300]   I mean, he moved, he left New York
[00:02:30.300 --> 00:02:34.700]   to move to a farm in Kentucky near where he grew up
[00:02:34.700 --> 00:02:37.980]   to cultivate land with horses
[00:02:37.980 --> 00:02:40.020]   while teaching at a local college there,
[00:02:40.020 --> 00:02:43.060]   built his entire life around incredibly intentionally,
[00:02:43.060 --> 00:02:46.040]   here are the things I value, community, connection to land,
[00:02:46.040 --> 00:02:49.760]   these older ways of living, the idea of writers
[00:02:49.760 --> 00:02:54.560]   having a, being cited in a particular place and context
[00:02:54.560 --> 00:02:55.680]   from which they write about,
[00:02:55.680 --> 00:02:57.120]   as opposed to, as he talks about,
[00:02:57.120 --> 00:03:00.000]   just being in this cosmopolitan abstraction
[00:03:00.000 --> 00:03:02.000]   where you live in a city and are of no place.
[00:03:02.000 --> 00:03:02.960]   And he did all those things
[00:03:02.960 --> 00:03:05.560]   and built a really unusual life around it,
[00:03:05.560 --> 00:03:06.640]   but it sounds cool.
[00:03:06.640 --> 00:03:07.980]   I don't know what your, was your thought,
[00:03:07.980 --> 00:03:09.960]   my thought was, this sounds like kind of a cool life
[00:03:09.960 --> 00:03:10.880]   he built out there.
[00:03:10.880 --> 00:03:11.760]   - Well, a couple of things.
[00:03:11.760 --> 00:03:15.200]   I mean, you read one of his books in the past month,
[00:03:15.200 --> 00:03:17.160]   I think it was January or December or something like that.
[00:03:17.160 --> 00:03:21.320]   So I hadn't heard of him until you were explaining
[00:03:21.320 --> 00:03:22.600]   in the book that you read about him
[00:03:22.600 --> 00:03:24.480]   and then he came up here.
[00:03:24.480 --> 00:03:26.480]   And he's a prolific writer.
[00:03:26.480 --> 00:03:27.480]   He's written a ton of stuff.
[00:03:27.480 --> 00:03:29.760]   I mean, he's probably like 80 something years old
[00:03:29.760 --> 00:03:32.680]   and he's written nonstop for 50 years.
[00:03:32.680 --> 00:03:36.320]   - Poems, novels, essays, and nonfiction books.
[00:03:36.320 --> 00:03:40.200]   And he's a professor, was a professor and a farmer,
[00:03:40.200 --> 00:03:42.480]   but they have like no technology.
[00:03:42.480 --> 00:03:45.120]   Didn't have a computer, they weren't on the internet,
[00:03:45.120 --> 00:03:46.000]   he wasn't on phone.
[00:03:46.000 --> 00:03:47.920]   So maybe it tells you something about,
[00:03:47.920 --> 00:03:51.980]   you're up at dawn to tend your horses,
[00:03:51.980 --> 00:03:53.240]   even if you have a teaching job,
[00:03:53.240 --> 00:03:54.400]   you have a lot of time to write.
[00:03:54.400 --> 00:03:57.240]   - He lives in a town of 60 people, something like that.
[00:03:57.240 --> 00:03:59.200]   - Yeah, and he's related to half of them.
