
[00:00:00.000 --> 00:00:13.000]   Carlos Esteban:
[00:00:13.000 --> 00:00:16.280]   Wow, look at this turnout.
[00:00:16.280 --> 00:00:20.840]   It's kind of crazy how many people are excited to listen to Sarah and hear what Notion AI
[00:00:20.840 --> 00:00:22.560]   has been building.
[00:00:22.560 --> 00:00:26.740]   So just going to do some quick introductions before handing it over to her.
[00:00:26.740 --> 00:00:27.880]   My name is Carlos Esteban.
[00:00:27.880 --> 00:00:30.680]   I'm a Solution Engineer here at BrainTrust.
[00:00:30.680 --> 00:00:36.940]   So Doug and I are going to share a bit about BrainTrust after Sarah presents.
[00:00:36.940 --> 00:00:38.640]   Just wanted to say hi.
[00:00:38.640 --> 00:00:41.580]   You'll see me talk a bit more today.
[00:00:41.580 --> 00:00:43.640]   I've been at BrainTrust for six weeks.
[00:00:43.640 --> 00:00:46.260]   Previously, I was at an infant company.
[00:00:46.260 --> 00:00:51.100]   Yeah, the six weeks may be funny, but also I'm the veteran on the team.
[00:00:51.100 --> 00:00:52.100]   So Doug here.
[00:00:52.100 --> 00:00:53.100]   It's his third week.
[00:00:53.100 --> 00:00:57.760]   So we're up here in front of you and going to teach you about BrainTrust.
[00:00:57.760 --> 00:00:58.660]   We have some devals.
[00:00:58.660 --> 00:00:59.560]   Yeah, if you want to go ahead.
[00:00:59.560 --> 00:01:00.560]   Yeah, sure.
[00:01:00.560 --> 00:01:03.160]   Solutions Engineer also alongside Carlos.
[00:01:03.160 --> 00:01:05.900]   Like you mentioned, been here a full three weeks at this point.
[00:01:05.900 --> 00:01:06.820]   Actually, not even full.
[00:01:06.820 --> 00:01:10.780]   It's like my, I don't know, 11th or 9th day.
[00:01:10.780 --> 00:01:13.520]   But yeah, this is incredibly exciting to be here.
[00:01:13.520 --> 00:01:15.840]   Obviously, a lot of interest in Sarah's talk.
[00:01:15.840 --> 00:01:18.820]   And hopefully, we can teach you a little bit about BrainTrust in the process.
[00:01:18.820 --> 00:01:21.320]   So yeah, I just want to present Sarah.
[00:01:21.320 --> 00:01:23.220]   She's the lead of Notion AI.
[00:01:23.220 --> 00:01:27.620]   They've been customers pretty much since the beginning of BrainTrust, definitely pioneered
[00:01:27.620 --> 00:01:28.620]   the platform.
[00:01:28.620 --> 00:01:32.380]   And yeah, super exciting to hear what she has to say about their journey.
[00:01:32.380 --> 00:01:33.380]   Awesome.
[00:01:33.380 --> 00:01:34.380]   Thanks.
[00:01:34.380 --> 00:01:35.280]   I've been working for 10 months.
[00:01:35.280 --> 00:01:38.220]   So I might be the most experienced BrainTrust user on the panel.
[00:01:38.220 --> 00:01:40.220]   Just kidding.
[00:01:40.220 --> 00:01:41.220]   No.
[00:01:41.220 --> 00:01:46.080]   I mean, I think I want to save time for questions, too, before we dig into the workshop.
[00:01:46.080 --> 00:01:51.840]   I think at a higher level, what I tell the team and what I tell people who are also building
[00:01:51.840 --> 00:01:56.560]   is like all of the rigor and excellence that comes from building great AI products comes from
[00:01:56.560 --> 00:01:58.200]   observability and good evals.
[00:01:58.200 --> 00:02:00.840]   And that's how you scale an engineering team.
[00:02:00.840 --> 00:02:02.420]   That's how you build good product.
[00:02:02.420 --> 00:02:09.440]   And ultimately, we spend maybe 10% of our time prompting and 90% of our time looking at evals
[00:02:09.440 --> 00:02:12.620]   and iterating on our evals and looking at our usage and BrainTrust.
[00:02:12.620 --> 00:02:17.600]   And that, I believe, is the right balance of work in order to know that you're not just
[00:02:17.600 --> 00:02:23.880]   shipping something that worked well in a demo with your VP or that you got working on the
[00:02:23.880 --> 00:02:28.960]   Caltrain to work and finally did what you wanted that one time, but actually worked consistently
[00:02:28.960 --> 00:02:31.380]   and for the users you were curious about.
[00:02:31.380 --> 00:02:35.140]   So I'll speak a little high level, save some time for questions, and then I hope everyone
[00:02:35.140 --> 00:02:41.500]   sees value in the workshop as well because it's really a tool that is accessible to all different
