
[00:00:00.000 --> 00:00:03.240]   (upbeat hip hop music)
[00:00:03.240 --> 00:00:10.720]   - What's up everybody?
[00:00:10.720 --> 00:00:14.120]   I know it's been a minute, but I'm back on Keri's mic.
[00:00:14.120 --> 00:00:16.920]   We gonna start it off just with a solo episode
[00:00:16.920 --> 00:00:19.560]   with my sister, Sierra, answering y'all's questions.
[00:00:19.560 --> 00:00:21.360]   So that's what we gonna do.
[00:00:21.360 --> 00:00:23.120]   - All right, so there's a lot of good questions.
[00:00:23.120 --> 00:00:26.160]   We're just gonna start off with basketball topic.
[00:00:26.160 --> 00:00:27.720]   The first one, a lot of people wanted to know
[00:00:27.720 --> 00:00:28.800]   about the finals.
[00:00:28.800 --> 00:00:31.400]   Like what was your mentality like playing in the NBA finals?
[00:00:31.400 --> 00:00:33.160]   Were you scared, excited, nervous?
[00:00:33.160 --> 00:00:35.600]   Like just how does that feel?
[00:00:35.600 --> 00:00:38.920]   - Yeah, I think the playoffs is definitely
[00:00:38.920 --> 00:00:42.060]   like another level of intensity.
[00:00:42.060 --> 00:00:43.440]   So you feel it every round.
[00:00:43.440 --> 00:00:45.720]   So the first round, Minnesota, you know,
[00:00:45.720 --> 00:00:48.280]   we actually got a pretty long break
[00:00:48.280 --> 00:00:50.200]   between the regular season and the post season
[00:00:50.200 --> 00:00:52.680]   because we were the number one seed
[00:00:52.680 --> 00:00:54.000]   and then they had to do the playing game.
[00:00:54.000 --> 00:00:56.640]   So we had some time off.
[00:00:56.640 --> 00:01:01.480]   So the first game back in that series was super intense.
[00:01:01.480 --> 00:01:03.560]   Minnesota was a really good team,
[00:01:03.560 --> 00:01:06.920]   but you feel the increase in intensity every round.
[00:01:06.920 --> 00:01:10.740]   Yeah, that Suns series was tough.
[00:01:10.740 --> 00:01:13.220]   They got two back in Phoenix
[00:01:13.220 --> 00:01:16.920]   and then we were kind of like not knowing
[00:01:16.920 --> 00:01:19.560]   how that was gonna go back in Denver,
[00:01:19.560 --> 00:01:22.500]   but we ended up getting those next two games.
[00:01:22.500 --> 00:01:23.380]   So that was good.
[00:01:23.380 --> 00:01:25.880]   But then yeah, once it got to the finals,
[00:01:25.880 --> 00:01:28.280]   that definitely is a whole nother level of pressure.
[00:01:28.280 --> 00:01:30.480]   Just, you know, you're so close
[00:01:30.480 --> 00:01:32.240]   to knocking on the door of a championship
[00:01:32.240 --> 00:01:34.120]   and we felt that.
[00:01:34.120 --> 00:01:36.040]   But at the same time, it's basketball.
[00:01:36.040 --> 00:01:37.000]   It's what you do your whole life.
[00:01:37.000 --> 00:01:39.600]   Like once you're inside those four lines,
[00:01:39.600 --> 00:01:40.600]   it's nothing but basketball.
[00:01:40.600 --> 00:01:43.360]   You just kind of feel the rise in intensity,
[00:01:43.360 --> 00:01:44.540]   the weight of every shot.
[00:01:44.540 --> 00:01:46.800]   And that definitely escalates in the finals.
[00:01:46.800 --> 00:01:50.720]   - People want to know what a game day looks like for you
[00:01:50.720 --> 00:01:51.800]   and what's your routine?
[00:01:51.800 --> 00:01:53.080]   Like did it change in the finals
[00:01:53.080 --> 00:01:54.360]   or do you just keep it consistent?
[00:01:54.360 --> 00:01:55.520]   - A game day for me.
[00:01:55.520 --> 00:01:59.120]   So yeah, in the NBA, you wake up,
[00:01:59.120 --> 00:02:00.440]   probably around like nine-ish.
[00:02:00.440 --> 00:02:02.440]   You go to the gym, you got shoot around.
[00:02:02.440 --> 00:02:04.800]   That probably lasts about an hour.
[00:02:04.800 --> 00:02:07.520]   Then guys get some recovery, some treatment in.
[00:02:07.520 --> 00:02:09.640]   You go back home, you got the whole afternoon
[00:02:09.640 --> 00:02:10.480]   to kind of rest.
[00:02:10.480 --> 00:02:13.920]   Some guys take a three-hour nap, four-hour nap.
[00:02:13.920 --> 00:02:16.200]   My naps usually around like two hours.
[00:02:16.200 --> 00:02:18.320]   Then we go back to the gym.
[00:02:18.320 --> 00:02:21.960]   If the game is 7.30, I probably get to the gym at like 5.30.
[00:02:21.960 --> 00:02:24.200]   Have my shooting time, get some treatment,
[00:02:24.200 --> 00:02:27.480]   get some food in me and get ready to go.
[00:02:27.480 --> 00:02:28.320]   So yeah, it's crazy.
[00:02:28.320 --> 00:02:30.440]   It's really a full-time job.
[00:02:30.440 --> 00:02:34.320]   On a game day, we're in the gym for about eight hours
[00:02:34.320 --> 00:02:36.620]   'cause after the game, I get my lift in,
[00:02:36.620 --> 00:02:39.080]   get my recovery in.
[00:02:39.080 --> 00:02:41.400]   So that's a long day of being in the gym.
[00:02:41.400 --> 00:02:42.920]   - So you lift after every game?
[00:02:42.920 --> 00:02:45.920]   - Yeah, I lift because we usually play every other day.
[00:02:45.920 --> 00:02:48.640]   I like to do my lower body lifts after we play
[00:02:48.640 --> 00:02:51.360]   so that I get the next day off of lower body
[00:02:51.360 --> 00:02:54.080]   and then I'll feel fresh going into the next game day.
[00:02:54.080 --> 00:02:57.480]   And then I'll do upper body in those gap days.
[00:02:57.480 --> 00:02:59.240]   - Is that common or are you the only one that does that?
[00:02:59.240 --> 00:03:01.400]   - No, a lot of guys like to lift after games,
[00:03:01.400 --> 00:03:02.720]   but it just ends up being a lot.
[00:03:02.720 --> 00:03:04.400]   You might be tired from the game.
[00:03:04.400 --> 00:03:06.100]   You might've just lost the game.
[00:03:06.100 --> 00:03:11.120]   But the routine, the guys who can stick to a routine
[00:03:11.120 --> 00:03:13.840]   through the highs and the lows, even if you lose a game,
[00:03:13.840 --> 00:03:17.160]   I think that's how you can make steady progress.
[00:03:17.160 --> 00:03:19.180]   There's times after a game you played terrible,
[00:03:19.180 --> 00:03:21.840]   you don't wanna do anything but just go home and chill.
[00:03:21.840 --> 00:03:24.160]   But if you can get yourself to go get your lift in,
[00:03:24.160 --> 00:03:25.520]   stay on that routine,
[00:03:25.520 --> 00:03:28.220]   you'll have a lot more good days than bad days, I think.
