
[00:00:00.000 --> 00:00:20.580]   So I am here to talk about how building products is really about shipping something to someone
[00:00:20.580 --> 00:00:25.800]   always wins and that's kind of been a fundamental product principle of mine and really short
[00:00:25.800 --> 00:00:30.540]   background I know the sign out there say say Microsoft that's a long time ago I was at
[00:00:30.540 --> 00:00:34.980]   Microsoft but I was at Microsoft as part of the early VS code team building that left in 19 we
[00:00:34.980 --> 00:00:39.880]   became the market leader spent some time at stripe running our developer platform or building a big
[00:00:39.880 --> 00:00:44.640]   part of our developer platform and everything we did for developers these days I'm a partner at
[00:00:44.640 --> 00:00:50.040]   Alicorp we are early stage venture fund in New York and this talk is really about applying my product
[00:00:50.040 --> 00:00:56.940]   build the lens of how I've been building products for the past many years and it's really about like
[00:00:56.940 --> 00:01:05.820]   how do we build great products in the context of AI and as I was putting the talk together I was trying
[00:01:05.820 --> 00:01:11.700]   to like what is my overarching product principle and how you build great products and it really sums
[00:01:11.700 --> 00:01:17.280]   down to this it's really not about the number of big banks you do when you're building a product and I
[00:01:17.280 --> 00:01:23.040]   know like whether you're in a startup or you're you are in a big company it's always about like you do
[00:01:23.040 --> 00:01:28.920]   the big ship at the big conference and then the part is out there but the reality is that it's really about
[00:01:28.920 --> 00:01:34.420]   the number of iterations you crank out a problem and number of iterations that you get in when you're
[00:01:34.420 --> 00:01:41.140]   building your product so in other words it's all about like how you can enable rapid iterative loops
[00:01:41.140 --> 00:01:46.420]   and how you can get feedback from your real users and just get as many shots at the goal as possible
[00:01:46.420 --> 00:01:52.360]   and I definitely think this is more relevant than ever in the age of AI we had AI engineer we all talk
[00:01:52.360 --> 00:01:58.600]   about all the AI tools etc but but really what does this mean in practice what does it mean in practice to
[00:01:58.600 --> 00:02:05.740]   you have a rapid iterative loop and here I have an answer it's really about skateboards and like please
[00:02:05.740 --> 00:02:12.760]   please bear with me here with this metaphor it's really about like asking the question what's the
[00:02:12.760 --> 00:02:21.520]   best way to build a car and there's like two ways you can build a car they're the tired ways that you start
[00:02:21.520 --> 00:02:29.020]   building the wheels then you build the chassis then you add the engine and then you have a car but the
[00:02:29.020 --> 00:02:35.140]   reality is that if you do it this way you don't have a viable product until the very end you have no
[00:02:35.140 --> 00:02:41.620]   way to get feedback along the journey you don't know if what you're doing with the incremental improvements
[00:02:41.620 --> 00:02:47.380]   that you're landing actually works because you don't have a functioning product until the very end
[00:02:47.380 --> 00:02:56.560]   that the wide way is that you build a skateboard then you make it as a scooter then you make it a bike and
[00:02:56.560 --> 00:03:02.860]   you add the engine and then you have a car and it's really about like the way you should be building your
[00:03:02.860 --> 00:03:08.380]   products in particular in the world of AI is that you need to have a continuously viable product that
[00:03:08.380 --> 00:03:14.380]   enables in this particular case a person to go from A to B and have a means of transport and then you
[00:03:14.380 --> 00:03:19.300]   evolve the product from there and the key thing here when we think about feedback loop is that you have
[00:03:19.300 --> 00:03:27.160]   a continuous feedback loop that every time you like it landed incremental change you have real users
[00:03:27.160 --> 00:03:33.220]   getting transported and you're getting feedback from them and really like my my experience like a
[00:03:33.220 --> 00:03:41.000]   continuously viable solution is many many orders of magnitude more valuable than a solution that only gives
[00:03:41.000 --> 00:03:47.460]   you a viable option in the end and the reason for this is is that it gives you feedback along the way you
[00:03:47.460 --> 00:03:53.960]   you avoid building in a vacuum but your feedback or all the way that when you're iterating and you
[00:03:53.960 --> 00:03:59.180]   most likely end up building something that's more meaningful and more relevant for your users so in
[00:03:59.180 --> 00:04:04.180]   many ways this talk the short talk is really about like the older feedback loop and how we can accelerate
[00:04:04.180 --> 00:04:10.640]   this product feedback loop to be as fast as possible and you know when I was at stripe when we were kicking
[00:04:10.640 --> 00:04:17.100]   of a new project before we logged in any major considerations design decisions or really made
[00:04:17.100 --> 00:04:22.640]   maybe trapdoor decisions we made sure that there was a feedback loop in place and what did that boil down to
[00:04:22.640 --> 00:04:29.100]   three things we had real users that could see something we had a way to get feedback from them we could
[00:04:29.100 --> 00:04:37.100]   iterate and ship an improvement and the goal was we could do this in less than a day ideally faster if you ask Patrick he would say hours
[00:04:37.100 --> 00:04:45.560]   and and really like the reality is that if you cannot run your loop in a day your process is broken you have a
[00:04:45.560 --> 00:04:53.560]   problem you cannot get feedback fast enough and now I know this is easy to say and this gets exponentially harder as
[00:04:53.560 --> 00:05:04.100]   you're in a bigger company and you have a lot of complexity to manage but this should be your goal and I'm not saying that you need to ship every day but the key thing is that you need to be able to ship every day
[00:05:04.100 --> 00:05:27.100]   you need to be able to get this feedback loop going as fast as possible and this might sound very basic but you need to be very specific about the customers you're building your feature your product for and I know like we all have been running our personas we all been like doing our UXR and user studies and what I mean by being specific is that you should actually work with real people that you know
[00:05:27.100 --> 00:05:41.560]   people that have a name an email somebody you can call and if you don't know any real people but you only have your UXR persona you have a problem as well because you need to get to know your users
[00:05:41.560 --> 00:05:59.560]   and the other thing is that you actually need to understand the real people you're working with how they're solving the problem today you need to be in their shoes and understand and build that empathy because it helps you navigate and actually build out hypotheses and how you're gonna solve it and make it better
[00:05:59.560 --> 00:06:11.560]   And what we did a stripe is that once we understood the problem we had real people building building building wealth we articulated our hypotheses but we also wrote the PIFQ or the launch blog post
[00:06:11.560 --> 00:06:23.560]   And I do think this is one of the easiest steps to miss and I think it's almost always a mistake not to sit down and write the launch blog post
[00:06:23.560 --> 00:06:37.560]   Because you writing the PIFQ or the press release of the blog post forces you to write something specific to your audience as to sanity check things you can communicate the product you understand what's being built you know how to shape it
[00:06:37.560 --> 00:06:46.560]   You know how to like position it to your users and you know when there was an API we put drafting the API it'd be a rough outline but we have an idea and we were in front of our users
[00:06:46.560 --> 00:06:56.560]   Heck it's 2025 we can bytecode this we can add chat GPT or Claude to do it but just going through this process was critical for us to selling the feedback
[00:06:56.560 --> 00:07:03.560]   And when we are working with our early users we push shipping this document to them getting feedback before we even went out building
[00:07:03.560 --> 00:07:16.560]   Before we were doing a prototype in Figma or Bolt these days and this was how we made sure that from day one we had a product feedback loop and we had real feedback getting to us as we were building
[00:07:16.560 --> 00:07:28.560]   And another thing I learned over the years is that it's incredibly hard to do this but you've got to design your best product before you start considering all the constraints like legal compliance financial etc
[00:07:28.560 --> 00:07:35.560]   What I mean by this is that it's very easy to sit down and when you kick off a product to understand all the legal constraints all the financials
[00:07:35.560 --> 00:07:41.560]   But that's not how you build the best product sure like by the day you ship in production
[00:07:41.560 --> 00:07:45.560]   You need to have a product as financial viable compliant ticks all the boxes
[00:07:45.560 --> 00:07:52.560]   But you cannot let your legal counterparts be the ones that are this applying judgment over your product
[00:07:52.560 --> 00:08:00.560]   The way I've been working with my counterparts and it's really about like they are here to help me understand the legal risks
[00:08:00.560 --> 00:08:08.560]   But they are not the shaping the product and I really think it's just important that you think about like working with your various counterparts in your organization
[00:08:08.560 --> 00:08:15.560]   That they can help you understand the product space but it's your job to actually make those calls
[00:08:15.560 --> 00:08:24.560]   And here in 2025 like the reality is that we can actually build an incredible amount of things
[00:08:24.560 --> 00:08:32.560]   And I think back then we were doing paper prototypes we were doing a lot of things but today we can just bytecode iterations of the product shape
[00:08:32.560 --> 00:08:39.560]   And the reality is that you have really no excuse whether you're a product leader or you are an engineer
[00:08:39.560 --> 00:08:44.560]   You have no excuse not to do a prototype because it's gotten so easy to do
[00:08:44.560 --> 00:08:50.560]   And I just think this is important to internalize regardless of whether you have a technical background
[00:08:50.560 --> 00:08:56.560]   You're mostly focused on the strategy you can go to bolt and you can hack something together very very fast
[00:08:56.560 --> 00:09:04.560]   And the other thing that we learned over the years is that the key thing that helped us navigate things was to get a high quality feedback
[00:09:04.560 --> 00:09:11.560]   And high bandwidth feedback from our users and what I mean by this is that it's very easy to slap slap on some metrics and pull the dashboard
[00:09:11.560 --> 00:09:18.560]   But doesn't help you get get any quality feedback that can help you understand how things are really going
[00:09:18.560 --> 00:09:23.560]   So in the early days when we did a prototype of something we'd go to the our customers office
[00:09:23.560 --> 00:09:29.560]   Shadow them as they were integrating the APIs and really get that visual feedback
[00:09:29.560 --> 00:09:32.560]   I know it's not possible we can always go to our customers offices
[00:09:32.560 --> 00:09:35.560]   So get them into a slack channel get them into discord
[00:09:35.560 --> 00:09:38.560]   The best customer relationships I've had is people I'm texting with
[00:09:38.560 --> 00:09:42.560]   I'm available and I want to learn how you're using your product
[00:09:42.560 --> 00:09:52.560]   And even when we were building our API's I we would be monitoring rigorously the API responses and see where people got stuck
[00:09:52.560 --> 00:09:58.560]   And we would really work with a very few set of users and make them extremely happy
[00:09:58.560 --> 00:10:01.560]   And I think that's probably the other thing is that I think
[00:10:01.560 --> 00:10:09.560]   If you put this if you do this well you should feel like you're running a professional services firm for your customers in the early days
[00:10:09.560 --> 00:10:15.560]   Like you should really feel like I'm delivering this piece of functionality to these five people
[00:10:15.560 --> 00:10:20.560]   And that's all I do because the reality is that most products fail
[00:10:20.560 --> 00:10:25.560]   And not because they're only useful for very few users but because they're not useful at all
[00:10:25.560 --> 00:10:27.560]   Because you build the wrong thing
[00:10:27.560 --> 00:10:33.560]   So this is a thing that we learned early on as we were building out various products
[00:10:33.560 --> 00:10:37.560]   And when I was building VS code I would be in people's DMs
