
[00:00:00.000 --> 00:00:23.760]   Hey hey hey, how's everyone? This is Simrit Hanspal, Technical Evangelist at Hasura and
[00:00:23.760 --> 00:00:30.640]   today I'm going to talk to you about building efficient hybrid drag queries. Let us understand
[00:00:30.640 --> 00:00:36.500]   this with the use case of product search in e-commerce domain. Present day, product search
[00:00:36.500 --> 00:00:41.840]   is mostly keyword based. Keywords are not great at capturing the complete intent of the user's
[00:00:41.840 --> 00:00:46.380]   search query. So you want to move to using natural language. But product search can be
[00:00:46.380 --> 00:00:50.600]   either contextual where you're looking for, where you're searching for product based on
[00:00:50.600 --> 00:00:55.480]   the descriptive nature or it can be completely structured where you're querying based on
[00:00:55.480 --> 00:01:01.280]   the structured fields or it can be both. Large language models are great but they're frozen
[00:01:01.280 --> 00:01:06.720]   in time and they cannot solve tasks on data they have not seen before. One of the ways
[00:01:06.720 --> 00:01:11.840]   to expose the unseen data to large language model is by providing context to the question
[00:01:11.840 --> 00:01:17.300]   alongside the question. This helps the large language model generate more accurate and grounded
[00:01:17.300 --> 00:01:24.180]   answers. This powerful technique is called Retrieval Augmented Generation or RAG in short. So you
[00:01:24.180 --> 00:01:29.220]   see, we need to build a RAG pipeline for our product search use case. We also need to make
[00:01:29.220 --> 00:01:35.220]   sure that our RAG pipeline is production ready and will not leak any sensitive data even if prompted.
[00:01:35.220 --> 00:01:42.660]   This security concern has been one of the primary concerns of enterprises when building Gen AI applications.
[00:01:45.060 --> 00:01:49.940]   Data driven applications have been around for a while. Then why are we talking about secure
[00:01:49.940 --> 00:01:55.620]   data retrieval all over again for Gen AI applications? Well, this is because we are
[00:01:55.620 --> 00:02:02.580]   seeing a paradigm shift in application development. With data driven applications, data is mostly
[00:02:02.580 --> 00:02:09.060]   constant and it is the application or the software that evolves for any different or new functionality.
[00:02:09.060 --> 00:02:15.540]   For example, product search on current e-commerce websites would pick constant data fields only the
[00:02:15.540 --> 00:02:26.020]   records or the results would change. While in context context driven or RAG application, the data is no
[00:02:26.020 --> 00:02:32.820]   longer a constant data packet and it needs to adapt to the dynamic needs of the user's natural language query.
