
[00:00:00.000 --> 00:00:06.240]   Welcome back everyone.
[00:00:06.240 --> 00:00:08.520]   This is screencast four in our series
[00:00:08.520 --> 00:00:10.920]   on advanced behavioral testing for NLU.
[00:00:10.920 --> 00:00:12.300]   In the previous screencast,
[00:00:12.300 --> 00:00:14.860]   we talked about the principle of compositionality.
[00:00:14.860 --> 00:00:17.360]   We come now to our point of intersection with
[00:00:17.360 --> 00:00:19.580]   the homework and the associated bake-off.
[00:00:19.580 --> 00:00:22.060]   We're going to talk about the benchmarks COGS and
[00:00:22.060 --> 00:00:24.440]   re-COGS which are both designed to test
[00:00:24.440 --> 00:00:27.760]   compositional generalization for our models.
[00:00:27.760 --> 00:00:30.100]   COGS set the agenda here,
[00:00:30.100 --> 00:00:32.160]   and then re-COGS is our extension of it.
[00:00:32.160 --> 00:00:34.600]   What we were trying to do with re-COGS is first
[00:00:34.600 --> 00:00:37.800]   understand why some of the generalization splits in
[00:00:37.800 --> 00:00:41.720]   COGS have proved so challenging for present-day models.
[00:00:41.720 --> 00:00:45.360]   In addition, reformulate COGS somewhat so that it comes
[00:00:45.360 --> 00:00:49.120]   closer to testing purely semantic phenomena and
[00:00:49.120 --> 00:00:51.920]   abstracting away from incidental features of
[00:00:51.920 --> 00:00:55.040]   some of the logical forms that are in COGS.
[00:00:55.040 --> 00:00:57.440]   Let's start with the task description.
[00:00:57.440 --> 00:00:59.080]   We'll look at COGS first.
[00:00:59.080 --> 00:01:01.560]   The inputs are simple English sentences
[00:01:01.560 --> 00:01:03.600]   like a rose was helped by a dog,
[00:01:03.600 --> 00:01:06.020]   and the outputs are logical forms,
[00:01:06.020 --> 00:01:08.680]   that is descriptions of the meanings of the sentences.
[00:01:08.680 --> 00:01:10.440]   For COGS and re-COGS,
[00:01:10.440 --> 00:01:13.840]   these are event semantic style descriptions.
[00:01:13.840 --> 00:01:16.300]   Here we've got rose and indefinite
[00:01:16.300 --> 00:01:18.240]   corresponding to the grammatical subject
