
[00:00:00.000 --> 00:00:03.160]   (audience applauding)
[00:00:03.160 --> 00:00:06.900]   He's a financial historian.
[00:00:06.900 --> 00:00:11.900]   And to say that Dick Sella is a financial historian
[00:00:11.900 --> 00:00:16.900]   is kind of like saying that Steph Curry shoots hoops, okay?
[00:00:16.900 --> 00:00:19.620]   He is, I think, commonly recognized,
[00:00:19.620 --> 00:00:22.020]   universally recognized as the dean
[00:00:22.020 --> 00:00:24.700]   of American financial historians.
[00:00:24.700 --> 00:00:28.900]   He is the author of A History of Interest Rates,
[00:00:28.900 --> 00:00:33.660]   which is on everybody's shelf who does finance.
[00:00:33.660 --> 00:00:39.500]   And I am just tickled to have Dick here with me.
[00:00:39.500 --> 00:00:43.940]   We heard earlier today a very elegant description
[00:00:43.940 --> 00:00:48.060]   of the mathematics of personal finance.
[00:00:48.060 --> 00:00:51.780]   You know, return, volatility, risk aversion,
[00:00:51.780 --> 00:00:54.980]   and how you plug that into an asset allocation.
[00:00:54.980 --> 00:00:59.980]   And I like to say that investing is half mathematics
[00:00:59.980 --> 00:01:02.740]   and half Shakespeare.
[00:01:02.740 --> 00:01:06.380]   So you heard an hour and a half ago
[00:01:06.380 --> 00:01:09.660]   a very eloquent exposition of the mathematics.
[00:01:09.660 --> 00:01:12.320]   But without the Shakespeare, the history,
[00:01:12.320 --> 00:01:15.300]   and the psychology that feeds into it,
[00:01:15.300 --> 00:01:18.880]   you are dead in the water.
[00:01:18.880 --> 00:01:21.540]   So without further ado,
[00:01:21.540 --> 00:01:24.940]   I'm going to ask Dick a rather offbeat question,
[00:01:24.940 --> 00:01:29.700]   which is, when I checked into the hotel the other day,
[00:01:29.700 --> 00:01:31.860]   the clerk took one look at me and said,
[00:01:31.860 --> 00:01:35.020]   "Yes, you get room 1929."
[00:01:35.020 --> 00:01:35.840]   (audience laughing)
[00:01:35.840 --> 00:01:38.500]   Okay, should I be worried?
[00:01:38.500 --> 00:01:40.900]   - What was the question?
[00:01:40.900 --> 00:01:44.740]   - Oh, the clerk said, "You're in room 1929.
[00:01:44.740 --> 00:01:46.180]   "Should I be worried?"
[00:01:46.180 --> 00:01:51.940]   - Well, I don't think so.
[00:01:51.940 --> 00:01:54.720]   I'm kind of curious as to why they gave you that room.
[00:01:54.720 --> 00:01:59.620]   You know, was it because they thought you were 95 years old?
[00:01:59.620 --> 00:02:00.920]   (laughing)
[00:02:00.920 --> 00:02:03.380]   - I don't think there was anything terribly nefarious,
[00:02:03.380 --> 00:02:05.980]   but I did think that it was one heck of a coincidence.
[00:02:05.980 --> 00:02:09.500]   - So Bill mentioned he was going to ask me that yesterday,
[00:02:09.500 --> 00:02:12.660]   and I thought about it a little bit.
[00:02:12.660 --> 00:02:16.760]   Then I realized my own room was 1521.
[00:02:16.760 --> 00:02:21.820]   And I said, "Why would they put Bill in 1929?"
[00:02:21.820 --> 00:02:24.780]   And me in 1521.
[00:02:24.780 --> 00:02:27.620]   And of course, the answer was immediately obvious
[00:02:27.620 --> 00:02:29.380]   to this historian.
[00:02:29.380 --> 00:02:34.380]   1521 was the year the Pope excommunicated Martin Luther.
[00:02:34.380 --> 00:02:37.500]   (laughing)
[00:02:37.500 --> 00:02:40.340]   And 1929 was the year
[00:02:40.340 --> 00:02:46.460]   that Reverend Martin Luther King Jr. was born.
[00:02:46.460 --> 00:02:47.700]   So that's the answer, Bill.
[00:02:47.700 --> 00:02:49.180]   - Okay, help.
[00:02:49.180 --> 00:02:51.140]   - The hotel has a sense of history.
[00:02:51.580 --> 00:02:52.420]   (laughing)
[00:02:52.420 --> 00:02:54.660]   - Very, very touche.
[00:02:54.660 --> 00:02:59.100]   All right, so we're going to start with a subject
[00:02:59.100 --> 00:03:01.460]   I think that Dick wanted to begin with,
[00:03:01.460 --> 00:03:04.820]   and it's a good one, we touched on it already,
[00:03:04.820 --> 00:03:07.120]   which is that the United States
[00:03:07.120 --> 00:03:10.620]   has large annual fiscal deficits.
[00:03:10.620 --> 00:03:14.660]   We have a debt to GDP ratio,
[00:03:14.660 --> 00:03:18.380]   which is now approaching one or greater than one,
[00:03:18.380 --> 00:03:20.700]   I don't know the exact value, but it's large.
[00:03:21.300 --> 00:03:24.820]   Which is okay if you've just fought a war,
[00:03:24.820 --> 00:03:28.780]   or maybe if you've just had an enormous financial crash.
[00:03:28.780 --> 00:03:31.100]   But it is not good to have that
[00:03:31.100 --> 00:03:36.980]   at a time of prosperity and a time of peace.
[00:03:36.980 --> 00:03:40.580]   And there doesn't seem to be any end of this in sight.
[00:03:40.580 --> 00:03:44.420]   We seem to be headed toward a debt spiral.
[00:03:44.420 --> 00:03:47.460]   And I'm wondering how worried you are about that
[00:03:47.460 --> 00:03:50.120]   and how worried we all should be about it.
[00:03:50.120 --> 00:03:52.060]   - Well, this does bother me quite a bit,
[00:03:52.060 --> 00:03:53.820]   and I think it should bother most of you,
[00:03:53.820 --> 00:03:56.460]   because I believe it has investment implications
[00:03:56.460 --> 00:04:00.060]   going forward.
[00:04:00.060 --> 00:04:03.980]   And you know, I'm a fairly old guy now,
[00:04:03.980 --> 00:04:05.860]   and half a lifetime ago,
[00:04:05.860 --> 00:04:10.660]   I remember that the U.S. national debt was $1 trillion.
[00:04:10.660 --> 00:04:15.380]   In 1980, that's like, in my case, half a lifetime ago.
[00:04:15.380 --> 00:04:20.380]   And now it's between $35 and $36 trillion.
[00:04:20.380 --> 00:04:21.760]   And think about that.
[00:04:21.760 --> 00:04:26.680]   You know, it took, what, 180 years of American history
[00:04:26.680 --> 00:04:29.800]   to get up a national debt of $1 trillion.
[00:04:29.800 --> 00:04:32.640]   And now in the last 44 years,
[00:04:32.640 --> 00:04:35.280]   we've run that up to $35 trillion.
