
[00:00:00.000 --> 00:00:04.000]   (music)
[00:00:04.000 --> 00:00:07.000]   AJ from New Hampshire writes in with today's question.
[00:00:07.000 --> 00:00:13.000]   "Hello Pastor John. While the disunity of the church in terms of its denominations is,
[00:00:13.000 --> 00:00:17.000]   in my mind, one of the most tragic and devastating developments in church history,
[00:00:17.000 --> 00:00:22.000]   the fact is that a plethora of denominations now exists in the world in general,
[00:00:22.000 --> 00:00:28.000]   and in the U.S. in particular, and each has its own strengths and each has its own weaknesses.
[00:00:28.000 --> 00:00:34.000]   In light of this reality, would you please share how and why you decided to become a Baptist?"
[00:00:34.000 --> 00:00:38.000]   Well, before I say a word about why I'm a Baptist,
[00:00:38.000 --> 00:00:43.000]   let me go ahead and respond to a little bit of what he said about the divisions in the church,
[00:00:43.000 --> 00:00:48.000]   because that is painful and it is real, and we all need to have a way to think about it,
[00:00:48.000 --> 00:00:50.000]   and they do relate to each other.
[00:00:50.000 --> 00:00:59.000]   Divisions, some behavioral, some doctrinal, have been there in the church from the beginning.
[00:00:59.000 --> 00:01:05.000]   Paul addresses this most explicitly, it seems, in 1 Corinthians.
[00:01:05.000 --> 00:01:12.000]   He says, "I hear that there are divisions among you, and I believe it in part,
[00:01:12.000 --> 00:01:19.000]   for there must be factions among you in order that those who are genuine among you may be recognized."
[00:01:19.000 --> 00:01:22.000]   That's 1 Corinthians 11, 18.
[00:01:22.000 --> 00:01:29.000]   And what we hear in that sentence, it seems to me, is—and in the whole Old Testament,
[00:01:29.000 --> 00:01:35.000]   I mean New Testament for that matter—is that disagreements and their resulting divisions
[00:01:35.000 --> 00:01:45.000]   are lamentable and inevitable in this world, owing, as best as I can see, to sin, finiteness,
[00:01:45.000 --> 00:01:50.000]   cultural diversity, personality differences, and so on.
[00:01:50.000 --> 00:01:56.000]   You can hear the lament in 1 Corinthians 1, 10, where he says,
[00:01:56.000 --> 00:02:01.000]   "I appeal to you, brothers, by the name of our Lord Jesus Christ, that all of you agree,
[00:02:01.000 --> 00:02:07.000]   and that there be no divisions among you, but that you be united in the same mind
[00:02:07.000 --> 00:02:12.000]   and with the same judgment."
[00:02:12.000 --> 00:02:19.000]   And you hear the inevitability of it in the text that I already mentioned, namely 1 Corinthians 11, 19.
[00:02:19.000 --> 00:02:26.000]   "There must be factions among you in order that those who are genuine among you may be recognized."
[00:02:26.000 --> 00:02:34.000]   So it seems to me that all of us who are Christians need to decide how we will do our part
[00:02:34.000 --> 00:02:46.000]   to minimize the lamentable divisions and not be paralyzed or utopian in our view of the inevitability
[00:02:46.000 --> 00:02:50.000]   of divisions until Jesus comes back.
[00:02:50.000 --> 00:03:00.000]   It seems to me that top-down efforts at global unity inevitably lay claim to powers that belong only to Jesus.
[00:03:00.000 --> 00:03:05.000]   And I think you can see that in the Roman Catholic Church.
[00:03:05.000 --> 00:03:13.000]   When I look for guidance in the New Testament about how to minimize lamentable divisions,
[00:03:13.000 --> 00:03:21.000]   what I find is not an emphasis on institutional structures claiming to give a unified public front
[00:03:21.000 --> 00:03:27.000]   to hundreds of subgroups like macro-ecumenical organizations.
[00:03:27.000 --> 00:03:37.000]   Rather, what I find is a repeated effort to overcome pride and selfishness and vain glory
[00:03:37.000 --> 00:03:47.000]   and to work for a common mindset of doing good to others even when you are at odds with each other for some reason.
[00:03:47.000 --> 00:03:53.000]   And the best example I know of this is found in Philippians 2, 2 through 4.
