
[00:00:00.000 --> 00:00:05.800]   The holidays start here at Ralph's with a variety of options to celebrate traditions old and new.
[00:00:05.800 --> 00:00:10.200]   Whether you're making a traditional roasted turkey or spicy turkey tacos,
[00:00:10.200 --> 00:00:13.800]   your go-to shrimp cocktail, or your first Cajun risotto,
[00:00:13.800 --> 00:00:17.800]   Ralph's has all the freshest ingredients to embrace your traditions.
[00:00:17.800 --> 00:00:20.000]   Ralph's. Fresh for Everyone.
[00:00:20.000 --> 00:00:25.000]   Choose from a great selection of digital coupons and use them up to five times in one transaction.
[00:00:25.000 --> 00:00:26.600]   Check our app for details.
[00:00:26.600 --> 00:00:29.000]   Ralph's. Fresh for Everyone.
[00:00:30.000 --> 00:00:33.000]   Your tough Tacoma is here.
[00:00:33.000 --> 00:00:36.000]   Your powerful 4Runner.
[00:00:36.000 --> 00:00:38.000]   Your stylish Camry.
[00:00:38.000 --> 00:00:41.000]   Your versatile RAV4.
[00:00:41.000 --> 00:00:44.000]   Even your fully electric VZ4X.
[00:00:44.000 --> 00:00:50.000]   Your new Toyota car, truck, or SUV is available now.
[00:00:50.000 --> 00:00:53.000]   So see your Toyota dealer today.
[00:00:53.000 --> 00:00:56.000]   We make it easy.
[00:00:56.000 --> 00:00:59.000]   Toyota. Let's go places.
[00:00:59.000 --> 00:01:07.000]   Welcome to Radical Personal Finance, a show dedicated to providing you with the knowledge, skills, insight, and encouragement you need to live a rich and meaningful life now,
[00:01:07.000 --> 00:01:10.000]   while building a plan for financial freedom in ten years or less.
[00:01:10.000 --> 00:01:11.000]   My name is Josh Rasheeds. I'm your host.
[00:01:11.000 --> 00:01:19.000]   Today on the show, I want to explain to you how you can get a college degree fast and cheap.
[00:01:19.000 --> 00:01:22.000]   You need a college degree. You want a college degree.
[00:01:22.000 --> 00:01:25.000]   How can you get a college degree fast and cheap?
[00:01:25.000 --> 00:01:30.000]   This can be applicable to you. This can be applicable to your children.
[00:01:30.000 --> 00:01:42.000]   Today, I'm going to give you the lessons and the framework that you can use to apply in your life or in your children's lives so that you can get a college degree fast and cheap.
[00:01:42.000 --> 00:01:47.000]   Now, a couple of introductory comments, and we're going to get right into the heart of the strategy.
[00:01:47.000 --> 00:01:50.000]   I'm not promising easy.
[00:01:50.000 --> 00:01:53.000]   Notice I didn't say fast, cheap, and easy.
[00:01:53.000 --> 00:02:04.000]   I'm saying you can get a college degree fast and cheap, and the ease with which you can get that college degree is going to depend very much on your personal capabilities.
[00:02:04.000 --> 00:02:11.000]   Also, I'm not promising that you can get the best college degree that is fast and cheap.
[00:02:11.000 --> 00:02:13.000]   I don't even know how you define the best.
[00:02:13.000 --> 00:02:18.000]   There are a couple of different ways that you could think about what is the best degree.
[00:02:18.000 --> 00:02:30.000]   And there are many of us who will have specialized interests, desires, goals, career ambitions, etc., where our path will be fairly obvious, where we need to go for the best.
[00:02:30.000 --> 00:02:36.000]   But I am going today to teach you how to get a college degree fast and cheap, and here's why.
[00:02:36.000 --> 00:02:48.000]   If you or your children are capable of doing academic work, I believe that today, in 2023, you should have a college degree.
[00:02:48.000 --> 00:02:55.000]   I believe this is an important step because it will lower your overall lifetime risk of unemployment.
[00:02:55.000 --> 00:03:07.000]   It will open up many more opportunities to you, and it will provide you a pretty decent insurance policy against facing poverty.
[00:03:07.000 --> 00:03:21.000]   There are many, many people who have succeeded in every sense of the word, including financially, career-wise, etc., without a college degree.
[00:03:21.000 --> 00:03:31.000]   And it is much easier to succeed without a college degree in the year 2023 than perhaps it was in the year 1983.
[00:03:31.000 --> 00:03:49.000]   However, having a college degree is still very important because those exceptions, those people that succeed without a college degree, are the exceptions that prove the rule rather than the new rule that we all aspire to.
[00:03:49.000 --> 00:03:57.000]   I always like to think of Bill Gates, right? Bill Gates famously dropped out of Harvard University and went on to become the richest man in the world.
[00:03:57.000 --> 00:04:05.000]   The point is not that Bill Gates dropped out of Harvard and thus has no college degree. The point is that Bill Gates dropped out of Harvard.
[00:04:05.000 --> 00:04:12.000]   And that tells you and anyone else who's ever interacted with him everything you need to know about Bill Gates.
[00:04:12.000 --> 00:04:17.000]   And it's similar with many people. So there are people who can succeed in life very well without a college degree.
[00:04:17.000 --> 00:04:32.000]   But the data continues to be very clear that those who have a college degree earn more money and, more importantly, have a much lower unemployment rate risk than those who do not have a college degree.
[00:04:32.000 --> 00:04:43.000]   And this factors in really at every stage of life. I'm not going to go into a long-winded soliloquy here on the worthlessness of a college degree, etc.
[00:04:43.000 --> 00:04:57.000]   I think there's a huge degree of variability. The truth has always been that as an autodidact with a library card, you can be better educated than the person with the fanciest degree.
[00:04:57.000 --> 00:05:05.000]   But that doesn't minimize the importance of the college degree and its credentialization process in our society.
[00:05:05.000 --> 00:05:15.000]   It remains the case, while certainly it is true that perhaps Google is giving less weight to college degrees and Elon Musk is happy to hire some people who don't have college degrees,
[00:05:15.000 --> 00:05:21.000]   it remains the case that many job applications are screened based upon people having a college degree.
[00:05:21.000 --> 00:05:33.000]   And that if you have a college degree, though it not be pertinent in any way to the career that you're going after, it will open up your chances and make them much broader for you.
[00:05:33.000 --> 00:05:44.000]   And so let me just give you a very personal example. I have two college degrees. I have an undergraduate degree in international business and I have a master's degree in financial services and financial planning.
[00:05:44.000 --> 00:05:52.000]   I also have a long string of designations. I'm a certified financial planner, a chartered life underwriter, a chartered financial consultant, a chartered advisor of senior living.
[00:05:52.000 --> 00:06:04.000]   I am a registered health underwriter, a registered employee benefits consultant. I'm a CFP, CLU, CHFC. Anyway, a couple others as well. I've forgotten them all.
[00:06:04.000 --> 00:06:12.000]   I pay every year several hundred dollars to maintain those things, right? The most expensive one is a certified financial planner designation.
[00:06:12.000 --> 00:06:19.000]   I don't care at all today about being a certified financial planner. There was a time in which it was very important to me.
[00:06:19.000 --> 00:06:27.000]   I was very young. I didn't know a lot about financial planning. I really needed that education that came with becoming a certified financial planner in order to build my own personal confidence.
[00:06:27.000 --> 00:06:34.000]   That was the biggest thing that I gained from it. And certainly the CFP credentials are useful and valuable in the marketplace.
[00:06:34.000 --> 00:06:40.000]   But I'm at a point in life where I don't really care. Other than in this context, I don't spend a lot of time talking about it on the show.
[00:06:40.000 --> 00:06:49.000]   It's on my website, sort of, but I haven't used any of that stuff in my email bio for a long time. It's just not a big deal to me because all of my work is public.
[00:06:49.000 --> 00:06:55.000]   Anyone who wants to know what I know about financial planning can hear it every day. And so I don't care much about the credential.
[00:06:55.000 --> 00:07:03.000]   So why do I pay hundreds of dollars a year to maintain it? I don't use it. I don't market it. Probably should, but don't. It's because of the backup plan.
[00:07:03.000 --> 00:07:18.000]   What if I went broke and I needed a job? Well, because of the credentials that I hold, I could get an interview at, I won't say every firm, but I could certainly get an interview at just about any financial planning firm or business that I wanted an interview at.
[00:07:18.000 --> 00:07:26.000]   And I would have a whole bunch of options simply because of those credentials. And this is basically the way that a college degree works.
[00:07:26.000 --> 00:07:34.000]   Is that if you have a college degree, it can open up doors to you that otherwise can be difficult to open up.
[00:07:34.000 --> 00:07:48.000]   So I believe that everyone who is capable of doing academic work easily should have a degree because it lowers your risk of unemployment and your risk of poverty significantly.
[00:07:48.000 --> 00:08:03.000]   It's a big advantage. Now, notice I'm distinguishing between those who are capable of academic work. For those people for whom academics come fairly easily, they're capable of doing it, they should have a college degree.
[00:08:03.000 --> 00:08:30.000]   But others who are not, they should not bother. They should go and maximize their non-college opportunities. And so that may still involve some form of certification, but it might be a form of certification of competency as a mechanic, or competency with a certain kind of program, or competency with other forms of certifications and credentials that would fit their personal interests and their personal abilities.
[00:08:30.000 --> 00:08:42.000]   Credentialization, broadly speaking, performs the function that I'm describing, even if it's not a college degree. So how do you go to college fast and cheap?
[00:08:42.000 --> 00:08:58.000]   The basic strategy is simply this. Gain college credit by taking exams that prove your knowledge and competence rather than by sitting in class.
[00:08:58.000 --> 00:09:09.000]   That's it. If you can take tests that show your knowledge and competence, then you can get a college degree. Now, there are a couple different ways that you can take tests.
[00:09:09.000 --> 00:09:32.000]   I think the most useful framework that I have found for this, I have borrowed from a YouTube channel, a YouTuber named Ryan Swaite, who runs a channel called Nine Month College Grad. Ryan's story is, as he shares it, he had gone to college, signed up for college when he was a young man, dropped out, signed up later along the way, dropped out.
[00:09:32.000 --> 00:09:45.000]   Just the concept of going to college, sitting in class and whatnot didn't work for him. It wasn't of his interest. It wasn't something that was important to him. Then he found himself, he and his wife, earning very little money, had a new baby, needed a college degree, and he decided to do something different.
[00:09:45.000 --> 00:10:11.000]   He went through what's called a competency-based education program, and he was able to get a college degree, his undergraduate degree, in nine months. He teaches a way of thinking about this that I think is very useful, that you divide your strategies into strategy number one, which is to quiz out by taking exams, or strategy number two, which is to go through a competency-based education program.
[00:10:11.000 --> 00:10:26.000]   There are variations on the theme. Both of them involve quizzing out, but you do it slightly differently using different providers. Let me explain how this works using his two frameworks. The first one of quiz out by taking exams.
[00:10:26.000 --> 00:10:46.000]   You've probably heard in the American system of doing things like taking AP exams or CLEP tests. Those are the most well-known ways to get college credit by passing an exam successfully. Many high schoolers, especially the most academically oriented, they take AP classes in high school, and they sign up for an exam.
[00:10:46.000 --> 00:11:06.000]   If they can get an appropriate score on that exam, many colleges will grant them credit based upon passing the exam. There is a also well-known version of these exams called the CLEP exams, college level examination program. What most people are not aware of is quite simply the fact that there are lots of other providers of these.
[00:11:06.000 --> 00:11:27.000]   The providers change over time, but there are some popular ones. By the way, I'm going to go through in this show, I'm going to go through a lot of details to help you. There is popular ones like study.com, sophia.org is really popular right now, DSST exams are available, there's sailor.org, there's a number of different options. I'll go through some of these.
[00:11:27.000 --> 00:11:48.000]   The most well-known ones are CLEP exams and AP exams. The idea of quizzing out by taking an exam is simply you go out, take a bunch of exams, and then take those exams to a college and say, "Look, I've passed these tests, will you give me credit for these?" Some of the exams that are very widely known, you can get credit at most colleges. An AP exam is a good example.
[00:11:48.000 --> 00:12:12.000]   Most colleges anywhere in the United States accept a successful grade on an AP exam and give credit for college course based upon passing it. Not all exams, every college has different rules, but most colleges will do that. The trick is there are some colleges that will give you many more college credits for more exams than others.
[00:12:12.000 --> 00:12:39.000]   Let's talk for a moment about how a college degree is constructed. Generally speaking, to earn a bachelor's degree, you need to accumulate 120 credit hours in a university. The definition of a credit hour is simply the number of hours that you go to class during a semester of college.
[00:12:39.000 --> 00:13:00.000]   Normally, a college semester in the United States is 15 weeks. A normal class would have basically 3 hours of instruction per week for 15 weeks. If you multiply 3 times 15, that is a total of 45 hours of class over the course of that 15 weeks.
[00:13:00.000 --> 00:13:19.000]   Of course, there will be more hours of homework, etc. that you are responsible for. The way that you get credit for the course is to pass the class and then you are granted a number of credit hours based loosely on the number of minutes that you spend in class.
[00:13:19.000 --> 00:13:38.000]   So, every university has different programs. When I went to university, most of my classes were 3 credit hours and they would be split up on a different schedule whether they were Monday, Wednesday, Friday, or Tuesday and Thursday. So, Monday, Wednesday, and Friday, I would go to school. I think the courses were 50 or 55 minutes long, something like that, a little less than an hour.
[00:13:38.000 --> 00:14:00.000]   I would have a class at 8am and go from 8am to 8.50 or 8.55, I don't remember anymore, and do that Monday, Wednesday, Friday for 15 weeks. As long as I pass the course, that would give me 3 credit hours. Then Tuesday and Thursday, our classes would be a little bit longer. So, it would be an hour and a half on Tuesday and an hour and a half on Thursday. Slightly different schedule, but total it would be 3 hours for a week.
[00:14:00.000 --> 00:14:23.000]   Then there are some classes that don't meet so frequently. So, you might have a biology class where you meet Monday, Wednesday, and Friday. That gives you 3 credit hours. And then you have a biology lab that you meet once a week for an hour and that gives you 1 credit hour for your biology lab. So, now you have 4 credits of biology, 3 credits of the class, 1 credit of the lab.
