
[00:00:00.040 --> 00:00:10.460]   love
[00:00:28.760 --> 00:00:30.620]   Love speech is much more important than love speech.
[00:00:30.620 --> 00:00:36.240]   And the reason is, I'm much more interested in knowing whom I should not turn my back on
[00:00:36.240 --> 00:00:40.700]   than I am interested in figuring out who loves me.
[00:00:40.700 --> 00:00:45.560]   The following is a conversation with Harvey Silverglade,
[00:00:45.560 --> 00:00:48.900]   a legendary free speech advocate, co-founder of FIRE,
[00:00:48.900 --> 00:00:51.300]   the Foundation for Individual Rights and Expression,
[00:00:51.300 --> 00:00:55.940]   and the author of several books on the freedom of speech and criminal justice,
[00:00:55.940 --> 00:00:58.420]   including The Shadow University,
[00:00:58.420 --> 00:00:58.780]   and The Shadow University.
[00:00:58.780 --> 00:00:58.780]   The Shadow University is a free speech advocacy organization that is a part of the Shadow University.
[00:00:58.780 --> 00:00:58.780]   The Shadow University is a free speech advocacy organization that is a part of the Shadow University.
[00:00:58.780 --> 00:00:58.780]   The Shadow University is a free speech advocacy organization that is a part of the Shadow University.
[00:00:58.780 --> 00:00:58.780]   The Shadow University is a free speech advocacy organization that is a part of the Shadow University.
[00:00:58.780 --> 00:00:58.780]   The Shadow University is a free speech advocacy organization that is a part of the Shadow University.
[00:00:59.160 --> 00:01:28.820]   The Shadow University is a free speech advocacy organization that is a part of the Shadow University.
[00:01:28.820 --> 00:01:28.820]   The Shadow University is a free speech advocacy organization that is a part of the Shadow University.
[00:01:28.820 --> 00:01:28.820]   The Shadow University is a free speech advocacy organization that is a part of the Shadow University.
[00:01:28.840 --> 00:01:36.900]   The Shadow University is a free speech advocacy organization that is a part of the Shadow University.
[00:01:36.900 --> 00:01:36.900]   The Shadow University is a free speech advocacy organization that is a part of the Shadow University.
[00:01:36.900 --> 00:01:38.860]   As a side note, please allow me to say that since there are several controversial conversations coming up,
[00:01:38.860 --> 00:01:38.900]   As a side note, please allow me to say that since there are several controversial conversations coming up,
[00:01:38.900 --> 00:01:40.860]   As a side note, please allow me to say that since there are several controversial conversations coming up,
[00:01:40.860 --> 00:01:42.860]   As a side note, please allow me to say that since there are several controversial conversations coming up,
[00:01:42.860 --> 00:01:42.860]   I tried to make sure that this podcast is a platform for free discourse where ideas are not censored but explored,
[00:01:42.860 --> 00:01:44.980]   I tried to make sure that this podcast is a platform for free discourse where ideas are not censored but explored,
[00:01:44.980 --> 00:01:45.860]   I tried to make sure that this podcast is a platform for free discourse where ideas are not censored but explored,
[00:01:45.880 --> 00:02:03.900]   and if necessary, challenged in a thoughtful and pathetic way.
[00:02:03.900 --> 00:02:04.900]   and if necessary, challenged in a thoughtful and pathetic way.
[00:02:04.900 --> 00:02:05.900]   and if necessary, challenged in a thoughtful and pathetic way.
[00:02:05.900 --> 00:02:06.900]   and if necessary, challenged in a thoughtful and pathetic way.
[00:02:06.900 --> 00:02:06.900]   It's by having such difficult conversations, not by avoiding them, that we can begin to heal divides and shed light on the dark parts of human history and human nature.
[00:02:06.900 --> 00:02:06.900]   It's by having such difficult conversations, not by avoiding them, that we can begin to heal divides and shed light on the dark parts of human history and human nature.
[00:02:06.900 --> 00:02:07.900]   It's by having such difficult conversations, not by avoiding them, that we can begin to heal divides and shed light on the dark parts of human history and nature.
[00:02:07.900 --> 00:02:08.900]   This is a life-s freedom podcast is a thoughtful and pathetic way.
[00:02:08.900 --> 00:02:09.900]   It's thoughtful and pathetic way.
[00:02:09.900 --> 00:02:10.900]   It's thoughtful and pathetic way.
[00:02:10.900 --> 00:02:11.900]   It's thoughtful and pathetic way.
[00:02:11.900 --> 00:02:12.900]   It's thoughtful way.
[00:02:15.000 --> 00:02:44.940]  ,
[00:02:44.940 --> 00:02:44.940]   .
[00:02:44.940 --> 00:02:44.940]   .
[00:02:44.940 --> 00:02:44.940]   .
[00:02:44.940 --> 00:02:44.940]   .
[00:02:44.980 --> 00:02:46.940]   é
[00:02:46.940 --> 00:02:57.280]   component it's
[00:02:57.280 --> 00:03:11.660]   II B This I line won it be organism 1919感謝 caregivercur 64進riage, belong, Al, Sh, S,,,,,,,,,,,,,,,,,,,,, the free speeches verify the free speech on the free speech and theasser the hire the私 the complimentary the
[00:03:11.660 --> 00:03:13.760]   And theanstit this is the
[00:03:13.880 --> 00:03:42.780]   I'm the most of the people who disagree with them should not
[00:03:42.780 --> 00:03:42.780]   be able to voice their opinion on the issue.
[00:03:42.800 --> 00:04:11.700]  ,
[00:04:11.700 --> 00:04:11.700]   It's a very difficult period right now, both on campus and off campus.
[00:04:11.700 --> 00:04:11.700]   It's about as intolerant an era as I can remember.
[00:04:11.700 --> 00:04:11.700]   I'm going to be 81 May 10th.
[00:04:11.700 --> 00:04:11.700]   I was born on Mother's Day 1942.
[00:04:11.700 --> 00:04:11.740]   I can't remember it being this bad.
[00:04:11.740 --> 00:04:11.780]   I was born during the McCarthy era.
[00:04:11.780 --> 00:04:11.820]   So that says a lot.
[00:04:11.820 --> 00:04:11.840]   It sort of reminds me of that.
[00:04:11.840 --> 00:04:11.860]   Well, let's start with that.
[00:04:11.860 --> 00:04:11.940]   Well, let's start with that.
[00:04:11.940 --> 00:04:11.940]   Well, let's start with that.
[00:04:11.940 --> 00:04:12.020]   Well, let's start with that.
[00:04:12.020 --> 00:04:12.100]   Well, let's start with that.
[00:04:12.100 --> 00:04:12.180]   Well, let's start with that.
[00:04:12.180 --> 00:04:12.220]   Well, let's start with that.
[00:04:12.220 --> 00:04:12.260]   Well, let's start with that.
[00:04:12.260 --> 00:04:12.280]   Well, let's start with that.
[00:04:12.280 --> 00:04:12.300]   Well, let's start with that.
[00:04:12.300 --> 00:04:12.340]   Well, let's start with that.
[00:04:12.340 --> 00:04:12.420]   Let's start with that.
[00:04:12.460 --> 00:04:22.140]   connect
[00:04:22.140 --> 00:04:23.340]   talked or
[00:04:23.340 --> 00:04:40.180]   " " My I wild as, and, love,ugh,G,�,FP, lar,
[00:04:40.180 --> 00:04:41.400]   said,
[00:04:41.860 --> 00:04:49.940]   is
[00:04:49.940 --> 00:05:09.900]   this,,,,
[00:05:09.940 --> 00:05:26.040]   things that are going to make somebody feel bad.
[00:05:26.040 --> 00:05:33.520]   Um, the purpose of speech is to express honest views that people have.
[00:05:33.520 --> 00:05:38.020]   And, um, so I believe hate speech is as important as love speech.
[00:05:38.020 --> 00:05:38.020]   And my view is that hate speech is as important as love speech.
[00:05:38.020 --> 00:05:38.020]   And my view is that hate speech is as important as love speech.
[00:05:38.020 --> 00:05:38.020]   And my view is that hate speech is as important as love speech.
[00:05:38.020 --> 00:05:38.120]   And my view is that hate speech is as important as love speech.
[00:05:38.120 --> 00:05:38.180]   And my view is that hate speech is as important as love speech.
[00:05:38.180 --> 00:05:38.220]   And my view is that hate speech is as important as love speech.
[00:05:38.220 --> 00:05:38.280]   And my view is that hate speech is as important as love speech.
[00:05:38.280 --> 00:05:38.360]   And my view is that hate speech is as important as love speech. And my view is that hate speech is as important as love speech.
[00:05:38.420 --> 00:05:48.060]   all
[00:05:48.060 --> 00:05:50.440]   entend and is however
[00:06:06.380 --> 00:06:09.760]  werth of speech eventually leads to a censorship of thought.
[00:06:09.760 --> 00:06:14.920]   Of course, censorship of the mode by which other people know what you're thinking.
[00:06:14.920 --> 00:06:20.120]   So there's some aspect of our society that is that thinking is done collectively.
[00:06:20.120 --> 00:06:24.000]   And without being able to speak to each other, we cannot do this kind of collective thinking.
[00:06:24.000 --> 00:06:28.920]   And out of the theory is that ultimately out of speech comes truth.
[00:06:28.920 --> 00:06:31.880]   That isn't necessarily so.
[00:06:31.880 --> 00:06:34.300]   But I do think that when there's free speech,
[00:06:34.300 --> 00:06:34.300]   better decisions are made.
[00:06:34.300 --> 00:06:34.300]   But I do think that when there's free speech,
[00:06:34.300 --> 00:06:34.300]   better decisions are made.
[00:06:34.300 --> 00:06:34.300]   But I do think that when there's free speech,
[00:06:34.300 --> 00:06:34.300]   better decisions are made.
[00:06:34.300 --> 00:06:34.300]   But I do think that when there's free speech,
[00:06:34.300 --> 00:06:34.300]   better decisions are made.
[00:06:34.300 --> 00:06:34.300]   But I do think that when there's free speech,
[00:06:34.300 --> 00:06:34.300]   better decisions are made.
[00:06:34.300 --> 00:06:34.300]   But I do think that when there's free speech,
[00:06:34.500 --> 00:07:02.460]   I do think that when there's free speech,
[00:07:02.460 --> 00:07:02.500]   better decisions are made.
[00:07:02.500 --> 00:07:02.540]   better decisions are made.
[00:07:02.540 --> 00:07:02.540]   better decisions are made. Because people put their views on the table in a frank, accurate way.
[00:07:02.540 --> 00:07:02.640]   And then those views mix together and clash.
[00:07:02.640 --> 00:07:02.640]   And out of that usually comes the better decision.
[00:07:02.640 --> 00:07:02.800]   And out of that usually comes the better decision.
[00:07:02.800 --> 00:07:02.860]   And out of that usually comes the better decision.
[00:07:02.860 --> 00:07:02.860]   And out of that usually comes the better decision.
[00:07:02.860 --> 00:07:02.860]   And out of that usually comes the better decision.
[00:07:02.860 --> 00:07:02.860]   not always but usually or more often they're not.
[00:07:02.860 --> 00:07:02.860]   not always but if somebody is not allowed to be a citizen.
[00:07:02.860 --> 00:07:03.860]   or decision-of decision-making.
[00:07:03.860 --> 00:07:04.300]   decision-making.
[00:07:04.300 --> 00:07:04.300]   decision-making.
