
[00:00:00.000 --> 00:00:04.320]   Thank you, Sammy.
[00:00:04.320 --> 00:00:11.140]   So I'll tell you about some very high level stuff today and
[00:00:11.140 --> 00:00:12.120]   no new algorithm.
[00:00:12.120 --> 00:00:17.880]   Some of you already know about the book that Ian Goodfellow,
[00:00:17.880 --> 00:00:19.800]   Aaron Corville and I have written.
[00:00:19.800 --> 00:00:23.800]   And it's now in pre-sale by MIT Press.
[00:00:23.800 --> 00:00:26.400]   I think you can find it on Amazon or something.
[00:00:28.880 --> 00:00:34.600]   And the paper, the actual shipping is gonna be in December, hopefully for NIPS.
[00:00:34.600 --> 00:00:41.920]   So we've already heard that story at least,
[00:00:41.920 --> 00:00:46.720]   well from several people here, at least from Andrew I think.
[00:00:46.720 --> 00:00:53.680]   But it's good to ponder a little bit some of these ingredients that seem to be
[00:00:53.680 --> 00:00:57.720]   important for deep learning to succeed.
[00:00:57.720 --> 00:01:02.080]   But in general for machine learning to succeed, to learn really complicated tasks
[00:01:02.080 --> 00:01:07.760]   of the kind we want to reach human level performance.
[00:01:07.760 --> 00:01:10.520]   So if a machine is gonna be intelligent,
[00:01:10.520 --> 00:01:17.120]   it's going to need to acquire a lot of information about the world.
[00:01:17.120 --> 00:01:22.680]   And the big success of machine learning for AI has been to show that
[00:01:22.680 --> 00:01:25.840]   we can provide that information through data, through examples.
[00:01:27.520 --> 00:01:29.360]   But really think about it,
[00:01:29.360 --> 00:01:33.680]   that machine will need to know a huge amount of information about the world around us.
[00:01:33.680 --> 00:01:37.400]   This is not how we are doing it now because we're not able to train such big
[00:01:37.400 --> 00:01:39.440]   models, but it will come one day.
[00:01:39.440 --> 00:01:42.880]   And so we'll need models that are much bigger than the ones we currently have.
[00:01:42.880 --> 00:01:48.000]   Of course, that means machine learning algorithms that can represent
[00:01:48.000 --> 00:01:51.360]   complicated functions, that's one good thing about neural nets.
[00:01:51.360 --> 00:01:55.440]   But there are many other machine learning approaches that allow you in principle
