
[00:00:00.940 --> 00:00:02.680]   - Well, welcome gentlemen.
[00:00:02.680 --> 00:00:08.680]   We've had two days of tremendous preaching,
[00:00:08.680 --> 00:00:10.760]   tremendous singing.
[00:00:10.760 --> 00:00:15.760]   It is a joy to hear men sing who love Christ.
[00:00:15.760 --> 00:00:17.720]   - Amen.
[00:00:17.720 --> 00:00:19.840]   - And to be able to be with them.
[00:00:19.840 --> 00:00:21.680]   Now we've heard some great preaching
[00:00:21.680 --> 00:00:24.940]   on the topic of truth triumphs.
[00:00:24.940 --> 00:00:29.640]   Now we're gonna come down to implementing it.
[00:00:29.640 --> 00:00:31.960]   Truth triumphs, how do we live it out?
[00:00:31.960 --> 00:00:33.160]   Come on up Bill.
[00:00:33.160 --> 00:00:37.360]   How do we live it out down in the trenches?
[00:00:37.360 --> 00:00:40.000]   When you're hand-to-hand combat,
[00:00:40.000 --> 00:00:44.180]   when you're fighting spiritual forces of darkness?
[00:00:44.180 --> 00:00:47.360]   How are we going to work through that?
[00:00:47.360 --> 00:00:50.140]   So we're going to have a discussion.
[00:00:50.140 --> 00:00:51.520]   My name is George Crawford.
[00:00:51.520 --> 00:00:54.080]   I've had the privilege of serving as an elder here
[00:00:54.080 --> 00:00:56.400]   since 1996.
[00:00:56.400 --> 00:00:58.720]   We have a saying here that some of our elders
[00:00:58.720 --> 00:01:00.080]   are good for something and some of them
[00:01:00.080 --> 00:01:01.180]   are good for nothing.
[00:01:01.180 --> 00:01:05.040]   The former being guys who are on staff,
[00:01:05.040 --> 00:01:06.600]   the latter being guys who,
[00:01:06.600 --> 00:01:10.560]   using a very non-biblical term, are lay elders.
[00:01:10.560 --> 00:01:13.300]   I am one of the latter.
[00:01:13.300 --> 00:01:18.000]   With me, and I'm gonna ask the gentleman to give,
[00:01:18.000 --> 00:01:19.820]   in the interest of brevity,
[00:01:19.820 --> 00:01:22.000]   in the interest of a military carryover,
[00:01:22.000 --> 00:01:25.680]   name, rank, and serial number, starting with Mr. Hargrove.
[00:01:25.680 --> 00:01:29.480]   Carl Hargrove, one of the elders here,
[00:01:29.480 --> 00:01:32.640]   pastoral staff overseeing Grace Advance,
[00:01:32.640 --> 00:01:36.560]   and also faculty at the Master's Seminary.
[00:01:36.560 --> 00:01:39.800]   And what areas of ministry do you do here at Grace?
[00:01:39.800 --> 00:01:44.200]   Grace Advance is a ministry where we help churches
[00:01:44.200 --> 00:01:47.080]   in North America plant churches and revitalize.
[00:01:47.080 --> 00:01:48.800]   And also with Bill Shannon,
[00:01:48.800 --> 00:01:52.960]   pastor fellowship group here called Anchor.
[00:01:52.960 --> 00:01:55.520]   Some history with Grace Church, just briefly.
[00:01:55.520 --> 00:02:00.520]   I was sent out by Grace Church in 1993
[00:02:00.520 --> 00:02:04.120]   to plant a church, and did that for 20 years,
[00:02:04.120 --> 00:02:06.620]   and 10 years ago asked to come back.
[00:02:06.620 --> 00:02:10.560]   So I've been back here for 10 years now.
[00:02:10.560 --> 00:02:13.000]   I've been 20 years of ministry.
[00:02:13.000 --> 00:02:14.040]   - Tom?
[00:02:14.040 --> 00:02:16.160]   - Tom Patton, I'm a pastor here at Grace Church.
[00:02:16.160 --> 00:02:17.360]   I'm an elder as well.
[00:02:17.360 --> 00:02:19.520]   I also have a fellowship group that I pastor
[00:02:19.520 --> 00:02:21.200]   along with John Street, who's right over there
[00:02:21.200 --> 00:02:23.600]   talking as I'm talking, which is interesting.
[00:02:23.600 --> 00:02:26.200]   (laughing)
[00:02:26.200 --> 00:02:28.160]   He knows me, so he doesn't care.
[00:02:28.160 --> 00:02:32.620]   And been here for about 30 years.
[00:02:32.620 --> 00:02:37.040]   Since 1991 is when I came here, been on staff since 2001.
[00:02:37.040 --> 00:02:40.320]   And also teach at the seminary, I teach preaching there.
[00:02:40.320 --> 00:02:44.360]   And I'm a part of Grace Advance, of Carl's ministry as well.
[00:02:44.360 --> 00:02:46.840]   And we all kind of do a lot of things around here.
[00:02:46.840 --> 00:02:48.220]   We all wear a lot of different hats.
[00:02:48.220 --> 00:02:49.060]   But that's what I do.
[00:02:49.060 --> 00:02:50.480]   - We wear a multiplicity of hats.
[00:02:50.480 --> 00:02:51.320]   - We do.
