
[00:00:00.000 --> 00:00:19.360]   so welcome everyone thanks for making it to this lunch and learn my goal today is to make sure that
[00:00:19.360 --> 00:00:28.920]   I get to share my knowledge and experience on LLM fine-tuning and just to get a quick sort of pull
[00:00:28.920 --> 00:00:36.240]   from the audience here how many of you are have heard of the concept of fine-tuning here okay so
[00:00:36.240 --> 00:00:42.540]   quite a few people how many of you have actually had hands-on experience in fine-tuning LLMs okay
[00:00:42.540 --> 00:00:48.180]   all right that's pretty good that's more than I'm usually used to I mean this is quite a fantastic
[00:00:48.180 --> 00:00:54.660]   that in this conference the makeup of AI engineer is close to 100% that's not something I'm generally
[00:00:54.660 --> 00:01:01.120]   used to when presenting at other you know hackathons and conferences so I feel like I'm speaking to the
[00:01:01.120 --> 00:01:10.020]   right crowd so just to kind of contextualize this talk really I'm trying to address two pains that
[00:01:10.020 --> 00:01:17.340]   a lot of Gen AI engineers face and to get a sense of where you are in your journey how many really
[00:01:17.340 --> 00:01:25.680]   identify and can relate to the first one which is my Gen AI span has gone through the roof okay yeah all
[00:01:25.680 --> 00:01:31.980]   right and how many of you are in this other segment of this journey which is you know you've built POC's
[00:01:31.980 --> 00:01:39.480]   it's showing promise but you haven't yet quite met this quality bar to go to production can I get a
[00:01:39.480 --> 00:01:45.960]   sense of all right so so I think you know we have a good amount of good fraction of the audience that can
[00:01:45.960 --> 00:01:52.380]   relate to one of these two problems myself I'm a co-founder at Octo AI and I'm going to talk a little
[00:01:52.380 --> 00:01:58.980]   bit more about what we do but the customers I've been working with they feel those pains in very real way or
[00:01:58.980 --> 00:02:06.360]   talking about tens of thousands if not hundreds of thousands of dollars in monthly bills and perhaps
[00:02:06.360 --> 00:02:12.960]   even having issues trying to go to production because the quality bar hasn't yet been met so the
[00:02:12.960 --> 00:02:19.800]   overview of this 15-minute talk is going to be spent on understanding the why of fine-tuning really try to
[00:02:19.800 --> 00:02:24.960]   understand when to use fine-tuning it's not really a silver bullet for all the problems you're going to
[00:02:24.960 --> 00:02:30.340]   face but when used right in the right context for the right problem it can really deliver results
[00:02:30.340 --> 00:02:36.340]   I'm also going to try to contextualize this notion of fine-tuning within the crawl walk and
[00:02:36.340 --> 00:02:42.340]   run of LLM quality optimization because there's different techniques that you should attempt before trying
[00:02:42.340 --> 00:02:47.340]   to do fine-tuning but finally when you're convinced that this is the right thing for you I'm going to
[00:02:47.340 --> 00:02:53.660]   talk about this continuous deployment cycle of fine-tuned LLMs so we're going to go through today
[00:02:53.660 --> 00:03:01.200]   over a whole crank of that wheel of this deployment cycle composed of you know model you know data set
[00:03:01.200 --> 00:03:07.560]   collection model fine-tuning deployment and evaluation and really I'm trying to demystify this
[00:03:07.560 --> 00:03:11.700]   whole journey to you all because in the next 15 minutes we're actually going to go through this whole
[00:03:11.700 --> 00:03:15.540]   process and hopefully that's something that you're going to feel comfortable going through and you know
[00:03:15.540 --> 00:03:21.240]   applying to your own data set to your own problems and so for illustrating today's use case we're going
[00:03:21.240 --> 00:03:26.760]   to use this personally identifiable information redaction use case now that's a pretty traditional
[00:03:26.760 --> 00:03:32.460]   sort of data scrubbing type of application but we're going to use LLMs and we're going to see that we can
[00:03:32.460 --> 00:03:41.560]   essentially achieve state of VR accuracy while keeping efficiency at the highest using essentially very
[00:03:41.560 --> 00:03:48.160]   compact very lightweight models that have been fine-tuned for that very task so again trying to motivate this
[00:03:48.160 --> 00:03:53.640]   talk what limits gen AI adoption in most businesses today based on the conversations that I've had in the
[00:03:53.640 --> 00:04:02.220]   field discussions I've had customers and developers the first one is there's a limited availability of GPUs I think we're all
[00:04:02.220 --> 00:04:07.920]   familiar with this problem it's one of the reasons why Nvidia is so successful lately I mean everyone wants
[00:04:07.920 --> 00:04:19.840]   to have access to those precious resources that allow us to run gen AI at scale and that can also drive costs up right so we have to be smart about how to use those GPU resources
[00:04:19.840 --> 00:04:29.540]   and also when people build POCs it displays and shows promise but sometimes you don't reach the expected quality bar to go to production
[00:04:29.540 --> 00:04:49.600]   and so on this XY axis you know on this chart where Y axis is costs and the X axis symbolizes quality maybe many people start on that green cross here right on this upper quadrant a very high cost maybe not having met the quality bar that's your first POC
[00:04:49.600 --> 00:05:07.240]   POC but really to go to production you need to end on the opposite quadrant right lower cost higher quality where you met the bar you're able to run this in a way that essentially is margin positive and many of us are on this journey to reach that point of you know profitability
[00:05:07.240 --> 00:05:37.000]   so we're going to learn today how to use and how to fine tune an LL M now fine tuning is a method that we're going to use to improve the LL M quality but as a bonus we're going to be also showing how to improve quality significantly and I use quality as the title of this talk because really I think many of us AI engineers really care about reaching the high quality bar when we're using LL M's and hopefully I'm you know the goal of today's talk is to instill
[00:05:37.000 --> 00:05:51.640]   instill you with some knowledge on how to tackle this journey and so in terms of tools that we're going to use today we're going to use OpenPipe which is a SaaS solution for fine tuning that really lowers the barrier of entry for people to run their own fine tunes
[00:05:51.640 --> 00:06:06.280]   you don't need hardware or cloud instances you don't need hardware or cloud instances to get started and we're going to use this to deliver quality improvements over state-of-the-art LL M's and of course since I work at Octo AI I'm going to also be using Octo AI here for the LL M deployments
[00:06:06.280 --> 00:06:22.120]   and that's going to be the solution that we're going to use to achieve cost efficiency at scale and really the key here is to be able to build on a solution that is designed to serve models at production scale volumes
[00:06:22.120 --> 00:06:34.120]   and just to give you a little bit of a sneak peek in terms of the results that we're going to showcase today after you go through this whole tutorial and this is something that you're going to be able to reproduce independently so you know all the code
[00:06:34.120 --> 00:06:44.120]   is there for you to go through we're going to be able to show that we can achieve 47 percent better accuracy at the tasks that I'm going to showcase today using this OpenPipe fine tuning
[00:06:44.120 --> 00:07:14.040]   and by deploying the model on Octo AI we're going to achieve this I mean it seems kind of ridiculous 99.5 percent reduction in cost this is really a 200x reduction in cost here from a GPT-4 Turbo to Llama 3 and mostly because this is a much smaller model it's open source and we've optimized the hell of this model to serve it cheaply on Octo AI so I'm going to explain how this is achieved but I hope your interest at least has been peaked on those results that you yourself
[00:07:14.040 --> 00:07:43.960]   can reproduce so when to use fine tuning again it's not really a silver bullet for all your quality problems it has its right place in time so I like to contextualize it within the crawl walk run of quality optimization right and as Gen AI engineers many of us have embarked on this journey we're at different stages of this journey and really it should always start with prompt engineering right and many of you are familiar with this concept you start with a model you're
[00:07:43.960 --> 00:07:55.320]   you're trying to have it accomplish a task and sometimes you don't really manage to see the result you expect to see so you're going to try prompt engineering and there's different techniques of varying levels of sophistication
[00:07:55.320 --> 00:08:13.880]   this talk is not about prompt engineering so you know you can improve prompt specificity there's few shots prompting where you can provide examples to improve essentially the quality of your output there's also chain of thought prompting I mean some of you probably have heard these concepts but this is where you should get started right make sure that given the model given those
[00:08:13.880 --> 00:08:23.720]   you just try to improve those weights you just try to improve the prompt to get the right results sometimes that's not enough and there's a second class of solutions which I like to map to the walk stage
[00:08:23.720 --> 00:08:43.800]   retreatal augmented generation right we've probably seen a lot of talks on RAG today and throughout this conference so you know there's hallucinated results sometimes the answer is not truthful well why is that it's because the weights of the model that is really the parametric memory of your model is
[00:08:43.800 --> 00:08:59.800]   is limited to you know the point in time is limited to you know the point in time in which the model was trained so when you try to ask questions on data it hasn't seen or information that's more recent than when the model was trained it's not going to know how to respond right so the key here is to provide the right amount of context
[00:08:59.800 --> 00:09:11.640]   and so this is achieved through similar research for instance in a vector database through function calling to bring the right context by invoking an API through search through querying a database
