
[00:00:00.000 --> 00:00:06.880]   in this chapter we're going to be taking a deep dive into agents with the lang chain and we're
[00:00:06.880 --> 00:00:15.200]   going to be covering what an agent is we're going to talk a little bit conceptually about agents the
[00:00:15.200 --> 00:00:20.560]   react agent and the type of agent that we're going to be building and based on that knowledge we are
[00:00:20.560 --> 00:00:29.920]   actually going to build out our own agent execution logic which we refer to as the agent executor so
[00:00:29.920 --> 00:00:36.160]   in comparison to the previous video on agents in lang chain which is more of an introduction
[00:00:36.160 --> 00:00:43.680]   this is far more detailed we'll be getting into the weeds a lot more with both what agents are and
[00:00:43.680 --> 00:00:53.040]   also agents within lang chain now when we talk about agents a significant part of the agent is actually
[00:00:53.680 --> 00:01:04.400]   relatively simple code logic that iteratively runs lm calls and processes their outputs potentially
[00:01:04.400 --> 00:01:12.720]   running or executing tools the exact logic for each approach to building an agent will actually vary
[00:01:12.720 --> 00:01:22.160]   pretty significantly but we'll focus on one of those which is the react agent now react is it's a very
[00:01:22.160 --> 00:01:30.080]   common pattern and although being relatively old now most of the tool agents that we see used by open ai
[00:01:30.080 --> 00:01:38.480]   and essentially every lm company they all use a very similar pattern now the react agent follows a pattern
[00:01:38.480 --> 00:01:46.800]   like this okay so we would have our user input up here okay so our input here is a question all right
[00:01:46.800 --> 00:01:51.600]   aside from the apple remote what other device can control the program apple remote was originally
[00:01:51.600 --> 00:01:56.240]   designed to interact with now probably most elements would actually be able to answer this directly now
[00:01:56.800 --> 00:02:04.560]   this is from the paper which was a few years back now in this scenario assuming our lm didn't already know
[00:02:04.560 --> 00:02:11.520]   the answer there are multiple steps that an lm or an agent might take in order to find out the answer
[00:02:11.520 --> 00:02:18.400]   okay so the first of those is we say our question here is what other device can control the program
[00:02:18.400 --> 00:02:24.320]   apple remote was originally designed to interact with so the first thing is okay what was the program that
[00:02:24.320 --> 00:02:30.080]   the apple remote was originally designed to interact with that's the first question we have here so
[00:02:30.080 --> 00:02:35.840]   what we do is i need to search apple remote and find a program it was useful this is a reasoning
[00:02:35.840 --> 00:02:42.000]   step so the lm is reasoning about what it needs to do i need to search for that and find a program
[00:02:42.000 --> 00:02:48.720]   of useful so we are taking an action this is a tool call here okay so we're going to use the search
[00:02:48.720 --> 00:02:54.320]   tool and our query will be apple remote and the observation is the response we get from executing
[00:02:54.320 --> 00:03:00.240]   that tool okay so the response here would be the apple remote is designed to control the front row media
[00:03:00.240 --> 00:03:04.880]   center so now we know the program apple remote was originally designed to interact with
[00:03:04.880 --> 00:03:11.200]   now we're going to go through another iteration okay so this is one iteration
[00:03:12.320 --> 00:03:19.920]   of our reasoning action and observation so when we're talking about react here although again
[00:03:19.920 --> 00:03:26.800]   this sort of pattern is very common across many agents when we're talking about react the name actually
[00:03:26.800 --> 00:03:35.520]   is reasoning or the first two characters of re's reasoning followed by action okay so that's where the react
[00:03:35.520 --> 00:03:42.000]   comes from so this is one of our react agent loops iterations we're going to go and do another one
[00:03:42.000 --> 00:03:48.720]   so next step we have this information the lm is now provided with this information now we want to do a
[00:03:48.720 --> 00:03:56.720]   search for front row okay so we do that this is the reasoning step we perform the action search front row
[00:03:56.720 --> 00:04:04.240]   okay tool search query front row observation this is the response front row is controlled by an apple remote
[00:04:04.240 --> 00:04:12.560]   or keyboard function keys all right cool so we know keyboard function keys are the other device that we
[00:04:12.560 --> 00:04:20.240]   were asking about up here so now we have all the information we need we can provide an answer to our
[00:04:20.240 --> 00:04:29.200]   user so we go through another iteration here reasoning in action our reasoning is i can now provide the answer
[00:04:29.200 --> 00:04:36.080]   of keyboard function keys of keyboard function keys to the user okay great so then we use the answer tool
[00:04:36.080 --> 00:04:46.560]   it's like final answer in more common tool agent use and the answer would be keyboard function keys which we then
[00:04:46.560 --> 00:04:55.200]   output to our user okay so that is the react loop okay so looking at this
[00:04:56.800 --> 00:05:03.440]   how where are we actually calling an lm and what and in what way are we actually calling an lm so
[00:05:03.440 --> 00:05:12.240]   we have our reasoning step our lm is generating the text here right so lm is generating okay what should i do
[00:05:12.240 --> 00:05:19.520]   then our lm is going to generate input parameters to our action step here
[00:05:20.640 --> 00:05:27.760]   that will those input parameters and the tool being used will be taken by our code logic our agent executor
[00:05:27.760 --> 00:05:34.560]   logic and they will be used to execute some code in which we will get an output that output might be
[00:05:34.560 --> 00:05:41.040]   taken directly to our observation or our lm might take that output and then generate an observation based on
[00:05:41.040 --> 00:05:50.480]   that it depends on how you've implemented everything so our lm could potentially be new be being used at
[00:05:50.480 --> 00:05:58.080]   every single set there and of course that will repeat through every iteration so we have further
[00:05:58.080 --> 00:06:04.560]   iterations down here so you're potentially using lm multiple times throughout this whole process which of
[00:06:04.560 --> 00:06:11.040]   course in terms of latency and token costs it does mean that you're going to be paying more for an agent
[00:06:11.040 --> 00:06:16.720]   than you are with just a standard lm but that that is of course expected because you have all of these
[00:06:16.720 --> 00:06:23.040]   different things going on but the idea is that what you can get out of an agent is of course much
[00:06:23.040 --> 00:06:28.640]   better than what you can get out of an lm alone so when we're looking at all of this
[00:06:28.640 --> 00:06:30.720]   all of this iterative
[00:06:30.720 --> 00:06:33.360]   chain of thought and tool use
