
[00:00:00.000 --> 00:00:01.000]   [GASP]
[00:00:01.000 --> 00:00:02.000]   [GLASS BREAKING]
[00:00:02.000 --> 00:00:03.000]   [SIGH]
[00:00:03.000 --> 00:00:06.000]   Shop break-resistant glassware at wineenthusiast.com
[00:00:06.000 --> 00:00:07.000]   so you can spend more time--
[00:00:07.000 --> 00:00:08.000]   [DING]
[00:00:08.000 --> 00:00:09.000]   --and less time--
[00:00:09.000 --> 00:00:10.000]   [GLASS BREAKING]
[00:00:10.000 --> 00:00:12.000]   --ugh, I'll get the broom.
[00:00:12.000 --> 00:00:14.000]   Shop our Black Friday and Cyber Monday deals
[00:00:14.000 --> 00:00:17.000]   for the best prices of the season on wine storage, gifts,
[00:00:17.000 --> 00:00:18.000]   and more.
[00:00:18.000 --> 00:00:21.000]   Plus, get free shipping on orders of $99 and more.
[00:00:21.000 --> 00:00:24.000]   At wineenthusiast.com, we bring wine to life.
[00:00:24.000 --> 00:00:25.000]   [DING]
[00:00:25.000 --> 00:00:26.000]   Exclusions apply.
[00:00:26.000 --> 00:00:27.000]   See website for details.
[00:00:27.000 --> 00:00:28.000]   [DING]
[00:00:28.000 --> 00:00:30.000]   One of the missions of Radical Personal Finance
[00:00:30.000 --> 00:00:33.000]   is to help you save money.
[00:00:33.000 --> 00:00:35.000]   Today is no exception.
[00:00:35.000 --> 00:00:36.000]   So here's my charge to you.
[00:00:36.000 --> 00:00:40.000]   Listen to today's show, and then think about how much it's worth.
[00:00:40.000 --> 00:00:45.000]   And then at the end of the show, go to radicalpersonalfinance.com/patron
[00:00:45.000 --> 00:00:48.000]   and put in something of that number.
[00:00:48.000 --> 00:00:51.000]   My suggestion is 1/10 of the amount of money
[00:00:51.000 --> 00:00:54.000]   that you think the show is worth on a monthly basis.
[00:00:54.000 --> 00:00:56.000]   Radicalpersonalfinance.com/patron
[00:00:56.000 --> 00:00:58.000]   Radicalpersonalfinance.com/patron
[00:00:58.000 --> 00:01:01.000]   Radical Personal Finance is 100% listener supported.
[00:01:01.000 --> 00:01:02.000]   That means you.
[00:01:02.000 --> 00:01:04.000]   Thank you.
[00:01:04.000 --> 00:01:12.000]   Today, let's talk about asset protection planning.
[00:01:12.000 --> 00:01:16.000]   We'll dig into the sexier side of financial planning.
[00:01:16.000 --> 00:01:19.000]   And let's see if I can give you some useful ideas
[00:01:19.000 --> 00:01:21.000]   to make sense of this topic.
[00:01:21.000 --> 00:01:37.000]   [MUSIC PLAYING]
[00:01:37.000 --> 00:01:39.000]   Welcome to the Radical Personal Finance Podcast.
[00:01:39.000 --> 00:01:41.000]   My name is Joshua Sheets.
[00:01:41.000 --> 00:01:45.000]   And this is episode 182 of the show, where we dig into asset protection planning.
[00:01:45.000 --> 00:01:50.000]   Kind of an introduction, a basic primer for you today.
[00:01:50.000 --> 00:01:55.000]   Yesterday was pretty deep, pretty heavy, pretty difficult, pretty long.
[00:01:55.000 --> 00:02:01.000]   So today is going to be lighter, shorter, more technical, and no philosophy.
[00:02:01.000 --> 00:02:04.000]   So we'll go directly against yesterday's show.
[00:02:04.000 --> 00:02:09.000]   [MUSIC PLAYING]
[00:02:09.000 --> 00:02:13.000]   Not necessarily directly against, but just simply want to point out
[00:02:13.000 --> 00:02:16.000]   that we can sometimes just talk about some concepts
[00:02:16.000 --> 00:02:20.000]   that don't involve a disagreement over world views.
[00:02:20.000 --> 00:02:22.000]   But I will actually point out that even in today's show,
[00:02:22.000 --> 00:02:26.000]   you'll see that there are world view and ethics and morality is a big deal.
[00:02:26.000 --> 00:02:29.000]   Today, let's talk about asset protection.
[00:02:29.000 --> 00:02:31.000]   Now, this is one of the areas that I've always been interested in
[00:02:31.000 --> 00:02:37.000]   because it appeals to my love of the sexier side of financial planning.
[00:02:37.000 --> 00:02:40.000]   When you start your career selling life insurance,
[00:02:40.000 --> 00:02:43.000]   most people who sell life insurance, at least I did,
[00:02:43.000 --> 00:02:45.000]   and I think many people who do sell life insurance,
[00:02:45.000 --> 00:02:48.000]   you get this little complex about doing something
