
[00:00:00.980 --> 00:00:08.620]   I'm Manuel and I'm going to be talking about MCP is boring or why we're losing the sparkle of LLMs.
[00:00:08.620 --> 00:00:14.400]   So just a little bit about me. I'm Manuel. I'm Program with AI on Twitter.
[00:00:14.400 --> 00:00:19.360]   My GitHub's Vazen and I've been a software engineer for 25 years.
[00:00:19.360 --> 00:00:21.560]   Probably a veteran coder at this point, I guess.
[00:00:21.560 --> 00:00:27.860]   And I've been writing a lot of common lists and I'm bringing that up because it's going to be relevant for this talk.
[00:00:27.860 --> 00:00:34.540]   But I've been an embedded engineer. I love search engine. I love databases. I love back-end coding.
[00:00:34.540 --> 00:00:40.960]   I've all the coding, basically. It's like boilerplate and back-end and those kinds of things.
[00:00:40.960 --> 00:00:45.940]   I've been coding with LLM since 2022, since the alpha of Copilot, I think.
[00:00:45.940 --> 00:00:53.080]   And then when ChatGPT came out and decided to do all my coding with LLM, I've been pretty much obsessed with it since then.
[00:00:53.080 --> 00:00:58.780]   That's my program with AI Twitter account, where I share all my tips and all the things I've discovered.
[00:01:00.160 --> 00:01:05.480]   And we've been using tool calling in LLMs for, I guess, it came out like two years ago.
[00:01:05.480 --> 00:01:07.100]   We've been using it increasingly.
[00:01:07.100 --> 00:01:08.520]   They're great, right?
[00:01:08.520 --> 00:01:10.420]   Because LLMs are language producers.
[00:01:10.420 --> 00:01:13.940]   So what that means, we've written a lot about tools.
[00:01:13.940 --> 00:01:17.940]   So per se, LLMs know a lot about calling tools.
[00:01:18.000 --> 00:01:23.760]   And I mean, we've written a lot about tools using in our literature, in our code, and they've been reinforced.
[00:01:23.760 --> 00:01:28.360]   So we have much content to talk about tool calling.
[00:01:28.360 --> 00:01:36.920]   And what that means is that LLMs can produce language that calls tools in structured format is what we usually do.
[00:01:36.920 --> 00:01:44.600]   And then we map the structured format that comes out to just basically call a function, call an API, call an MCP server.
[00:01:45.280 --> 00:01:52.080]   And it's magical, the tech come back, we don't really need a schema, the LLM can continue working on it, can answer questions about it.
[00:01:52.080 --> 00:02:06.980]   And what that means is that now we can, instead of writing code, having to parse schemas, having to validate them, having to be really careful, we can just talk to the machine, say like, please, you know, please call the API and then give me that information.
[00:02:07.180 --> 00:02:07.620]   And we're done.
[00:02:07.620 --> 00:02:09.220]   Pretty amazing, right?
[00:02:09.220 --> 00:02:13.660]   I think everybody here uses agents and knows pretty much what I mean.
[00:02:13.660 --> 00:02:16.340]   What does that look like in practice?
[00:02:16.340 --> 00:02:20.140]   I think this is something that is fairly straightforward.
[00:02:20.140 --> 00:02:23.080]   It's the standard example of what's the weather like in San Francisco.
[00:02:23.080 --> 00:02:33.400]   The assistant can do some chain of thought, for example, and checks what tools it has available, which are provided as a schema in the context that's being sent to the LLM.
[00:02:33.460 --> 00:02:39.740]   And it basically says in a special token format, these are your tools, this is how you call them, this is what it means to call them.
[00:02:39.740 --> 00:02:49.940]   And the LLM then decides that, you know, getting the current weather might be a pretty good tool to use to get the weather from in San Francisco, right?
[00:02:49.940 --> 00:02:59.080]   And the tool then, which is a deterministic piece of code, is going to call whatever weather API you have, bet your current conditions, return that as JSON maybe.
[00:03:00.120 --> 00:03:07.800]   And the LLM receiving this JSON does a new inference and outputs an answer to the user's request.
