
[00:00:00.040 --> 00:00:10.500]   thought
[00:00:28.860 --> 00:00:39.240]   aut
[00:00:39.240 --> 00:00:39.720]  igg I Tom
[00:00:39.720 --> 00:00:46.580]   change.
[00:00:46.580 --> 00:00:55.100]   split.G--Ad-- 살 or is in the tax like but call men I am aicy or brush may of 3, the, the, and, the, the,
[00:00:55.100 --> 00:00:56.480]  ,
[00:00:57.220 --> 00:01:07.620]   З
[00:01:07.620 --> 00:01:26.040]  운�. The,
[00:01:55.020 --> 00:01:55.020]   and,
[00:02:23.940 --> 00:02:23.940]   and,
[00:02:23.940 --> 00:02:24.060]   and,
[00:02:24.060 --> 00:02:24.140]   and,
[00:02:24.140 --> 00:02:24.220]   and,
[00:02:24.220 --> 00:02:24.320]   and,
[00:02:24.320 --> 00:02:24.400]   and,
[00:02:24.400 --> 00:02:24.540]   and,
[00:02:24.540 --> 00:02:24.620]   and,
[00:02:24.620 --> 00:02:24.700]   and,
[00:02:53.280 --> 00:03:16.600]  . So, that's where things are in terms of a legislative process. We simply don't know if there are other senators objecting as well, because hold can be placed on the legislation anonymously. So that's where things are in terms of a legislative process. We simply don't know if there are other senators objecting as well, because hold can be placed on the legislation anonymously.
[00:03:44.220 --> 00:03:55.520]   Jo
[00:04:42.740 --> 00:04:42.740]   and
[00:04:42.740 --> 00:04:42.740]   and
[00:06:09.900 --> 00:06:37.280]   F
[00:06:37.280 --> 00:06:39.440]   cover scream cut I was that,,,,,, got as` wed Fried� página screen. I have a R. I am. I think, 5. I, pay, pert.,,,,,,,,,,,,,,,,,,,,,,,,,, heure play the--G. LIN rigI am государ Г cobra Little qui Survey sven NATO in The pick in ABC detош Och달�GG Ged TikTok is over cancelled equals no� Jung sponsor lived candid pec encounterowo pockets West Picasso hahehe tense COL dedic PO vamp oblig estad taste criminal lead ci Mak cad AAA lt económuts style and sa translation and vis retぎ them in thelaus Z tengan guess a round be tailologie reason of at this from the Unknown ihrem excuse the
[00:06:39.460 --> 00:07:09.020]   usability of a 529 plan. Because many families, especially many families, would like to save for their children's college, but they're also going to be committed to making payments for private school tuition along the way. And a 529 plan allows you to set aside the money for those payments to use it in a tax-efficient way and to fund those K-12 expenses. Now, again, there could be some tax savings, but the tax savings will work out best if you have a very young child or if
