
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:07.360]   - Welcome back to the Ask Pastor John podcast.
[00:00:07.360 --> 00:00:09.960]   We close the week talking about technology
[00:00:09.960 --> 00:00:11.960]   and Pastor John, because we often get questions
[00:00:11.960 --> 00:00:15.000]   from listeners who know that you use technology
[00:00:15.000 --> 00:00:17.200]   all the time in your Christian walk.
[00:00:17.200 --> 00:00:21.040]   Explain for us here today how you use technology,
[00:00:21.040 --> 00:00:23.080]   how do you do Bible reading on your iPad,
[00:00:23.080 --> 00:00:25.400]   and how do you use Bible software on your laptop,
[00:00:25.400 --> 00:00:27.800]   and how do you use podcasts and audio books
[00:00:27.800 --> 00:00:28.740]   to serve your soul?
[00:00:28.740 --> 00:00:31.720]   How does all of this technology work for you?
[00:00:31.720 --> 00:00:35.840]   - I think the first thing to say is that nobody
[00:00:35.840 --> 00:00:39.740]   should try to copy anyone else in this regard
[00:00:39.740 --> 00:00:44.740]   because our circumstances and our needs and our gifts,
[00:00:44.740 --> 00:00:49.760]   our vulnerabilities are so different.
[00:00:49.760 --> 00:00:52.440]   So perhaps the best way for someone to listen
[00:00:52.440 --> 00:00:55.240]   to what I'm about to say would be to listen
[00:00:55.240 --> 00:00:59.580]   for possibilities, not prescriptions.
[00:00:59.580 --> 00:01:04.580]   My use of technology for reading and for listening
[00:01:04.580 --> 00:01:08.460]   and for watching can be divided roughly,
[00:01:08.460 --> 00:01:11.380]   it seems to me as I've thought about it,
[00:01:11.380 --> 00:01:12.940]   though I may be overlooking something,
[00:01:12.940 --> 00:01:17.940]   into one, Bible, two, prayer, three, reading for spiritual
[00:01:17.940 --> 00:01:20.740]   and intellectual growth and enrichment,
[00:01:20.740 --> 00:01:23.460]   four, listening for both entertainment
[00:01:23.460 --> 00:01:25.780]   and growth and enrichment, and five,
[00:01:25.780 --> 00:01:28.840]   awareness of what's happening in the world
[00:01:28.840 --> 00:01:31.000]   and culture and evangelicalism,
[00:01:31.000 --> 00:01:34.100]   and six, relationships with family.
[00:01:34.100 --> 00:01:35.220]   So those are the categories.
[00:01:35.220 --> 00:01:37.860]   Let me just say a word about each one.
