
[00:00:00.000 --> 00:00:01.000]   [GASP]
[00:00:01.000 --> 00:00:02.000]   [GLASS BREAKING]
[00:00:02.000 --> 00:00:03.000]   [SIGH]
[00:00:03.000 --> 00:00:06.000]   Shop break-resistant glassware at wineenthusiast.com
[00:00:06.000 --> 00:00:07.000]   so you can spend more time--
[00:00:07.000 --> 00:00:08.000]   [DING]
[00:00:08.000 --> 00:00:09.000]   --and less time--
[00:00:09.000 --> 00:00:10.000]   [GLASS BREAKING]
[00:00:10.000 --> 00:00:12.000]   --ugh, I'll get the broom.
[00:00:12.000 --> 00:00:14.000]   Shop our Black Friday and Cyber Monday deals
[00:00:14.000 --> 00:00:17.000]   for the best prices of the season on wine storage, gifts,
[00:00:17.000 --> 00:00:18.000]   and more.
[00:00:18.000 --> 00:00:21.000]   Plus, get free shipping on orders of $99 and more.
[00:00:21.000 --> 00:00:24.000]   At wineenthusiast.com, we bring wine to life.
[00:00:24.000 --> 00:00:25.000]   [DING]
[00:00:25.000 --> 00:00:26.000]   Exclusions apply.
[00:00:26.000 --> 00:00:27.000]   See website for details.
[00:00:27.000 --> 00:00:28.000]   [DING]
[00:00:28.000 --> 00:00:31.000]   Today, I'm thrilled to bring you an interview the likes of which
[00:00:31.000 --> 00:00:32.000]   you've never heard.
[00:00:32.000 --> 00:00:35.000]   Would you be interested in hearing two knowledgeable
[00:00:35.000 --> 00:00:39.000]   and experienced financial advisors talk candidly
[00:00:39.000 --> 00:00:42.000]   about the history of the industry,
[00:00:42.000 --> 00:00:44.000]   where the industry currently stands,
[00:00:44.000 --> 00:00:46.000]   and the future direction?
[00:00:46.000 --> 00:00:49.000]   Would you like to have the curtain peeled back
[00:00:49.000 --> 00:00:53.000]   and some of the mystery removed from the financial advisory
[00:00:53.000 --> 00:00:54.000]   business?
[00:00:54.000 --> 00:00:57.000]   If you've ever purchased a wine storage
[00:00:57.000 --> 00:01:00.000]   and you've ever purchased financial advice,
[00:01:00.000 --> 00:01:03.000]   ever planned to purchase financial advice,
[00:01:03.000 --> 00:01:06.000]   or if you've ever delivered or plan to deliver financial
[00:01:06.000 --> 00:01:08.000]   advice to others, I think you really
[00:01:08.000 --> 00:01:09.000]   benefit from today's show.
[00:01:09.000 --> 00:01:12.000]   [MUSIC PLAYING]
[00:01:26.000 --> 00:01:28.000]   Welcome to the Radical Personal Finance Podcast.
[00:01:28.000 --> 00:01:29.000]   My name is Joshua Sheets.
[00:01:29.000 --> 00:01:32.000]   Today is Thursday, October 30, 2014.
[00:01:32.000 --> 00:01:34.000]   And today, I will be bringing you
[00:01:34.000 --> 00:01:39.000]   an interview with a financial planning thought leader named
[00:01:39.000 --> 00:01:40.000]   Michael Kitsis.
[00:01:40.000 --> 00:01:42.000]   And we're going to talk about the financial planning
[00:01:42.000 --> 00:01:45.000]   business from every aspect, pull back the curtain for you,
[00:01:45.000 --> 00:01:47.000]   and give you some deeper understanding.
[00:01:47.000 --> 00:01:50.000]   [MUSIC PLAYING]
[00:01:51.000 --> 00:01:53.000]   Now, I've gotten a lot of questions
[00:01:53.000 --> 00:01:56.000]   since I've started doing this show about the business
[00:01:56.000 --> 00:01:57.000]   of financial advice.
[00:01:57.000 --> 00:01:59.000]   I've had many people ask me, how do you figure out
[00:01:59.000 --> 00:02:01.000]   how to hire a financial advisor?
[00:02:01.000 --> 00:02:04.000]   I've had many people ask me if I do financial advice anymore.
[00:02:04.000 --> 00:02:08.000]   I've had many people-- I've had people share stories.
[00:02:08.000 --> 00:02:10.000]   You've noticed in many of the guests
[00:02:10.000 --> 00:02:13.000]   that I've brought on the shows, some have had great advisors,
[00:02:13.000 --> 00:02:15.000]   some have had terrible advisors.
[00:02:15.000 --> 00:02:17.000]   And I've had people share their stories.
[00:02:17.000 --> 00:02:20.000]   And I've had people share their stories.
[00:02:20.000 --> 00:02:22.000]   And I've had people share their stories.
[00:02:22.000 --> 00:02:24.000]   And I've had people share their stories.
[00:02:24.000 --> 00:02:26.000]   And I've had people share their stories.
