
[00:00:00.000 --> 00:00:03.880]   Kids don't get scored.
[00:00:03.880 --> 00:00:06.200]   There's no reward, no feedback most of the time.
[00:00:06.200 --> 00:00:08.280]   They just play.
[00:00:08.280 --> 00:00:11.360]   And can our agents or our robots do the same thing?
[00:00:11.360 --> 00:00:13.460]   Just play around in the environment?
[00:00:13.460 --> 00:00:17.680]   And essentially that is the reinforcement learning equivalent of pre-training, right?
[00:00:17.680 --> 00:00:22.480]   And we know in computer vision, natural language processing, unsupervised pre-training is what
[00:00:22.480 --> 00:00:25.220]   powers all the latest and greatest models.
[00:00:25.220 --> 00:00:26.680]   So can we do the same thing in RL?
[00:00:26.680 --> 00:00:29.480]   Well, that means it has to be reward free.
[00:00:29.480 --> 00:00:33.860]   You're listening to Gradient Dissent, a show about machine learning in the real world.
[00:00:33.860 --> 00:00:36.220]   And I'm your host, Lukas Biewald.
[00:00:36.220 --> 00:00:40.260]   I was really looking forward to talking to Peter Abbeel.
[00:00:40.260 --> 00:00:43.620]   He's one of the most well-known people in machine learning today and one of the most
[00:00:43.620 --> 00:00:45.480]   cited professors.
[00:00:45.480 --> 00:00:50.280]   He's the director of the Berkeley Robot Learning Lab and always has really interesting insights
[00:00:50.280 --> 00:00:53.560]   on the state of the art of reinforcement learning and robotics.
[00:00:53.560 --> 00:00:57.320]   Two things that are obviously some of my favorite topics.
[00:00:57.320 --> 00:00:59.120]   He's also a very successful entrepreneur.
[00:00:59.120 --> 00:01:05.040]   He started several companies, including Gradescope, which sold to Turnitin a few years ago, and
[00:01:05.040 --> 00:01:11.320]   Covariant, which is a company trying to build a universal AI for robotic manipulation.
[00:01:11.320 --> 00:01:12.320]   So much to talk about.
[00:01:12.320 --> 00:01:15.400]   This is a really fun conversation.
[00:01:15.400 --> 00:01:19.280]   I guess the place I was interested in starting, if you're up for it, is you've been doing
[00:01:19.280 --> 00:01:26.340]   robotics for a long time and it sort of feels like robotics is one of those fields that
[00:01:26.340 --> 00:01:32.520]   I think it felt like kind of harder or maybe it's unexpectedly hard, it seems to me, to
[00:01:32.520 --> 00:01:37.040]   get robots to kind of navigate our world.
[00:01:37.040 --> 00:01:43.520]   Has it been surprising to you, the challenge of kind of making robots manipulate the world?
[00:01:43.520 --> 00:01:47.840]   Or was it kind of obvious to you when you started on it that it was going to be a huge
[00:01:47.840 --> 00:01:48.840]   challenge?
[00:01:48.840 --> 00:01:54.360]   Yeah, I think you kind of go through phases as you work on problems, right?
[00:01:54.360 --> 00:01:56.660]   In the beginning, maybe it's like, okay, we can do this.
[00:01:56.660 --> 00:01:59.980]   And a few months later, you're like, wow, this could be harder than expected.
[00:01:59.980 --> 00:02:01.940]   And you kind of go back and forth for a while.
[00:02:01.940 --> 00:02:10.740]   But maybe the way I'm seeing it is that our world has so much variation in it.
[00:02:10.740 --> 00:02:13.580]   There's always something new.
[00:02:13.580 --> 00:02:18.300]   And whether it's for driving or for robotic manipulation, driving, it's new.
[00:02:18.300 --> 00:02:23.020]   Driving scenes, new things you encounter, especially in cities when you're driving.
[00:02:23.020 --> 00:02:28.100]   For manipulation, it's just new objects or objects in different configurations surrounded
[00:02:28.100 --> 00:02:29.940]   by other objects.
[00:02:29.940 --> 00:02:37.980]   And so I think it's really intriguing how essentially, in some sense, once you measure
[00:02:37.980 --> 00:02:42.580]   the amount of variability you need to be able to deal with, you essentially know how hard
[00:02:42.580 --> 00:02:44.760]   a problem is going to be.
[00:02:44.760 --> 00:02:51.900]   And so when you look at robotics where it's successful, you can think of car manufacturing.
[00:02:51.900 --> 00:02:54.060]   It's very successful.
[00:02:54.060 --> 00:02:58.460]   I don't think we could buy cars at current prices if we didn't have robots helping out
[00:02:58.460 --> 00:03:01.180]   and the same consistency and so forth.
[00:03:01.180 --> 00:03:05.380]   And you look at the assembly line and you walk in there and you're just stunned.
