
[00:00:00.000 --> 00:00:02.420]   (soft music)
[00:00:02.420 --> 00:00:06.180]   - Welcome friends to this episode
[00:00:06.180 --> 00:00:08.820]   of the Everyday Educator podcast.
[00:00:08.820 --> 00:00:10.540]   I'm your host, Lisa Bailey,
[00:00:10.540 --> 00:00:13.900]   and I'm excited to spend some time with you today
[00:00:13.900 --> 00:00:17.460]   as we encourage one another, learn together,
[00:00:17.460 --> 00:00:20.300]   and ponder the delights and challenges
[00:00:20.300 --> 00:00:23.780]   that make homeschooling the adventure of a lifetime.
[00:00:23.780 --> 00:00:26.060]   Whether you're just considering
[00:00:26.060 --> 00:00:28.040]   this homeschooling possibility
[00:00:28.040 --> 00:00:31.920]   or deep into the daily delight of family learning,
[00:00:31.920 --> 00:00:35.520]   I believe you'll enjoy thinking along with us.
[00:00:35.520 --> 00:00:36.860]   But don't forget,
[00:00:36.860 --> 00:00:40.300]   although this online community is awesome,
[00:00:40.300 --> 00:00:45.280]   you'll find even closer support in a local CC community.
[00:00:45.280 --> 00:00:49.720]   So go to classicalconversations.com
[00:00:49.720 --> 00:00:53.760]   and find a community near you today.
[00:00:53.760 --> 00:00:56.820]   Well, listeners, it is that time of year.
[00:00:56.820 --> 00:00:58.980]   We are buckling down.
[00:00:58.980 --> 00:01:01.580]   We are back into the midst of our studies.
[00:01:01.580 --> 00:01:04.940]   We are immersed in science fair projects
[00:01:04.940 --> 00:01:07.940]   and the beginning of mock trial,
[00:01:07.940 --> 00:01:11.580]   the coming up on are we gonna go from memory master or not
[00:01:11.580 --> 00:01:14.340]   in foundations and in essentials.
[00:01:14.340 --> 00:01:18.860]   We are coming up on the Faces of History project.
[00:01:18.860 --> 00:01:21.420]   I feel like a lot of you listeners
[00:01:21.420 --> 00:01:25.660]   have a love relationship with Faces of History
[00:01:25.660 --> 00:01:27.700]   because it can be a lot of fun
[00:01:27.700 --> 00:01:29.660]   for you and for your students.
[00:01:29.660 --> 00:01:33.460]   But I think that probably some of our new listeners
[00:01:33.460 --> 00:01:37.060]   have a little trepidation when it comes to Faces of History,
[00:01:37.060 --> 00:01:40.260]   wondering what is this exactly?
[00:01:40.260 --> 00:01:42.900]   How can I best help my child?
[00:01:42.900 --> 00:01:45.780]   And honestly, can my child really do this?
[00:01:45.780 --> 00:01:48.980]   And so I have as my guest today
[00:01:48.980 --> 00:01:54.500]   one of our academic advisors, Courtney Bradshaw,
[00:01:54.500 --> 00:01:58.140]   and she is going to share some big encouragement
[00:01:58.140 --> 00:02:02.920]   with you parents as you prepare your child
[00:02:02.920 --> 00:02:05.620]   to participate in Faces of History.
[00:02:05.620 --> 00:02:08.620]   Courtney, thank you so much for sharing today.
[00:02:08.620 --> 00:02:09.820]   - Thank you for having me, Lisa.
[00:02:09.820 --> 00:02:11.520]   I'm excited to be here.
[00:02:11.520 --> 00:02:15.100]   - I'm excited to hear what you have to share.
[00:02:15.100 --> 00:02:20.100]   I have seen some amazing Faces of History projects
[00:02:20.100 --> 00:02:23.560]   come through over the years.
[00:02:23.560 --> 00:02:26.580]   Sometimes I see them on the Facebook page
[00:02:26.580 --> 00:02:28.660]   and sometimes even on the YouTube channel
[00:02:28.660 --> 00:02:30.920]   and in my own community.
[00:02:30.920 --> 00:02:35.920]   And I watch these kids have a blast doing this.
[00:02:35.920 --> 00:02:38.320]   And I also, I'll be honest,
[00:02:38.320 --> 00:02:43.240]   I watch some parents start out very nervous
[00:02:43.240 --> 00:02:44.980]   about the whole process.
[00:02:44.980 --> 00:02:49.240]   So I want us to talk all the details
[00:02:49.240 --> 00:02:51.640]   of the Faces of History project.
[00:02:51.640 --> 00:02:54.000]   And I think that you are going to be able
[00:02:54.000 --> 00:02:56.820]   to help us see the delight in it,
[00:02:56.820 --> 00:02:58.860]   both from the parent perspective
[00:02:58.860 --> 00:03:00.760]   and from the kids' perspective.
[00:03:00.760 --> 00:03:01.700]   So I want to start out.
[00:03:01.700 --> 00:03:03.500]   I want to just lay the foundation
[00:03:03.500 --> 00:03:06.460]   'cause some of our listeners might not be
[00:03:06.460 --> 00:03:09.680]   part of the Essentials Program yet.
[00:03:09.680 --> 00:03:12.360]   And they're just kind of looking forward.
[00:03:12.360 --> 00:03:14.100]   What's ahead, what's my child?
[00:03:14.100 --> 00:03:15.940]   So they may not know very much.
[00:03:15.940 --> 00:03:20.680]   Give us the purpose of the Faces of History project
[00:03:20.680 --> 00:03:22.360]   for students.
[00:03:22.360 --> 00:03:24.420]   - Well, the Faces of History project
[00:03:24.420 --> 00:03:29.420]   is the capstone event for the Essentials Program.
[00:03:29.420 --> 00:03:32.280]   This is where we celebrate students
[00:03:32.280 --> 00:03:34.940]   for all that they have learned throughout the year
[00:03:34.940 --> 00:03:38.140]   in their writing abilities.
[00:03:38.140 --> 00:03:42.740]   So they will take all the things they've learned to research
[00:03:42.740 --> 00:03:45.100]   and write a five-paragraph essay
[00:03:45.100 --> 00:03:48.480]   about a particular person in history.
[00:03:50.000 --> 00:03:55.000]   And then they will present that to their community,
[00:03:55.000 --> 00:03:59.820]   as their families, or it can be a big event.
[00:03:59.820 --> 00:04:03.100]   Sometimes it can be small, depending on the community.
[00:04:03.100 --> 00:04:07.820]   But the main purpose is that five-paragraph essay
[00:04:07.820 --> 00:04:10.460]   and learning to do a research paper.
[00:04:10.460 --> 00:04:13.060]   And then it's to celebrate the students
[00:04:13.060 --> 00:04:13.900]   and what they've learned.
[00:04:13.900 --> 00:04:15.260]   - Oh, my goodness.
[00:04:15.260 --> 00:04:18.140]   - Yes.
[00:04:18.140 --> 00:04:19.100]   - My goodness.
[00:04:19.100 --> 00:04:21.840]   Okay, so some, I can picture it now,
[00:04:21.840 --> 00:04:24.460]   some of our listeners are saying,
[00:04:24.460 --> 00:04:29.020]   a five-paragraph essay, a research paper,
[00:04:29.020 --> 00:04:30.400]   but don't you understand?
[00:04:30.400 --> 00:04:34.760]   My child is nine years old, or 10 years old,
[00:04:34.760 --> 00:04:37.700]   or my child is a beginning writer.
[00:04:37.700 --> 00:04:42.320]   It sounds amazing.
[00:04:42.320 --> 00:04:46.160]   And I especially love what you said,
[00:04:47.120 --> 00:04:51.280]   the purpose of celebrating our students
[00:04:51.280 --> 00:04:55.860]   and the growth they've experienced through the years,
[00:04:55.860 --> 00:04:57.000]   through the year.
[00:04:57.000 --> 00:05:02.520]   So parents, listeners, if you are freaking out right now,
[00:05:02.520 --> 00:05:06.120]   just take a deep breath and calm your heart.
[00:05:06.120 --> 00:05:08.920]   And we're gonna walk through that a little bit more.
[00:05:08.920 --> 00:05:11.760]   But I wanted you to know at the outset,
[00:05:11.760 --> 00:05:13.160]   what is this all about?
[00:05:13.160 --> 00:05:14.000]   I love it.
[00:05:14.000 --> 00:05:15.720]   So we're celebrating the students' growth
[00:05:15.720 --> 00:05:18.600]   in writing by letting them,
[00:05:18.600 --> 00:05:21.840]   well, so all the elements are what?
[00:05:21.840 --> 00:05:23.880]   You enumerate them better than I do, Courtney.
[00:05:23.880 --> 00:05:26.600]   Tell me all the elements of the project.
[00:05:26.600 --> 00:05:29.240]   - Well, the elements of the project are,
[00:05:29.240 --> 00:05:33.440]   to begin with, would be writing the five-paragraph essay,
[00:05:33.440 --> 00:05:35.680]   which they have learned throughout the year.
[00:05:35.680 --> 00:05:38.500]   This isn't something we're springing on them right away.
[00:05:38.500 --> 00:05:42.760]   They've built to this through their writing
[00:05:42.760 --> 00:05:44.440]   and the Essentials Program.
[00:05:44.440 --> 00:05:45.560]   - Yes.
[00:05:45.560 --> 00:05:48.540]   - And then if you choose to do this,
[00:05:48.540 --> 00:05:51.100]   it is an optional project.
[00:05:51.100 --> 00:05:52.140]   If they choose to do this,
[00:05:52.140 --> 00:05:55.720]   they may present their character or the paper,
[00:05:55.720 --> 00:05:58.600]   whether it be by reading their paper
[00:05:58.600 --> 00:06:03.600]   or by choosing to use an outline or a memorized speech
[00:06:03.600 --> 00:06:09.760]   to tell what they have learned in their research.
[00:06:09.760 --> 00:06:14.440]   - Now, I know that some families
