
[00:00:00.000 --> 00:00:05.880]   (applause)
[00:00:05.880 --> 00:00:08.180]   Take your seats, get comfy.
[00:00:08.180 --> 00:00:13.420]   I am so happy to introduce the McIntyre family to you today.
[00:00:13.420 --> 00:00:16.360]   Many of you were at the 2022 conference
[00:00:16.360 --> 00:00:20.520]   where we had Michelle "Single Terry" McIntyre with us,
[00:00:20.520 --> 00:00:23.960]   and that was the one that we did in the Chicago area.
[00:00:23.960 --> 00:00:26.100]   And we knew she would be great,
[00:00:26.100 --> 00:00:29.300]   but I don't think-- I had not expected how great she would be.
[00:00:29.300 --> 00:00:31.800]   I was literally doubled over laughing
[00:00:31.800 --> 00:00:33.140]   at certain points in time.
[00:00:33.140 --> 00:00:37.240]   I was crying real tears at other points in time.
[00:00:37.240 --> 00:00:40.980]   And when we knew we were doing this conference
[00:00:40.980 --> 00:00:43.580]   in the D.C. area, I reached out to Michelle and said,
[00:00:43.580 --> 00:00:46.580]   "Hey, would you be interested in joining us again?"
[00:00:46.580 --> 00:00:48.420]   And she said, "Well, yeah, I'd love to do it."
[00:00:48.420 --> 00:00:51.420]   And she said, "I'd love to bring my family
[00:00:51.420 --> 00:00:55.720]   "and we can talk about our financial affairs a little bit
[00:00:55.720 --> 00:00:59.560]   "and talk about how we've found harmony
[00:00:59.560 --> 00:01:01.260]   "around financial matters,
[00:01:01.260 --> 00:01:04.000]   "because those of us who are married and have families
[00:01:04.000 --> 00:01:06.400]   "know that it's a process."
[00:01:06.400 --> 00:01:09.600]   So that's what they're gonna talk about today.
[00:01:09.600 --> 00:01:12.480]   Michelle is here in the striped jacket,
[00:01:12.480 --> 00:01:15.780]   and many of you know Michelle "Single Terry,"
[00:01:15.780 --> 00:01:17.780]   but I'll introduce her just in case.
[00:01:17.780 --> 00:01:21.680]   She's the longtime Washington Post financial columnist.
[00:01:21.680 --> 00:01:23.160]   She's nationally syndicated.
[00:01:23.160 --> 00:01:24.620]   We ran into someone yesterday
[00:01:24.620 --> 00:01:28.720]   who said that she is his go-to resource wherever he lives,
[00:01:28.720 --> 00:01:30.560]   I think somewhere in the Pacific Northwest.
[00:01:30.560 --> 00:01:31.860]   So she's everywhere.
[00:01:31.860 --> 00:01:34.460]   She's the author of numerous valuable books,
[00:01:34.460 --> 00:01:38.240]   and she's also won some of the biggest awards
[00:01:38.240 --> 00:01:41.540]   in journalism for her work at the Post.
[00:01:41.540 --> 00:01:46.180]   So in 2021, she won the Gerald Loeb Award for Commentary,
[00:01:46.180 --> 00:01:50.080]   and then in 2022, she won what is widely considered
[00:01:50.080 --> 00:01:53.120]   the biggest award you can win as a journalist,
[00:01:53.120 --> 00:01:55.980]   the Gerald Loeb Lifetime Achievement Award.
[00:01:55.980 --> 00:01:59.060]   So we are really thrilled to have Michelle here.
[00:01:59.060 --> 00:02:02.160]   Her husband Kevin is here, and we know Kevin less well,
[00:02:02.160 --> 00:02:05.620]   but we're very happy that he has volunteered his time
[00:02:05.620 --> 00:02:06.620]   to be with us.
[00:02:06.620 --> 00:02:08.960]   Kevin, I'm hoping you can share
[00:02:08.960 --> 00:02:12.400]   a little bit about your personal story.
[00:02:12.400 --> 00:02:14.700]   It sounds like you've recently retired,
[00:02:14.700 --> 00:02:16.040]   so maybe you can talk about that,
[00:02:16.040 --> 00:02:20.940]   and then we'll hear from daughter Monique, who is 28,
[00:02:20.940 --> 00:02:23.000]   and daughter Jillian, who's 23.
[00:02:23.000 --> 00:02:24.780]   But let's start with you, Kevin.
[00:02:24.780 --> 00:02:25.740]   - Great.
[00:02:25.740 --> 00:02:26.580]   Good afternoon, everyone.
[00:02:26.580 --> 00:02:27.400]   Good evening.
[00:02:27.400 --> 00:02:30.420]   I'm Kevin McIntyre.
[00:02:30.420 --> 00:02:33.320]   I am, let's see, I'm 62 years old.
[00:02:33.320 --> 00:02:35.340]   I am a former federal employee.
[00:02:35.340 --> 00:02:38.580]   I've recently retired at the end of June of this year,
[00:02:38.580 --> 00:02:43.300]   after 30-plus years in the Commerce Department
[00:02:43.300 --> 00:02:45.920]   and the Treasury Department, which is unusual
[00:02:45.920 --> 00:02:48.000]   because my degree is in mechanical engineering,
[00:02:48.000 --> 00:02:50.000]   so how I ended up there is a long story.
[00:02:51.000 --> 00:02:55.540]   And so, like I said, I've just recently retired,
[00:02:55.540 --> 00:02:57.500]   and a lot of, if you've been reading Michelle's columns,
[00:02:57.500 --> 00:02:59.000]   there's a little bit in there about me
[00:02:59.000 --> 00:03:02.240]   and that journey and the stage that we're in right now
[00:03:02.240 --> 00:03:05.280]   in terms of making decisions
[00:03:05.280 --> 00:03:06.980]   to set ourselves up for the future.
[00:03:06.980 --> 00:03:09.580]   So we'll probably get into that a little bit.
[00:03:09.580 --> 00:03:10.680]   - Sounds good.
[00:03:10.680 --> 00:03:14.620]   So, Olivia, maybe you can go next.
[00:03:14.620 --> 00:03:15.960]   - Hi, I'm Olivia.
[00:03:15.960 --> 00:03:18.120]   Like she said, I'm 28.
[00:03:18.120 --> 00:03:21.260]   So right now, I'm working at a group practice
[00:03:21.260 --> 00:03:24.500]   in College Park, Maryland, as a mental health therapist.
[00:03:24.500 --> 00:03:28.000]   I graduated undergrad in 2013,
[00:03:28.000 --> 00:03:31.000]   and then I went and got my, or no, sorry, in 2017,
[00:03:31.000 --> 00:03:33.740]   and then I got my master's in 2019,
[00:03:33.740 --> 00:03:35.740]   and then I spent a year in Texas
[00:03:35.740 --> 00:03:38.040]   working and living with foster children,
[00:03:38.040 --> 00:03:39.780]   and then I came back and started at the practice
[00:03:39.780 --> 00:03:43.180]   that I'm at, and then I just, this past August,
[00:03:43.180 --> 00:03:46.160]   passed my license exam and have my independent license,
[00:03:46.160 --> 00:03:48.220]   so I'm very excited about that, thank you.
[00:03:48.220 --> 00:03:50.520]   (audience applauding)
[00:03:50.520 --> 00:03:53.800]   So now I'm kind of looking into what I wanna do next
[00:03:53.800 --> 00:03:55.000]   with that license, so.
[00:03:55.000 --> 00:04:01.700]   - Hello, hi, I'm Jillian.
[00:04:01.700 --> 00:04:05.000]   I graduated from Towson in 2022,
[00:04:05.000 --> 00:04:07.240]   so last year with a degree in early childhood
[00:04:07.240 --> 00:04:09.080]   and special education.
[00:04:09.080 --> 00:04:11.440]   I'm currently in my second year teaching kindergarten,
