
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:08.040]   We have a big week ahead with Easter looming,
[00:00:08.040 --> 00:00:09.560]   but today we talk retirement.
[00:00:09.560 --> 00:00:12.020]   And of course we're moving from winter to spring,
[00:00:12.020 --> 00:00:13.360]   and as we make this transition,
[00:00:13.360 --> 00:00:15.360]   the snowbirds are moving from the south
[00:00:15.360 --> 00:00:18.080]   back to northern cities and towns.
[00:00:18.080 --> 00:00:20.200]   And Kyle in Somerset, Kentucky emails in,
[00:00:20.200 --> 00:00:21.040]   "Hello, Pastor John,
[00:00:21.040 --> 00:00:23.020]   "do you have any thoughts on snowbirding,
[00:00:23.020 --> 00:00:25.880]   "the practice of retirees who leave for warmer climates
[00:00:25.880 --> 00:00:26.780]   "during the cold months
[00:00:26.780 --> 00:00:29.140]   "and return when the weather gets warmer?
[00:00:29.140 --> 00:00:31.000]   "As a minister in a local church,
[00:00:31.000 --> 00:00:32.680]   "I have seen segments of the population
[00:00:32.680 --> 00:00:33.840]   "disappear in the winter,
[00:00:33.840 --> 00:00:35.060]   "and it seems to have an impact
[00:00:35.060 --> 00:00:36.860]   "on the life of the congregation.
[00:00:36.860 --> 00:00:39.920]   "Do you see this as an acceptable practice for believers,
[00:00:39.920 --> 00:00:43.360]   "and how can church leaders address this issue with care
[00:00:43.360 --> 00:00:45.540]   "and without giving unnecessary offense
[00:00:45.540 --> 00:00:48.240]   "to those who have worked hard during their careers
[00:00:48.240 --> 00:00:51.060]   "and feel this is their prerogative?
[00:00:51.060 --> 00:00:54.520]   "Thanks for any insight you can give."
[00:00:54.520 --> 00:00:56.080]   I just turned 70, all right?
[00:00:56.080 --> 00:01:01.080]   So I feel an increasingly privileged position
[00:01:01.080 --> 00:01:04.000]   from which to make pronouncements
[00:01:04.000 --> 00:01:06.440]   about the evils of the American dream
[00:01:06.440 --> 00:01:08.120]   of so-called retirement.
[00:01:08.120 --> 00:01:09.980]   - And you live year-round in Minneapolis.
[00:01:09.980 --> 00:01:11.760]   - I do, I do.
[00:01:11.760 --> 00:01:15.620]   It's natural to go to Florida in January from Minneapolis.
[00:01:15.620 --> 00:01:17.060]   That would be a natural thing to do.
[00:01:17.060 --> 00:01:19.460]   Helpful, maybe not, but natural, yes.
[00:01:19.460 --> 00:01:23.180]   So this question about snowbirds
[00:01:23.180 --> 00:01:25.740]   is part of a larger question
[00:01:25.740 --> 00:01:29.860]   about how those of us who have stepped away
[00:01:29.860 --> 00:01:33.080]   from our lifelong means of livelihood
[00:01:33.080 --> 00:01:37.180]   should be spending the last 20 years of our lives.
[00:01:37.180 --> 00:01:38.780]   That's the big question,
[00:01:38.780 --> 00:01:41.220]   much bigger than just snowbirding.
[00:01:41.220 --> 00:01:45.380]   The Bible is not silent about this
[00:01:45.380 --> 00:01:47.820]   because it's not silent about life,
[00:01:47.820 --> 00:01:51.620]   and the period between 65 and 85 is called life.
[00:01:51.620 --> 00:01:53.380]   It's not something else.
[00:01:53.380 --> 00:01:56.460]   In fact, it is a crucial part of life
[00:01:56.460 --> 00:02:00.600]   because it is the last period of preparation
[00:02:00.600 --> 00:02:03.380]   before we stand before the Lord face-to-face
[00:02:03.380 --> 00:02:06.680]   and give an account for every idle word and moment,
[00:02:06.680 --> 00:02:09.540]   according to Matthew 12, 36.
[00:02:09.540 --> 00:02:14.540]   Snowbirding is just one of many lifestyle issues
[00:02:14.540 --> 00:02:19.300]   that come with being fairly wealthy Western people.
[00:02:19.300 --> 00:02:21.540]   Most people in the world don't have these choices, right?
[00:02:21.540 --> 00:02:22.900]   We have these choices,
[00:02:22.900 --> 00:02:24.100]   at least many of us do.
[00:02:24.100 --> 00:02:26.500]   We could just pull up and go and rent
[00:02:26.500 --> 00:02:29.420]   and live in another place.
[00:02:29.420 --> 00:02:33.420]   It's in the same category with questions,
[00:02:33.420 --> 00:02:35.100]   should you have a lake home?
[00:02:35.100 --> 00:02:36.820]   How many homes should you have?
[00:02:36.820 --> 00:02:38.300]   How many vacations should you take?
[00:02:38.300 --> 00:02:39.300]   And how long should they be?
[00:02:39.300 --> 00:02:40.140]   And where should they be?
[00:02:40.140 --> 00:02:42.460]   And how expensive should they be?
[00:02:42.460 --> 00:02:46.140]   And should you go to the lake every weekend
[00:02:46.140 --> 00:02:49.060]   during the summer and teach your grandchildren
[00:02:49.060 --> 00:02:50.620]   how to skip church?
[00:02:50.620 --> 00:02:53.420]   Should you spend thousands of dollars
[00:02:53.420 --> 00:02:56.620]   on eating out every year?
[00:02:56.620 --> 00:02:58.140]   How many cars should you have?
[00:02:58.140 --> 00:02:59.060]   And what kind?
[00:02:59.060 --> 00:03:00.140]   And where should you live?
[00:03:00.140 --> 00:03:01.620]   And what kind of house should you buy?
[00:03:01.620 --> 00:03:03.060]   And what neighborhood should you live in?
[00:03:03.060 --> 00:03:05.620]   Or should you just rent and on and on and on?
[00:03:05.620 --> 00:03:07.460]   The lifestyle questions go, right?
[00:03:07.460 --> 00:03:11.180]   So I've tried over the years,
[00:03:11.180 --> 00:03:13.100]   both in writing and in preaching,
[00:03:13.100 --> 00:03:16.740]   to address these things generally
