
[00:00:00.000 --> 00:00:02.940]   to help build eight reliable agents.
[00:00:02.940 --> 00:00:04.240]   Let's open up.
[00:00:04.240 --> 00:00:12.480]   Hello, everyone.
[00:00:12.480 --> 00:00:16.160]   My name is Tan, and it's very hard to follow up
[00:00:16.160 --> 00:00:17.500]   like who don't research her, right?
[00:00:17.500 --> 00:00:18.980]   From his work here, like figuring out
[00:00:18.980 --> 00:00:21.900]   how to do the best problems in the world.
[00:00:21.900 --> 00:00:24.180]   But I'm excited to talk about UEVAC here.
[00:00:24.180 --> 00:00:27.360]   My name is Tan, and as I said, I have been at UEVAC
[00:00:27.360 --> 00:00:29.800]   for about four years, we are building the AI private sector
[00:00:29.800 --> 00:00:31.980]   for all of our customers.
[00:00:31.980 --> 00:00:35.260]   And the idea is that people are
[00:00:35.260 --> 00:00:37.920]   continuously bad at making financial decisions.
[00:00:37.920 --> 00:00:39.820]   Like, which subscription to capital
[00:00:39.820 --> 00:00:42.200]   is a digital decision for many people to itself.
[00:00:42.200 --> 00:00:45.560]   So imagine that how you think about loan investment,
[00:00:45.560 --> 00:00:49.060]   how to-- especially in a situation like new bank,
[00:00:49.060 --> 00:00:52.920]   where we are the third largest bank in Brazil,
[00:00:52.920 --> 00:00:55.980]   the fastest growing bank in Mexico and Colombia.
[00:00:55.980 --> 00:00:59.280]   We have given first credit card access to 21 million people
[00:00:59.280 --> 00:01:01.740]   in Brazil in last five years alone.
[00:01:01.740 --> 00:01:04.500]   And just to be sure, these numbers are actually outdated
[00:01:04.500 --> 00:01:06.500]   because we just revealed our numbers yesterday
[00:01:06.500 --> 00:01:10.640]   in our earnings call, and these numbers have gone up since then.
[00:01:10.640 --> 00:01:13.800]   But the interesting part is that right in the very beginning,
[00:01:13.800 --> 00:01:19.140]   that we ran into the world of ChatDBT, we got into it.
[00:01:19.140 --> 00:01:21.480]   And we have been working very closely with Langshade, Langshade,
[00:01:21.480 --> 00:01:23.360]   Langshade, and all the teams here.
[00:01:23.360 --> 00:01:25.980]   And I'm excited to talk about a few things we have built,
[00:01:25.980 --> 00:01:32.840]   and how we have built it, and also, like, how we are going to evaluate them effectively.
[00:01:32.840 --> 00:01:36.460]   So just to be clear, I'm going to talk about two different applications here.
[00:01:36.460 --> 00:01:37.660]   First one is the Chatbot.
[00:01:37.660 --> 00:01:39.120]   No surprise.
[00:01:39.120 --> 00:01:41.820]   We have 120 million, almost, users, right?
[00:01:41.820 --> 00:01:46.380]   And we get almost 8.5 million contacts every month.
[00:01:46.380 --> 00:01:50.180]   And out of that, Chat is our main channel.
[00:01:50.180 --> 00:01:54.880]   And in that channel, right now, 16% of them are first dead with elements.
[00:01:54.880 --> 00:01:59.120]   The results are improving, and we are building agents for different situations,
[00:01:59.120 --> 00:02:00.840]   and then we'll talk about them.
[00:02:00.840 --> 00:02:04.460]   And the next one is actually more interesting, and we'll talk about these two applications,
