
[00:00:00.040 --> 00:00:09.460]  � ex
[00:00:09.460 --> 00:00:10.120]   clicking
[00:00:10.120 --> 00:00:11.040]   braking
[00:00:11.040 --> 00:00:12.140]   was a doctor, and, is, ch, Unlike, L., L.. 12 but we and it and I'm it's or for the rest. -I. -S. -G. -G. -Thank - SB -10 - passive -
[00:00:12.140 --> 00:00:16.060]   - בע -
[00:00:16.060 --> 00:00:27.440]   -ечение -
[00:00:27.440 --> 00:00:29.360]   investment - educate: he is a
[00:00:29.500 --> 00:00:58.360]   thank
[00:02:25.300 --> 00:02:53.820]   tahun, buy,
[00:02:55.320 --> 00:03:06.140]  ..
[00:03:06.140 --> 00:03:07.320]   dough,,, end 20 decreases
[00:03:07.320 --> 00:03:12.220]   eher want to say, I have the house of the� ngh bring Highway process إie셨어요imon four coc airplanes rainbow be cell, and, I think, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, the, I, "T, " rap" "St" " Eleven" "C" "G" "G" "C" " grinder" "我想" Hero"...なんだ "�" got"許 " contact" co:觀眾" en "
[00:03:23.200 --> 00:03:30.100]   medidas
[00:03:30.100 --> 00:03:33.240]   a, in,
[00:03:33.240 --> 00:03:42.760]   9
[00:03:52.420 --> 00:04:21.000]   immunization, and then they can have it for themselves. And so I want to hear what we have to say. What I have to say is the leader of Israel, whom they respect increasingly as a rising power in the world. So I disagree with that. And the most important thing that goes against what you said is the respect that we receive from the Arab world. And the fact that we've made four historic peace agreements with Arab countries, they made it with me, they didn't make it with anyone else. And I respect them and they respect me, and probably more to come.
[00:04:21.000 --> 00:04:21.000]   I respect them and they respect me, and probably more to come. So I think that's what I want to hear.
[00:04:21.000 --> 00:04:21.000]   The most important thing that goes against what you said is the respect that we receive from the Arab world. And the fact that we've made four historic peace agreements with Arab countries, they made it with me, they didn't make it with anyone else. And I respect them and they respect me, and probably more to come.
[00:04:21.040 --> 00:04:49.920]  , and probably more to come. So I think the premise is wrong. That's all.
[00:04:49.920 --> 00:04:49.920]   Well, there's a lot of love, yes. A lot of leaders are collaborating.
[00:04:49.920 --> 00:04:49.920]   Respect, I said. Not, no.
[00:04:49.920 --> 00:04:49.920]   Okay, all right. Well, it's a spectrum. But there is people who don't have good things to say about Israel who do have hate in their heart for Israel. And what can you say to those people?
[00:04:49.940 --> 00:05:18.840]   Well, I think they don't know very much. I think they're guided by a lot of ignorance. They don't know about Israel. They don't know that Israel is a stellar democracy, that it happens to be one of the most advanced societies on the planet, that what Israel develops helps humanity in every field, in medicine, in agriculture, in the environment, in telecoms. And talk about AI in a minute, but changing the world for the better and spreading this among the world.
[00:05:18.840 --> 00:05:18.840]   The other thing I want to say is that we have a lot of people who don't know about Israel. They don't know about Israel. They don't know that Israel is a stellar democracy, that it happens to be one of the most advanced societies on the planet, that what Israel develops helps humanity in every field, in medicine, in agriculture, in the environment, in telecoms.
[00:05:18.840 --> 00:05:48.860]  , and talk about AI in a minute, but changing the world for the better and spreading this among the world.
[00:05:48.900 --> 00:06:18.880]  , and talk about AI in a minute, but changing the world for the better and spreading this among the world.
[00:06:18.880 --> 00:06:18.880]   So you're a student of history. If I can just linger on that philosophical notion of hate, that part of human nature. If you look at World War II, what do you learn from human nature, from the rise of the Third Reich and the rise of somebody like Hitler and the hate that permeates the world?
[00:06:18.880 --> 00:06:18.880]   So you're a student of history. If I can just linger on that philosophical notion of hate, that part of human nature, if you look at World War II, what do you learn from human nature, from the rise of somebody like Hitler and the rise of somebody like Hitler and the rise of somebody like Hitler and the hate that permeates the world?
[00:06:18.920 --> 00:06:48.900]   Transportation is a very dangerous thing. And that happens, and it's very dangerous.
[00:06:48.900 --> 00:06:48.900]   The fact is that you don't have the right to do what you want to do.
[00:06:48.900 --> 00:06:48.900]   The fact is that you don't have the right to do what you want to do.
[00:06:48.900 --> 00:06:48.900]   The fact is that you don't have the right to do what you want to do.
[00:06:48.900 --> 00:06:48.900]   The fact is that you don't have the right to do what you want to do.
[00:06:48.900 --> 00:06:48.900]   The fact is that you don't have the right to do what you want to do.
[00:06:48.900 --> 00:06:48.900]   The fact is that you don't have the right to do what you want to do.
[00:06:48.900 --> 00:06:48.900]   The fact is that you don't have the right to do what you want to do.
[00:06:48.900 --> 00:06:48.900]   The fact is that you don't have the right to do what you want to do.
[00:06:48.900 --> 00:06:48.900]   The fact is that you don't have the right to do what you want to do.
[00:06:48.900 --> 00:06:48.900]   The fact is that you don't have the right to do what you want to do.
[00:06:49.040 --> 00:07:18.920]   The fact is that you don't have the right to do what you want to do.
[00:07:18.920 --> 00:07:18.920]   The fact is that you don't have the right to do what you want to do.
[00:07:18.920 --> 00:07:18.920]   The fact is that you don't have the right to do what you want to do.
