
[00:00:00.000 --> 00:00:00.840]   [upbeat music]
[00:00:00.840 --> 00:00:02.280]   Welcome to the Huberman Lab Podcast,
[00:00:02.280 --> 00:00:04.880]   where we discuss science and science-based tools
[00:00:04.880 --> 00:00:05.900]   for everyday life.
[00:00:05.900 --> 00:00:10.040]   I'm Andrew Huberman,
[00:00:10.040 --> 00:00:12.840]   and I'm a professor of neurobiology and ophthalmology
[00:00:12.840 --> 00:00:14.600]   at Stanford School of Medicine.
[00:00:14.600 --> 00:00:18.200]   Today is an Ask Me Anything or AMA episode,
[00:00:18.200 --> 00:00:20.880]   which is part of our premium subscriber content.
[00:00:20.880 --> 00:00:23.360]   Our premium channel was launched in order to raise support
[00:00:23.360 --> 00:00:25.640]   for the standard Huberman Lab Podcast channel,
[00:00:25.640 --> 00:00:28.200]   which still comes out once a week, every Monday,
[00:00:28.200 --> 00:00:30.460]   and of course is zero cost to consumer.
[00:00:30.460 --> 00:00:32.960]   The premium channel is also designed to support
[00:00:32.960 --> 00:00:35.200]   exciting research being done at major universities
[00:00:35.200 --> 00:00:36.940]   like Stanford and elsewhere,
[00:00:36.940 --> 00:00:40.080]   research that's done on humans that should lead to protocols
[00:00:40.080 --> 00:00:42.440]   for mental health, physical health, and performance
[00:00:42.440 --> 00:00:44.000]   in the near future.
[00:00:44.000 --> 00:00:45.080]   If you'd like to check out
[00:00:45.080 --> 00:00:46.500]   the premium channel subscription model,
[00:00:46.500 --> 00:00:49.160]   you can go to HubermanLab.com/premium,
[00:00:49.160 --> 00:00:52.320]   and there you can subscribe for $10 a month or $100 a year.
[00:00:52.320 --> 00:00:54.540]   We also have a lifetime subscriber option.
[00:00:54.540 --> 00:00:56.560]   For those of you that are already Huberman Lab Podcast
[00:00:56.560 --> 00:00:59.840]   premium subscribers, and you're watching and/or hearing this,
[00:00:59.840 --> 00:01:02.600]   please go to HubermanLab.com/premium
[00:01:02.600 --> 00:01:05.120]   and download the premium podcast feed.
[00:01:05.120 --> 00:01:06.800]   And for those of you that are not already
[00:01:06.800 --> 00:01:09.140]   Huberman Lab premium podcast subscribers,
[00:01:09.140 --> 00:01:11.760]   you will be able to hear the first 15 minutes or so
[00:01:11.760 --> 00:01:13.500]   of this episode, and hopefully that will allow you
[00:01:13.500 --> 00:01:15.040]   to discern whether or not you would like
[00:01:15.040 --> 00:01:16.720]   to become a premium subscriber.
[00:01:16.720 --> 00:01:20.120]   Without further ado, let's get to answering your questions.
[00:01:20.120 --> 00:01:23.720]   And as always, I will strive to be as clear as possible,
[00:01:23.720 --> 00:01:27.720]   as succinct as possible, and as thorough as possible,
[00:01:27.720 --> 00:01:31.760]   while still answering as many questions per AMA episode
[00:01:31.760 --> 00:01:35.020]   as I can without these sessions becoming unreasonably long.
[00:01:35.020 --> 00:01:37.000]   I should also point out that if you asked a question
[00:01:37.000 --> 00:01:39.400]   and it was not answered this AMA,
[00:01:39.400 --> 00:01:42.560]   it may very well be answered in the next AMA.
[00:01:42.560 --> 00:01:45.440]   So the first question, which had a lot of upvotes,
[00:01:45.440 --> 00:01:47.800]   meaning many people wanted the answer to this question,
[00:01:47.800 --> 00:01:49.480]   came from Jackson Lipfort.
[00:01:49.480 --> 00:01:52.560]   And the question was about so-called ultradian rhythms.
[00:01:52.560 --> 00:01:54.000]   For those of you that are not familiar
[00:01:54.000 --> 00:01:57.280]   with ultradian rhythms, ultradian rhythms are any rhythms
[00:01:57.280 --> 00:01:59.760]   that are shorter than 24 hours.
[00:01:59.760 --> 00:02:01.820]   And typically when people ask about
[00:02:01.820 --> 00:02:03.560]   or talk about ultradian rhythms,
[00:02:03.560 --> 00:02:05.820]   they are referring to 90 minute rhythms.
[00:02:05.820 --> 00:02:07.800]   I've talked about these on the podcast before.
[00:02:07.800 --> 00:02:09.440]   And Jackson's question was,
[00:02:09.440 --> 00:02:13.300]   how do you use ultradian rhythms in your daily work?
[00:02:13.300 --> 00:02:15.400]   There's more to the question, but first off,
[00:02:15.400 --> 00:02:17.060]   I do use ultradian rhythms.
[00:02:17.060 --> 00:02:19.960]   That is, I leverage the fact that these do exist
[00:02:19.960 --> 00:02:24.200]   in all of us as a way to engage in focused bouts
[00:02:24.200 --> 00:02:26.640]   of mental work once or twice,
[00:02:26.640 --> 00:02:29.200]   or sometimes three times per day.
[00:02:29.200 --> 00:02:32.700]   However, I use them in a way that's grounded in the research
[00:02:32.700 --> 00:02:34.980]   on ultradian rhythms for learning and memory
[00:02:34.980 --> 00:02:37.400]   in a way that might not be obvious just from their name,
[00:02:37.400 --> 00:02:39.080]   that they are 90 minute rhythms.
[00:02:39.080 --> 00:02:42.660]   So I'll get into the details of how to use ultradian rhythms
[00:02:42.660 --> 00:02:44.680]   to best capture neuroplasticity,
[00:02:44.680 --> 00:02:46.080]   that is the brain's ability to change
[00:02:46.080 --> 00:02:47.700]   in response to experience,
[00:02:47.700 --> 00:02:52.040]   and in a way that should allow you to get one or two,
[00:02:52.040 --> 00:02:54.940]   or maybe even three focused bouts of learning per day,
[00:02:54.940 --> 00:02:58.760]   which can greatly accelerate learning of cognitive material,
[00:02:58.760 --> 00:03:02.400]   languages, mathematics, history for sake of school or work,
[00:03:02.400 --> 00:03:05.200]   or maybe just a hobby or a personal interest of some sort,
[00:03:05.200 --> 00:03:07.940]   and for skill learning in the physical domain as well.
[00:03:07.940 --> 00:03:09.520]   Jackson then went on to ask,
[00:03:09.520 --> 00:03:11.360]   you've mentioned before that you try to include
[00:03:11.360 --> 00:03:13.700]   at least one 90 minute focus block per day
[00:03:13.700 --> 00:03:15.280]   as part of your work and overall mission.
[00:03:15.280 --> 00:03:16.400]   And indeed that is true.
[00:03:16.400 --> 00:03:18.600]   I try to get at least one of these focused
[00:03:18.600 --> 00:03:20.940]   ultradian rhythm blocks per day.
[00:03:20.940 --> 00:03:24.300]   That is a period of about 90 minutes
[00:03:24.300 --> 00:03:26.040]   where I'm focused on learning something
[00:03:26.040 --> 00:03:28.300]   or doing something that's cognitively hard.
[00:03:28.300 --> 00:03:31.640]   Although typically I aim for two of these sessions per day.
[00:03:31.640 --> 00:03:32.600]   He then goes on to ask,
[00:03:32.600 --> 00:03:34.200]   what is the maximum number of blocks
[00:03:34.200 --> 00:03:36.260]   you can perform sustainably?
[00:03:36.260 --> 00:03:39.420]   The answer to that is probably four.
[00:03:39.420 --> 00:03:42.640]   And I say probably because some people have schedules,
[00:03:42.640 --> 00:03:46.580]   lifestyles in which four 90 minute blocks
[00:03:46.580 --> 00:03:50.120]   of focused learning is possible per day,
[00:03:50.120 --> 00:03:51.260]   but that's highly unusual.
[00:03:51.260 --> 00:03:54.720]   For most people, it's going to be one or two, maybe three,
[00:03:54.720 --> 00:03:56.960]   four I would place in the really extraordinary
[00:03:56.960 --> 00:03:57.800]   end of things.
[00:03:57.800 --> 00:03:59.400]   Maybe if you're cramming for exams
[00:03:59.400 --> 00:04:01.580]   or you've managed to go on a writing retreat
[00:04:01.580 --> 00:04:03.540]   or a learning retreat of some sort,
[00:04:03.540 --> 00:04:06.840]   where you can devote essentially all of your non sleeping,
[00:04:06.840 --> 00:04:09.560]   non eating time to learning.
[00:04:09.560 --> 00:04:11.640]   But most people simply can't organize their life that way.
[00:04:11.640 --> 00:04:13.880]   So the short answer is for me,
[00:04:13.880 --> 00:04:16.840]   it's one or two per day is the target
[00:04:16.840 --> 00:04:19.080]   and three would be the maximum.
[00:04:19.080 --> 00:04:20.220]   He then went on to ask,
[00:04:20.220 --> 00:04:22.120]   do you take vacations or extended breaks
[00:04:22.120 --> 00:04:24.720]   from these ultradian rhythm sessions?
[00:04:24.720 --> 00:04:27.260]   And the short answer is no.
[00:04:27.260 --> 00:04:29.180]   Typically I try and do this every day.
[00:04:29.180 --> 00:04:30.520]   And yes, even on the weekends,
[00:04:30.520 --> 00:04:31.640]   but on the weekend,
[00:04:31.640 --> 00:04:33.760]   the ultradian rhythm focused learning bout
[00:04:33.760 --> 00:04:37.120]   might just be reading a book for about 90 minutes or so,
[00:04:37.120 --> 00:04:39.720]   which might not be as cognitively difficult
[00:04:39.720 --> 00:04:41.740]   as it is for other sorts of work
[00:04:41.740 --> 00:04:43.040]   that I performed during the week.
[00:04:43.040 --> 00:04:45.840]   I occasionally miss a day entirely for whatever reason,
[00:04:45.840 --> 00:04:49.740]   travel obligations related to family, et cetera.
[00:04:49.740 --> 00:04:51.920]   But in general, I try and do this every day.
[00:04:51.920 --> 00:04:55.400]   I do think that the circuits for focus are,
[00:04:55.400 --> 00:04:58.160]   I guess the non-biological way to put it would be kept warm,
[00:04:58.160 --> 00:05:01.480]   but essentially that accessing the circuits for focus
[00:05:01.480 --> 00:05:04.240]   is made easier by accessing them regularly.
[00:05:04.240 --> 00:05:05.900]   And that's because the circuits for focus
[00:05:05.900 --> 00:05:09.660]   are indeed themselves amenable to neuroplasticity
[00:05:09.660 --> 00:05:12.140]   In other words, the more you force yourself to focus,
[00:05:12.140 --> 00:05:14.160]   the easier focusing gets.
[00:05:14.160 --> 00:05:15.880]   I'll now answer the last part of the question,
[00:05:15.880 --> 00:05:18.900]   and then I will go through and emphasize some tools
[00:05:18.900 --> 00:05:22.740]   that anyone can use in order to leverage ultradian rhythms
[00:05:22.740 --> 00:05:25.560]   toward learning bouts, either cognitive learning
[00:05:25.560 --> 00:05:29.160]   or physical skill learning, or a combination of the two.
[00:05:29.160 --> 00:05:31.220]   The last part of the question Jackson asked was,
[00:05:31.220 --> 00:05:33.400]   if you knew you needed to drastically increase
[00:05:33.400 --> 00:05:35.180]   the amount of focus you do daily,
[00:05:35.180 --> 00:05:38.200]   how would you schedule that focus and recover from it?
[00:05:38.200 --> 00:05:41.440]   That's an excellent aspect to this question.
[00:05:41.440 --> 00:05:43.200]   And I will now give you the details
[00:05:43.200 --> 00:05:46.080]   of how I would use and schedule ultradian rhythms.
[00:05:46.080 --> 00:05:47.140]   I'll offer you a tool.
[00:05:47.140 --> 00:05:48.400]   I've never talked about this tool
[00:05:48.400 --> 00:05:49.700]   on the Huberman Lab podcast.
[00:05:49.700 --> 00:05:53.080]   And I will dispel a common myth about ultradian rhythms
[00:05:53.080 --> 00:05:55.000]   that points to a, believe it or not,
[00:05:55.000 --> 00:05:58.340]   an easier way to leverage them for maximum benefit.
[00:05:58.340 --> 00:05:59.620]   Okay, so as I mentioned before,
