
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:08.540]   - We experience letdowns all the time.
[00:00:08.540 --> 00:00:10.260]   In a fallen world of sin,
[00:00:10.260 --> 00:00:13.020]   we shouldn't be surprised by disappointment.
[00:00:13.020 --> 00:00:15.060]   But this long history of letdowns
[00:00:15.060 --> 00:00:17.900]   met its match on Easter morning.
[00:00:17.900 --> 00:00:19.780]   That's the hopeful reality we live in
[00:00:19.780 --> 00:00:21.940]   on this side of the death and resurrection
[00:00:21.940 --> 00:00:24.020]   of our Savior, Jesus Christ.
[00:00:24.020 --> 00:00:28.220]   As John Piper reminds us in his Easter sermon from 1988
[00:00:28.220 --> 00:00:31.260]   on 1 Corinthians 15 verses 20 to 28.
[00:00:31.260 --> 00:00:32.260]   Here's what he said.
[00:00:32.260 --> 00:00:36.060]   - One of the most heartbreaking words I think
[00:00:36.060 --> 00:00:40.460]   in human language is the word closed.
[00:00:40.460 --> 00:00:44.260]   You plan a day at the zoo and dad takes a day off
[00:00:44.260 --> 00:00:48.100]   and mom packs a special lunch and the kids are all excited.
[00:00:48.100 --> 00:00:50.260]   You pile in the car, you drive a half an hour
[00:00:50.260 --> 00:00:53.140]   and you get to the gate and it says closed.
[00:00:53.140 --> 00:00:58.020]   Hope deferred makes the heart sick like the Proverbs says.
[00:00:58.020 --> 00:01:01.100]   You're 11 years old and it's summertime
[00:01:01.100 --> 00:01:04.180]   and the ball teams are starting to practice
[00:01:04.180 --> 00:01:05.380]   and for the first time,
[00:01:05.380 --> 00:01:07.880]   mom, can I play baseball this summer?
[00:01:07.880 --> 00:01:10.660]   Maybe that would be a good thing this summer.
[00:01:10.660 --> 00:01:12.140]   And so you get a brand new glove
[00:01:12.140 --> 00:01:14.780]   and dad pitches with you in the backyard
[00:01:14.780 --> 00:01:16.420]   and you go out for the team
[00:01:16.420 --> 00:01:19.300]   and you practice for them for two weeks.
[00:01:19.300 --> 00:01:22.020]   It turns out there are too many kids for this team
[00:01:22.020 --> 00:01:23.620]   and they didn't plan for two teams
[00:01:23.620 --> 00:01:25.340]   and so there's gotta be a cut.
[00:01:25.340 --> 00:01:27.940]   And you go that afternoon and they read the roster
[00:01:27.940 --> 00:01:29.780]   and you're not on it.
[00:01:29.780 --> 00:01:32.340]   And you take the back roads home.
[00:01:32.340 --> 00:01:34.780]   The coach says we'll plan for two teams next year
[00:01:34.780 --> 00:01:37.500]   and it doesn't help, it's closed.
[00:01:37.500 --> 00:01:39.140]   Or maybe you're 13 years old
[00:01:39.140 --> 00:01:42.620]   and you start to dream about marriage.
[00:01:42.620 --> 00:01:45.260]   You dream about that perfect person
[00:01:45.260 --> 00:01:48.260]   and what it would be like to have somebody hold you
[00:01:48.260 --> 00:01:51.460]   and love you more than anybody else in all the world
[00:01:51.460 --> 00:01:53.500]   and what that day would be like
[00:01:53.500 --> 00:01:57.140]   and then one door closes and then another door closes
[00:01:57.140 --> 00:01:59.260]   and another door closes.
[00:01:59.260 --> 00:02:03.940]   Or maybe you're at mid-career, mid-40s let's say,
[00:02:03.940 --> 00:02:06.220]   and you step back and you look at your life
[00:02:06.220 --> 00:02:08.540]   and your career and you say,
[00:02:08.540 --> 00:02:10.900]   what do I want to accomplish here now
[00:02:10.900 --> 00:02:15.540]   in the next 20 years of my active professional life?
[00:02:15.540 --> 00:02:17.060]   You think it through and you say,
[00:02:17.060 --> 00:02:21.500]   I'm gonna stick with the firm and give it my best shot.
[00:02:21.500 --> 00:02:22.900]   And so you work nights
[00:02:22.900 --> 00:02:25.060]   and you work long hours on the weekend
[00:02:25.060 --> 00:02:28.260]   and you work on vacations and five years go by
[00:02:28.260 --> 00:02:32.340]   and you're 50 and they pass right over you
[00:02:32.340 --> 00:02:34.780]   when it comes to that advancement.
[00:02:34.780 --> 00:02:38.220]   And you don't make it and the door closes
[00:02:38.220 --> 00:02:40.180]   on that dream career.
[00:02:40.180 --> 00:02:44.980]   Or maybe for you, all the doors opened
[00:02:44.980 --> 00:02:47.740]   and the relationships clicked
[00:02:47.740 --> 00:02:50.060]   and you made the team
[00:02:50.060 --> 00:02:52.060]   and then somewhere along the way,
[00:02:52.060 --> 00:02:56.020]   the doctor said, it's a rare kind of cancer
[00:02:56.020 --> 00:02:59.060]   and all the doors seem to close at once.
[00:02:59.060 --> 00:03:00.940]   Or worst of all,
[00:03:00.940 --> 00:03:04.340]   you have made it to the top in your career.
[00:03:04.340 --> 00:03:08.260]   You have had the dream relationship.
[00:03:08.260 --> 00:03:12.700]   You've made every team and walked through every open door
[00:03:12.700 --> 00:03:15.940]   and every one of them without Jesus.
[00:03:15.940 --> 00:03:18.060]   And now you've died and you're standing
[00:03:18.060 --> 00:03:21.300]   before heaven's door and it's closed.
[00:03:21.300 --> 00:03:24.940]   And you say, "Lord, Lord, open to me."
