
[00:00:00.000 --> 00:00:20.940]   my name is Ben Hylak and also just feeling really grateful to be with all of you guys today it's
[00:00:20.940 --> 00:00:27.900]   pretty exciting and we're here to talk about building AI products that actually work I'll
[00:00:27.900 --> 00:00:32.440]   introduce this guy in a second sorry it wasn't the right order so I tweeted last night I was kind
[00:00:32.440 --> 00:00:37.320]   of like what should we what should we talk about today and the overwhelming response I got was
[00:00:37.320 --> 00:00:42.660]   like please no more evals apparently there's a lot of eval tracks we'll touch on evals still just a
[00:00:42.660 --> 00:00:49.200]   little bit but mainly we're gonna be focusing on how to iterate on AI products and so I think
[00:00:49.200 --> 00:00:54.540]   iteration is actually one of the most important parts of building AI products that actually work
[00:00:55.800 --> 00:01:01.320]   so again just a little bit about us so I'm the CTO of a company called raindrop and raindrop helps
[00:01:01.320 --> 00:01:07.860]   companies find and fix issues in their AI products before that I was actually kind of a weird background
[00:01:07.860 --> 00:01:13.620]   but I used to be really into robotics I did avionics at SpaceX for a little bit and then most recently
[00:01:13.620 --> 00:01:20.400]   I was an engineer and then on the design team at Apple for almost four years and we also have Sid so
[00:01:20.400 --> 00:01:28.860]   in the spirit of sharing how to build things that actually work I brought Sid who actually knows how
[00:01:28.860 --> 00:01:35.820]   to build products that actually work so I think Sid is like the co-founder of a company called Aleve with
[00:01:35.820 --> 00:01:43.140]   just four people they grew a suite of viral apps to over six million error so Sid is gonna share again how
[00:01:43.140 --> 00:01:50.700]   to build products that actually work I think it's actually a really exciting time for AI products and
[00:01:50.700 --> 00:01:57.720]   I say it's an exciting time because in the last year we've seen that it's possible to really focus on a
[00:01:57.720 --> 00:02:04.620]   use case really focus on something and make that thing exceptional like really really crack it we've
[00:02:04.620 --> 00:02:11.160]   seen that it's possible to train like small models really really tiny models to just be exceptional at
[00:02:11.160 --> 00:02:17.280]   on specific tasks if you focus on a specific use case and we're also seeing that increasingly providers
[00:02:17.280 --> 00:02:21.900]   right are actually focusing on on launching those sort of products which is you know that might be
[00:02:21.900 --> 00:02:30.060]   the scary part but deep research is a great example right where chat GPT just focused on how do we you know how
[00:02:30.060 --> 00:02:35.280]   do we collect a data set how do we train something to just be exceptionally good at searching the web and
[00:02:35.280 --> 00:02:42.240]   they were I think it's one of the best products that they've released but even open AI is not immune
[00:02:42.240 --> 00:02:48.180]   to shipping like not so great products right I think like to me I don't know what your guys's experiences
[00:02:48.180 --> 00:02:51.720]   but I think that like I've actually had a lot of trouble with codex and I don't know that it's like
[00:02:51.720 --> 00:02:56.880]   exceptionally better than other things that exist like this is kind of a funny one I was like write
[00:02:56.880 --> 00:03:02.880]   some tests and it it actually correctly generated this hash for the word hello you know but it's like
