
[00:00:00.000 --> 00:00:01.000]   [GASP]
[00:00:01.000 --> 00:00:02.000]   [GLASS BREAKING]
[00:00:02.000 --> 00:00:03.000]   [SIGH]
[00:00:03.000 --> 00:00:06.000]   Shop break-resistant glassware at wineenthusiast.com
[00:00:06.000 --> 00:00:07.000]   so you can spend more time--
[00:00:07.000 --> 00:00:08.000]   [DING]
[00:00:08.000 --> 00:00:09.000]   --and less time--
[00:00:09.000 --> 00:00:10.000]   [GLASS BREAKING]
[00:00:10.000 --> 00:00:12.000]   --ugh, I'll get the broom.
[00:00:12.000 --> 00:00:14.000]   Shop our Black Friday and Cyber Monday deals
[00:00:14.000 --> 00:00:17.000]   for the best prices of the season on wine storage, gifts,
[00:00:17.000 --> 00:00:18.000]   and more.
[00:00:18.000 --> 00:00:21.000]   Plus, get free shipping on orders of $99 and more.
[00:00:21.000 --> 00:00:24.000]   At wineenthusiast.com, we bring wine to life.
[00:00:24.000 --> 00:00:25.000]   [DING]
[00:00:25.000 --> 00:00:26.000]   Exclusions apply.
[00:00:26.000 --> 00:00:27.000]   See website for details.
[00:00:27.000 --> 00:00:28.000]   [DING]
[00:00:28.000 --> 00:00:30.000]   Exclusions apply.
[00:00:30.000 --> 00:00:31.000]   See website for details.
[00:00:31.000 --> 00:00:34.000]   Radical Personal Finance is a 100% listener-funded project.
[00:00:34.000 --> 00:00:37.000]   If you're a listener and you like the project enough
[00:00:37.000 --> 00:00:39.000]   to consider funding it, please go to
[00:00:39.000 --> 00:00:43.000]   radicalpersonalfinance.com/patron.
[00:00:43.000 --> 00:00:47.000]   Today on the show, we talk with Steve Burns.
[00:00:47.000 --> 00:00:51.000]   Steve is the founder of New Trader University.
[00:00:51.000 --> 00:00:53.000]   He is a stock trader who's been investing
[00:00:53.000 --> 00:00:58.000]   and trading his own accounts for more than two decades.
[00:00:58.000 --> 00:01:02.000]   I think you're going to enjoy this inside look at somebody
[00:01:02.000 --> 00:01:05.000]   who only trades their own accounts
[00:01:05.000 --> 00:01:09.000]   and doesn't have an agenda beyond education.
[00:01:09.000 --> 00:01:12.000]   [MUSIC PLAYING]
[00:01:13.000 --> 00:01:16.000]   Welcome to the Radical Personal Finance Podcast.
[00:01:16.000 --> 00:01:19.000]   My name is Joshua Sheets, and I'm your host.
[00:01:19.000 --> 00:01:21.000]   Thank you so much for being here.
[00:01:21.000 --> 00:01:23.000]   Today's interview is a good one.
[00:01:23.000 --> 00:01:26.000]   It's nice to talk with somebody who's just involved
[00:01:26.000 --> 00:01:29.000]   in trading their own accounts, and I think you're going to like
[00:01:29.000 --> 00:01:32.000]   the transparency and authenticity of today's interview.
[00:01:32.000 --> 00:01:35.000]   I'm going to ask you to tell me what you think.
[00:01:35.000 --> 00:01:38.000]   I'm going to ask you to tell me what you think.
[00:01:38.000 --> 00:01:41.000]   I think you're going to like the transparency and authenticity
[00:01:41.000 --> 00:01:43.000]   of today's interview.
[00:01:43.000 --> 00:01:45.000]   We're going to dig through some of the conflicts of interest
[00:01:45.000 --> 00:01:47.000]   that exist in trading, talk about how to get started,
[00:01:47.000 --> 00:01:50.000]   and how you can figure out if you should consider
[00:01:50.000 --> 00:01:52.000]   becoming a stock trader.
[00:01:52.000 --> 00:01:55.000]   [MUSIC PLAYING]
[00:01:55.000 --> 00:01:59.000]   My interviewee today is a man named Steve Burns,
[00:01:59.000 --> 00:02:02.000]   and Steve was introduced to me by a listener of the show.
[00:02:02.000 --> 00:02:05.000]   I wasn't previously aware of his work, but listeners--
[00:02:05.000 --> 00:02:07.000]   and by the way, if you have people that you'd like to see
[00:02:07.000 --> 00:02:09.000]   on the show, please connect them.
[00:02:09.000 --> 00:02:11.000]   The best way to do it is send me an email,
[00:02:11.000 --> 00:02:13.000]   joshua@radicalpersonalfinance.com,
[00:02:13.000 --> 00:02:16.000]   and then cc them on the email so that they know that you are
[00:02:16.000 --> 00:02:19.000]   recommending them and they'll have a little bit of a heads up.
[00:02:19.000 --> 00:02:21.000]   But I love recommendations from the audience,
