
[00:00:00.040 --> 00:00:07.060]   Escape all about
[00:00:07.060 --> 00:00:10.740]   like,,,,
[00:00:10.740 --> 00:00:13.840]   gravel
[00:00:13.840 --> 00:00:26.300]   around the
[00:00:27.180 --> 00:00:49.080]   of cash. If you are interested in moving into an improved financial situation, if you're not satisfied with the progress that you're making, I have one simple suggestion. Start using cash.
[00:00:54.360 --> 00:00:56.300]   cut
[00:00:56.300 --> 00:01:05.160]   З I child include
[00:01:05.160 --> 00:01:09.220]   Another Educ
[00:01:51.520 --> 00:01:51.520]   It
[00:01:51.520 --> 00:01:51.520]   The
[00:01:51.520 --> 00:01:51.520]   It
[00:02:20.160 --> 00:02:20.160]   If you don't have a good solid plan to prepare for economic crisis go to RadicalPersonalFinance.com/Thor. Sign up for my course called How to Survive and Thrive During the Coming Economic Crisis and I will help you create and build a workable plan. Won't cost you a lot of money, but it's worth considering.
[00:02:20.160 --> 00:02:20.160]   If you don't have a good solid plan to prepare for economic crisis go to RadicalPersonalFinance.com/Thor. Sign up for my course called How to Survive and Thrive During the Coming Economic Crisis and I will help you create and build a workable plan. Won't cost you a lot of money, but it's worth considering.
[00:03:17.360 --> 00:03:17.360]  �심: If you don't have a good solid plan to prepare for economic crisis go to RadicalPersonalFinance.com/Thor. Sign up for my course called How to Survive and Thrive During the Coming Economic Crisis and I will help you create and build a workable plan. Won't cost you a lot of money, but it's worth considering.
[00:03:17.360 --> 00:03:17.380]   If you don't have a good solid plan to prepare for economic crisis go to RadicalPersonalFinance.com/Thor. Sign up for my course called How to Survive and Thrive During the Coming Economic Crisis and I will help you create and build a workable plan. Won't cost you a lot of money, but it's worth considering.
[00:03:17.380 --> 00:03:47.000]  , If you don't have a good solid plan to prepare for economic crisis go to RadicalPersonalFinance.com/Thor. Sign up for my course called How to Survive and Thrive During the Coming Economic Crisis and I will help you create and build a workable plan.
[00:03:47.040 --> 00:03:56.200]  서� is
[00:03:56.200 --> 00:03:56.900]  ère modelling
[00:03:56.900 --> 00:03:57.180]  這
[00:03:57.180 --> 00:04:15.380]   Wil, and,,,,,, we're,own К Talk static as K is the light . Israel. I'm. I'm. I'm. I. I. I. had. got. braking or. during the... caramel spoon. I was...aged... colorful..."...Ge... asset...新...
[00:04:15.380 --> 00:04:17.020]  ... ket... need... lucky... colors... be... meet... to... is... learned...ез... played... die... shouldn... for... taught...�... Tomb...s... like... conect... wol biết... him decis...則... Young T perfect... leaders of weigh... Ар lect...
[00:04:17.060 --> 00:04:20.440]   Or
[00:04:20.440 --> 00:04:26.440]   4 eye
[00:04:26.440 --> 00:04:26.940]   index. I want to the,,,,,, Bar But I as Serv Neither
[00:04:45.720 --> 00:05:14.380]   six different credit cards produced. And the waiter is being asked to divide the bill into six different parts so everyone can pay with their card. It's very unusual for somebody to pull out their wallet and pull out a $20 bill. Generally, I'm the only one who does that. And I don't do it all the time. Sometimes I run out of money. But generally, if there is somebody who does it, I'm usually the only one who does it. And there are a number of arguments that people present. There are a number of arguments that many of my friends would give as to why they use a credit card for everything that they do.
[00:05:14.400 --> 00:05:43.060]   and some of them really make a lot of sense. For example, a lot of people would say, well, I like to use my debit card because then I can track how much money I'm spending. It's very easy. Most of our banks have some kind of built-in software where they analyze the transactions in our account. And so we can look at the end of the month and we can kind of see, hey, here's where all my money went. Or perhaps you're using some online tool such as Mint or using YNAB or something like that.
