
[00:00:00.000 --> 00:00:05.000]   Should be fine.
[00:00:05.000 --> 00:00:06.000]   Cool.
[00:00:06.000 --> 00:00:12.480]   So, hey everybody and welcome to another paper reading group today and I'm so excited to
[00:00:12.480 --> 00:00:16.760]   share that this is the first multimodal paper that we're discussing and we're also discussing
[00:00:16.760 --> 00:00:22.760]   MDTR, which is modulated detection for end-to-end multimodal understanding.
[00:00:22.760 --> 00:00:28.680]   So the last time in paper reading group we discussed DETR, which is the detection transformer.
[00:00:28.680 --> 00:00:33.880]   And today we're doing MDTR, which is a step further, which takes DETR to another level
[00:00:33.880 --> 00:00:38.000]   and it starts to mix computer vision and NLP.
[00:00:38.000 --> 00:00:40.680]   And we have Aishwarya Kamath joining us.
[00:00:40.680 --> 00:00:46.280]   So she's the paper author for MDTR and hey Aishwarya.
[00:00:46.280 --> 00:00:47.820]   Hi everyone.
[00:00:47.820 --> 00:00:48.820]   Thanks for joining.
[00:00:48.820 --> 00:00:54.920]   So Aishwarya, I'm so impressed and so excited as well to have Aishwarya here today.
[00:00:54.920 --> 00:01:00.000]   She's a second year PhD student at New York University Center of Data Science and she's
[00:01:00.000 --> 00:01:03.920]   advised by Professor Yann LeCun and Professor Kyung-Hoon Cho.
[00:01:03.920 --> 00:01:04.920]   Is that a correct pronunciation?
[00:01:04.920 --> 00:01:05.920]   We can correct me later.
[00:01:05.920 --> 00:01:08.120]   Yeah, it's Kyung-Hoon Cho.
[00:01:08.120 --> 00:01:12.760]   And has a master's degree in computer science from University of Massachusetts Amherst.
[00:01:12.760 --> 00:01:18.280]   And she's working at the intersection of NLP and computer vision and her interests lie
[00:01:18.280 --> 00:01:23.880]   in leveraging information from multiple sources, such as text, images, video, and speech to
[00:01:23.880 --> 00:01:28.240]   improve common sense reasoning capabilities of machines.
[00:01:28.240 --> 00:01:31.240]   So basically you've been working on multimodal for quite some time Aishwarya.
[00:01:31.240 --> 00:01:33.320]   That's so exciting to hear.
[00:01:33.320 --> 00:01:38.080]   And she's previously completed internships at Google Research and Facebook AI Research
[00:01:38.080 --> 00:01:43.680]   as well as worked full time as an ML engineer at Oracle's Machine Learning Research Group.
[00:01:43.680 --> 00:01:48.840]   Her work has received a Best Paper Award at the Representation Learning for NLP Workshop
[00:01:48.840 --> 00:01:51.960]   at ACL 2019.
[00:01:51.960 --> 00:01:53.520]   That's really a lot Aishwarya.
[00:01:53.520 --> 00:01:56.600]   So please tell us about your journey.
[00:01:56.600 --> 00:01:57.600]   I'm so excited.
[00:01:57.600 --> 00:02:04.120]   Before we get started with the paper, maybe tell us how that journey started and how you
[00:02:04.120 --> 00:02:05.120]   got into multimodal.
[00:02:05.120 --> 00:02:06.120]   Yeah, sure.
[00:02:06.120 --> 00:02:09.120]   So I guess journey starting was in India.
[00:02:09.120 --> 00:02:16.040]   I did my undergrad at Manipal Institute of Technology in electronics.
[00:02:16.040 --> 00:02:18.040]   So not much programming.
[00:02:18.040 --> 00:02:20.600]   It was more on the hardware side.
[00:02:20.600 --> 00:02:26.160]   Towards the end of the undergrad, I started doing these online Coursera courses and things
[00:02:26.160 --> 00:02:27.160]   like that.
[00:02:27.160 --> 00:02:28.160]   It was like, oh, machine learning is cool.
[00:02:28.160 --> 00:02:30.320]   TensorFlow was out there by then.
[00:02:30.320 --> 00:02:37.080]   So yeah, I applied to Computer Science Masters and that's where I got my first experience
[00:02:37.080 --> 00:02:38.360]   with research.
[00:02:38.360 --> 00:02:45.640]   So Andrew McCallum was my research mentor at UMass and he basically just changed what
[00:02:45.640 --> 00:02:47.960]   I wanted to do in life.
[00:02:47.960 --> 00:02:50.920]   Because at that point, I was like, yeah, I'm going to do a master's and I get a job and
[00:02:50.920 --> 00:02:51.920]   that'd be fine.
[00:02:51.920 --> 00:02:54.520]   But and you know, that's going to be my life.
[00:02:54.520 --> 00:02:57.920]   But basically, he was like, oh, no, no, do research.
[00:02:57.920 --> 00:02:58.920]   This is really fun.
[00:02:58.920 --> 00:03:04.760]   And he like, you know, mentored me and like, also helped me go to like, NeurIPS, which
[00:03:04.760 --> 00:03:09.640]   was like my first conference in like 2017 and introduced me to a lot of cool people
[00:03:09.640 --> 00:03:13.560]   and showed me like the study life of research.
[00:03:13.560 --> 00:03:15.360]   I was like, wow, this is really awesome.
