
[00:00:00.160 --> 00:00:05.120]   My name is Sarmad and today I want to talk about building effective agents with model context
[00:00:05.120 --> 00:00:13.440]   protocol or MCP. So a lot has changed in the last year especially as far as agent development is
[00:00:13.440 --> 00:00:21.280]   concerned. I think 2025 is the year of agents and things like MCP make agent design simpler and more
[00:00:21.280 --> 00:00:26.080]   robust than ever before. So I want to talk about what the agent tech stack looks like in 2025.
[00:00:26.800 --> 00:00:34.160]   The second thing is a lot of MCP servers today are just one-to-one mappings of existing REST API
[00:00:34.160 --> 00:00:43.520]   services to MCP tools but MCP servers can be a lot more than that. They could even be agents and so
[00:00:43.520 --> 00:00:49.920]   I want to show how agents can be represented as MCP servers. And the last thing is a little bit of a
[00:00:49.920 --> 00:00:57.920]   look into agent architecture and modeling agents as asynchronous workflows with workflow orchestration
[00:00:57.920 --> 00:01:06.400]   infrastructure like Airflow, Temporal, etc. So a little bit about me. I'm the CEO of Last Mile AI
[00:01:06.400 --> 00:01:13.840]   and I've in the past been working on developer tools for a while for many years and back in
[00:01:14.320 --> 00:01:20.640]   2016 to 2018 I was working on language server protocol and language servers at Microsoft.
[00:01:20.640 --> 00:01:28.720]   LSB revolutionized IDEs. Here on the right you can kind of see the list of hundreds and hundreds of
[00:01:28.720 --> 00:01:37.040]   language servers that are now available but before this every IDE had a unique API surface and so every
[00:01:37.040 --> 00:01:44.320]   language server had to implement a VS code specific way of doing things or an Eclipse specific way
[00:01:44.320 --> 00:01:53.040]   and it was very fragmented as an ecosystem. And LSB completely changed that by standardizing a single
[00:01:53.040 --> 00:02:01.440]   interface API interface for how language services should be exposed in IDEs. And so when LLMs took off even
[00:02:01.440 --> 00:02:07.600]   before tool calling was a thing I've been thinking about what it would take to make a LSB style protocol
[00:02:07.600 --> 00:02:14.480]   for LLMs and I've been thinking about this for a long time. Here you have this like scratch pad from 2023
[00:02:14.480 --> 00:02:21.680]   where this is the era of you know ChatGPT plugins and I was thinking of how you know
[00:02:23.120 --> 00:02:29.360]   agent authentication should work or how LLMs should be connected to tools, resources, data in some way.
[00:02:29.360 --> 00:02:36.880]   And so model context protocol which Anthropic created a few months ago has been a godsend and
[00:02:36.880 --> 00:02:43.840]   I think it incorporates a lot of the things that are really necessary to to get you know agents into
[00:02:43.840 --> 00:02:48.880]   production and we'll talk a little bit about that. Like I stated before I think 2025 is the year that
[00:02:48.880 --> 00:02:58.800]   agents hit production on mass. Until now there have been a lot of high impact use cases that our customers
[00:02:58.800 --> 00:03:03.680]   see that have been stalled in proof of concept stage. Things like you know people want to work
[00:03:03.680 --> 00:03:10.720]   do workflow automation, they want to deal with unstructured data and process it in interesting ways,
[00:03:10.720 --> 00:03:16.320]   they want to do information retrieval and you're starting to see agents appear in each of these
[00:03:16.320 --> 00:03:23.920]   categories already and I think that pattern will accelerate in the coming months. So what does this
[00:03:23.920 --> 00:03:31.520]   tech stack look like for agents in 2025? There are three big kind of updates or changes that are happening
[00:03:31.520 --> 00:03:39.360]   which I think allow you to build effective agents much more easily than ever before. So the first thing is
[00:03:39.360 --> 00:03:48.400]   better models. We have reasoning models and LLMs that are pretty reliable for a lot of use cases and with
[00:03:48.400 --> 00:03:56.320]   test time compute a lot of the complexity things like you know chain of thought reasoning or react or other
[00:03:56.320 --> 00:04:02.320]   kind of patterns that had been implemented at the framework layer are actually now shifting left into the inference layer
[00:04:02.960 --> 00:04:11.280]   and all that allows is for less complexity and less burden for app developers because they can get a lot
[00:04:11.280 --> 00:04:19.280]   more done by just invoking a model API than ever before. The second thing is model context protocol
[00:04:19.280 --> 00:04:25.920]   or MCP. For folks who are not familiar, MCP is basically a standardized interface for connecting LLMs to
[00:04:25.920 --> 00:04:34.960]   tools to data to resources to the world around them and so the really the revolutionary thing about it is that
[00:04:34.960 --> 00:04:43.360]   it is a single way it provides a single interface to connect and give context to LLMs whereas in the past
