
[00:00:00.340 --> 00:00:02.320]   Welcome to the Huberman Lab podcast,
[00:00:02.320 --> 00:00:04.920]   where we discuss science and science-based tools
[00:00:04.920 --> 00:00:05.920]   for everyday life.
[00:00:05.920 --> 00:00:10.320]   I'm Andrew Huberman,
[00:00:10.320 --> 00:00:13.440]   and I'm a professor of neurobiology and ophthalmology
[00:00:13.440 --> 00:00:15.040]   at Stanford School of Medicine.
[00:00:15.040 --> 00:00:17.280]   My guest today is Dr. John Cruz.
[00:00:17.280 --> 00:00:21.400]   Dr. John Cruz is an MD, PhD, and practicing psychiatrist
[00:00:21.400 --> 00:00:23.920]   who specializes in the treatment of ADHD
[00:00:23.920 --> 00:00:26.040]   in both kids and in adults.
[00:00:26.040 --> 00:00:27.800]   As you'll see during today's episode,
[00:00:27.800 --> 00:00:30.340]   Dr. Cruz is among the world's top experts
[00:00:30.340 --> 00:00:33.000]   in understanding the various treatments for ADHD
[00:00:33.000 --> 00:00:35.800]   and tools for helping to overcome non-clinical issues
[00:00:35.800 --> 00:00:37.380]   with focus and attention.
[00:00:37.380 --> 00:00:40.040]   We, of course, discussed the drug treatments for ADHD.
[00:00:40.040 --> 00:00:43.180]   So those include Adderall, Ritalin, Vyvanse,
[00:00:43.180 --> 00:00:46.180]   Modafinil, Welbutrin, basically all the drugs
[00:00:46.180 --> 00:00:47.960]   that are used to treat ADHD.
[00:00:47.960 --> 00:00:51.180]   And we cover their relative advantages and disadvantages.
[00:00:51.180 --> 00:00:53.400]   We also talk about the use of caffeine for focus
[00:00:53.400 --> 00:00:56.380]   and how caffeine can interact with those various drugs.
[00:00:56.380 --> 00:00:59.740]   Dr. Cruz also educates us on how specific behaviors,
[00:00:59.740 --> 00:01:01.020]   like our sleep timing.
[00:01:01.020 --> 00:01:04.040]   So not just the amount of sleep we get, but when we sleep,
[00:01:04.040 --> 00:01:05.960]   as well as our meals, our exercise,
[00:01:05.960 --> 00:01:08.840]   how all that can shape our levels of attention and focus.
[00:01:08.840 --> 00:01:09.880]   And that of course is relevant,
[00:01:09.880 --> 00:01:12.180]   not just to people struggling with attention and focus,
[00:01:12.180 --> 00:01:14.640]   or who have ADHD, but to everybody.
[00:01:14.640 --> 00:01:16.680]   Dr. Cruz isn't just a psychiatrist.
[00:01:16.680 --> 00:01:19.760]   He also has a background in circadian biology research,
[00:01:19.760 --> 00:01:21.760]   and he offers the intriguing idea
[00:01:21.760 --> 00:01:25.220]   that ADHD and other deficits and focus may in many cases
[00:01:25.220 --> 00:01:28.260]   be the consequence of a misregulated circadian rhythm.
[00:01:28.260 --> 00:01:29.920]   He tells us how to test that idea
[00:01:29.920 --> 00:01:31.520]   and potentially how to fix it.
[00:01:31.520 --> 00:01:32.740]   By the end of today's episode,
[00:01:32.740 --> 00:01:34.880]   you'll understand what stimulants do,
[00:01:34.880 --> 00:01:38.260]   the possible origins of ADHD in both kids and adults,
[00:01:38.260 --> 00:01:40.520]   and both the behavioral and drug treatments
[00:01:40.520 --> 00:01:42.560]   and non-prescription approaches
[00:01:42.560 --> 00:01:45.240]   to overcoming brain fog and focus challenges.
[00:01:45.240 --> 00:01:46.580]   So by the end of today's episode,
[00:01:46.580 --> 00:01:48.680]   you'll be armed with a ton of new knowledge,
[00:01:48.680 --> 00:01:51.760]   and you'll have a lot of practical tools you can apply.
[00:01:51.760 --> 00:01:52.760]   Before we begin,
[00:01:52.760 --> 00:01:54.600]   I'd like to emphasize that this podcast
[00:01:54.600 --> 00:01:57.220]   is separate from my teaching and research roles at Stanford.
[00:01:57.220 --> 00:01:59.360]   It is, however, part of my desire and effort
[00:01:59.360 --> 00:02:01.980]   to bring zero cost to consumer information about science
[00:02:01.980 --> 00:02:04.480]   and science-related tools to the general public.
[00:02:04.480 --> 00:02:05.760]   In keeping with that theme,
[00:02:05.760 --> 00:02:08.160]   this episode does include sponsors.
[00:02:08.160 --> 00:02:11.480]   And now for my discussion with Dr. John Cruz.
[00:02:11.480 --> 00:02:13.840]   Dr. John Cruz, welcome.
[00:02:13.840 --> 00:02:15.680]   - I'm glad to be here today.
[00:02:15.680 --> 00:02:17.640]   - Let's talk about ADHD,
[00:02:17.640 --> 00:02:20.640]   and probably best if we start off
[00:02:20.640 --> 00:02:24.560]   by just kind of laying out what it is,
[00:02:24.560 --> 00:02:28.440]   is the H is the hyperactivity component always in there,
[00:02:28.440 --> 00:02:30.440]   childhood ADHD, adult ADHD,
