
[00:00:00.640 --> 00:00:22.320]   So yeah, I'm Tom. I lead the engineering team at Linear, and today I would love to talk to you a
[00:00:22.320 --> 00:00:28.240]   bit about our story with AI, how we think about AI as a company, some of the features we've built,
[00:00:28.240 --> 00:00:34.080]   and then how we see software development going from here and perhaps Linear's place in that future.
[00:00:34.080 --> 00:00:43.600]   So just for anybody that hasn't heard of Linear in the room that you might not be familiar,
[00:00:43.600 --> 00:00:48.560]   so Linear is a product development tool. It's disguised as an issue tracker, we like to say.
[00:00:48.560 --> 00:00:56.800]   We've spent the last five years obsessing over the speed, clarity, removing friction, making it just
[00:00:56.800 --> 00:01:05.360]   the best tool for ICs to use to work every day. So yeah, it started as a simple tracker, and now we
[00:01:05.360 --> 00:01:11.920]   think of it as an operating system for engineering and product teams to build their products. And
[00:01:11.920 --> 00:01:20.080]   we're used by OpenAI, Ramp, Vasell, thousands of other modern software companies you've heard of
[00:01:20.880 --> 00:01:29.440]   and use Linear to kind of keep track of their work. So just a little bit of history of our AI
[00:01:29.440 --> 00:01:39.920]   journey, as it were. We spun up an internal Skunkworks team in early 2023, which I think was about GPT-3,
[00:01:39.920 --> 00:01:48.240]   if I remember rightly. Our initial focus was on kind of summarization, some similarity. We were looking at
[00:01:48.240 --> 00:01:54.960]   embeddings. Nobody on the team had any AI experience, so we're just kind of jumping in and figuring it out
[00:01:54.960 --> 00:02:00.480]   as we go. One of the things we realized really quickly was that many of the features that we needed
[00:02:00.480 --> 00:02:06.720]   to build needed a really solid search foundation. Almost everything you need to first find the
[00:02:06.720 --> 00:02:11.920]   relevant stuff, right? So we had Elasticsearch at that time, and they didn't have a very good vector
[00:02:11.920 --> 00:02:17.360]   offering. I think maybe they actually didn't have no vector offering back in 2023. So we looked around,
[00:02:17.360 --> 00:02:21.840]   and this was kind of a moment where there was like a hundred startups suddenly came out with vector
[00:02:21.840 --> 00:02:26.480]   databases, right? I was like, there's Pinecone, there was this, there was that. And so we looked at these,
[00:02:26.480 --> 00:02:32.960]   we evaluated a few. They all had a ton of trade-offs. And so we literally just ended up after experimenting
[00:02:32.960 --> 00:02:38.480]   with a bunch of things, and we had like OpenAI embeddings, and we stored them in PGVector, and we put the PGVector
[00:02:38.480 --> 00:02:45.600]   on GCP, and it was like the most classic linear decision ever because it was so pragmatic and just used
[00:02:45.600 --> 00:02:51.520]   the solid things. So on that base, we shipped some features, right? We shipped a V1 of
[00:02:51.520 --> 00:02:56.720]   similar issues where we're kind of suggesting related issues. This was like, in hindsight,
