
[00:00:00.000 --> 00:00:01.380]   Hello, everybody.
[00:00:01.380 --> 00:00:03.440]   It's Sam from Financial Samurai.
[00:00:03.440 --> 00:00:09.120]   And finally, at long last, two and a half years later, the book Buy This, Not That,
[00:00:09.120 --> 00:00:12.280]   How to Spend Your Way to Wealth and Freedom is out.
[00:00:12.280 --> 00:00:13.280]   Hooray!
[00:00:13.280 --> 00:00:14.280]   Woohoo!
[00:00:14.280 --> 00:00:20.560]   So I have with me my wife, Sini, who has been with me on this journey since the very beginning.
[00:00:20.560 --> 00:00:24.640]   She has edited and reviewed the book multiple times.
[00:00:24.640 --> 00:00:28.040]   How many times would you say you have read the book?
[00:00:28.040 --> 00:00:32.160]   We went through it about four different times during the whole process.
[00:00:32.160 --> 00:00:38.560]   Right, four different times, and it's a 300-page book, about 110,000 words.
[00:00:38.560 --> 00:00:44.480]   So it was a long, long process, but I truly believe Buy This, Not That will be the best
[00:00:44.480 --> 00:00:47.480]   personal finance book anybody can ever read.
[00:00:47.480 --> 00:00:48.480]   What do you think?
[00:00:48.480 --> 00:00:49.480]   Oh, totally.
[00:00:49.480 --> 00:00:50.480]   It is.
[00:00:50.480 --> 00:00:55.840]   It's an incredible feat and accomplishment that you have put together.
[00:00:55.840 --> 00:00:56.840]   We have put together.
[00:00:56.840 --> 00:01:02.200]   Well, you did, obviously, the bulk of the work with all the writing.
[00:01:02.200 --> 00:01:08.080]   And I'm glad I was able to contribute to helping with the editing process and fact-checking
[00:01:08.080 --> 00:01:13.300]   and looking at numbers and formulas and all that stuff throughout the book.
[00:01:13.300 --> 00:01:16.160]   It was an incredible learning experience.
[00:01:16.160 --> 00:01:18.720]   I know you definitely feel the same.
[00:01:18.720 --> 00:01:19.720]   Yeah.
[00:01:19.720 --> 00:01:20.720]   And congratulations.
[00:01:20.720 --> 00:01:21.720]   Made it!
[00:01:21.720 --> 00:01:22.720]   We made it.
[00:01:22.720 --> 00:01:23.720]   Woohoo!
[00:01:23.720 --> 00:01:24.720]   And here's something interesting, folks.
[00:01:24.720 --> 00:01:26.880]   We went through so many revisions.
[00:01:26.880 --> 00:01:33.760]   I would say a couple dozen revisions, and each revision was more polishing, getting
[00:01:33.760 --> 00:01:38.840]   better, more inclusive, thinking about new ideas, thinking about things we missed.
[00:01:38.840 --> 00:01:46.120]   And despite all the editing, all the grammatical error changes, the formula fixing and all
[00:01:46.120 --> 00:01:52.120]   that, there are still some errors in the first edition of Buy This, Not That.
[00:01:52.120 --> 00:01:53.920]   Yes, it's true indeed.
[00:01:53.920 --> 00:01:58.320]   It was crazy because I was, you know, after I sent my last pass, which is supposed to
[00:01:58.320 --> 00:02:03.040]   be the last, last pass where we don't get anything back, it goes to the copy editors,
[00:02:03.040 --> 00:02:05.100]   they polish it some more.
[00:02:05.100 --> 00:02:07.000]   About a month later, I was like, "You know what?
[00:02:07.000 --> 00:02:09.880]   I'm going to go read the book again in the hot tub."
[00:02:09.880 --> 00:02:13.640]   And I was reading the book, and I was like, "Wait a minute.
[00:02:13.640 --> 00:02:14.760]   What's up with this spelling error?"
[00:02:14.760 --> 00:02:19.600]   And the spelling error was made four times in four subtitles.
[00:02:19.600 --> 00:02:21.760]   You may or may not find it.
[00:02:21.760 --> 00:02:22.920]   And I was totally bummed.
[00:02:22.920 --> 00:02:27.160]   I was like, "What was the point of spending dozens of hours?"
[00:02:27.160 --> 00:02:28.160]   I know.
[00:02:28.160 --> 00:02:29.160]   It's tough.
[00:02:29.160 --> 00:02:30.160]   It's tough.
[00:02:30.160 --> 00:02:31.160]   And it's hard when there's so many people involved.
[00:02:31.160 --> 00:02:36.200]   And publishers have a system, a way that they do things for a good reason.
[00:02:36.200 --> 00:02:38.680]   You know, they've been doing it for decades and decades.
[00:02:38.680 --> 00:02:46.280]   And it was a new process to us, and we sent through, you know, a lot of fine-tuning in
[00:02:46.280 --> 00:02:49.280]   the last time that we touched the book.
[00:02:49.280 --> 00:02:53.120]   And there were some changes that happened between that time and when it actually went
[00:02:53.120 --> 00:02:54.120]   to print.
[00:02:54.120 --> 00:02:58.800]   And we didn't get to see the final final before it went to print.
[00:02:58.800 --> 00:03:05.520]   And somewhere along the line, there were some goofs that happened in that last bit.
[00:03:05.520 --> 00:03:08.360]   And it's just what happens.
[00:03:08.360 --> 00:03:12.600]   It seems to be very common with any book that goes to print.
[00:03:12.600 --> 00:03:18.040]   So true to Financial Samurai fashion, we always look at silver linings.
[00:03:18.040 --> 00:03:23.720]   Silver linings, when bad things happen, we think, "Ah, thank God I didn't break my ankle
[00:03:23.720 --> 00:03:25.920]   when I sprained my ankle.
[00:03:25.920 --> 00:03:28.720]   Thank God I didn't drive off a cliff and I just blew a tire."
[00:03:28.720 --> 00:03:30.640]   You know, just think about the positives.
[00:03:30.640 --> 00:03:34.280]   And the one positive that I thought, it's actually a huge positive because I've been
[00:03:34.280 --> 00:03:41.840]   a collector of awesome things like Chinese coins, baseball cards, comics, and rare books,
[00:03:41.840 --> 00:03:48.720]   is that a first edition book that becomes a bestseller, which I believe Buy This, Not
[00:03:48.720 --> 00:03:52.240]   That, will become – it's actually already an Amazon number one bestseller in the retirement
[00:03:52.240 --> 00:03:53.800]   planning category.
[00:03:53.800 --> 00:04:02.280]   But first edition bestsellers with errors actually are more valuable on the secondary
[00:04:02.280 --> 00:04:03.280]   collector's market.
[00:04:03.280 --> 00:04:04.280]   Yeah.
[00:04:04.280 --> 00:04:07.280]   I mean, there's this one – I was doing some research for this post and it was called
[00:04:07.280 --> 00:04:09.240]   like the Upside Down Jenny Stamp.
[00:04:09.240 --> 00:04:10.480]   It was like an old plain.
[00:04:10.480 --> 00:04:13.840]   It was just printed upside down and it sold for over a million dollars.
[00:04:13.840 --> 00:04:14.840]   Yeah.
[00:04:14.840 --> 00:04:20.760]   It's a classic collectible that's known for being printed funny.
[00:04:20.760 --> 00:04:21.760]   Yeah.
[00:04:21.760 --> 00:04:27.040]   So Buy This, Not That first edition has just a small spelling error but it is still an
[00:04:27.040 --> 00:04:29.560]   error so I will embrace it.
[00:04:29.560 --> 00:04:34.640]   And I think less than – maybe about 15,000 first edition copies will be sold in the United
[00:04:34.640 --> 00:04:36.000]   States.
[00:04:36.000 --> 00:04:41.400]   And what I'm going to do is I'm going to sign and have a special stamp.
[00:04:41.400 --> 00:04:42.400]   Nobody else has this stamp.
[00:04:42.400 --> 00:04:46.280]   I'm going to have this special stamp and I'm going to sign and special stamp less
[00:04:46.280 --> 00:04:48.840]   than 300 copies.
[00:04:48.840 --> 00:04:53.760]   So it's kind of going to be like the golden ticket in the Willy Wonka factory where if
[00:04:53.760 --> 00:04:59.520]   you can get your hands on one of this signed and special stamped version, it could be worth
[00:04:59.520 --> 00:05:01.200]   a lot of money in the future.
[00:05:01.200 --> 00:05:02.200]   Who knows?
[00:05:02.200 --> 00:05:03.200]   Yeah.
[00:05:03.200 --> 00:05:04.200]   All right.
[00:05:04.200 --> 00:05:10.040]   So writing and editing a book over two years is one level of hardness.
[00:05:10.040 --> 00:05:13.760]   I would say it's, I don't know, 10 out of 10 in terms of level of hardness.
[00:05:13.760 --> 00:05:16.280]   How would you – what would you think?
[00:05:16.280 --> 00:05:17.840]   How hard is it to write a book you think?
[00:05:17.840 --> 00:05:23.800]   Well, I didn't do the writing so I would – I can't give a complete answer but based
[00:05:23.800 --> 00:05:28.360]   on the amount of work that you spent writing, I would say definitely 10 out of 10.
[00:05:28.360 --> 00:05:34.600]   The editing process was intense to say the least just due to the volume.
[00:05:34.600 --> 00:05:38.280]   The back and forth, literally probably a thousand plus emails.
[00:05:38.280 --> 00:05:39.280]   Yeah.
[00:05:39.280 --> 00:05:42.080]   There were a lot of questions that we were answering back and forth.
[00:05:42.080 --> 00:05:45.200]   It wasn't just me doing the editing.
[00:05:45.200 --> 00:05:48.720]   Obviously, there's a whole team at Portfolio that was doing it.
[00:05:48.720 --> 00:05:55.720]   I was just assisting and it's an intense process to edit an entire book.
[00:05:55.720 --> 00:05:56.960]   It really is.
[00:05:56.960 --> 00:05:58.480]   But you know what's funny?
[00:05:58.480 --> 00:06:05.280]   The marketing, the marketing of the book is even maybe more intense.
[00:06:05.280 --> 00:06:06.280]   Different type of intense.
[00:06:06.280 --> 00:06:09.080]   It's actually – it's really difficult, folks.
[00:06:09.080 --> 00:06:14.160]   So I started marketing Buy This, Not That three and a half months before July 19th,
[00:06:14.160 --> 00:06:16.360]   the release date.
[00:06:16.360 --> 00:06:21.200]   What happens is you put your hopes and dreams of the book, everything you have into this
[00:06:21.200 --> 00:06:26.200]   book, you think it's the best thing you've ever created and it's been polished and
[00:06:26.200 --> 00:06:31.480]   looked over dozens of times by five, six people, right?
[00:06:31.480 --> 00:06:35.680]   And then so because you have worked so hard and you believe so much in the book, you want
