
[00:00:00.000 --> 00:00:14.520]   All right. Welcome, everybody. I was asked to talk about tool use and some of them changes
[00:00:14.520 --> 00:00:21.400]   to our new models that have made them better at using tools. And so I decided to use this
[00:00:21.400 --> 00:00:28.120]   opportunity to instead talk about Quadplay's Pokemon, which I made. So I'm David. I'm on
[00:00:28.120 --> 00:00:33.940]   our PodAI team here. I'm the creator of Quadplay's Pokemon. And what we are going to do today
[00:00:33.940 --> 00:00:39.220]   is relaunch the stream live together. We're going to talk about it and we're going to have a good
[00:00:39.220 --> 00:00:45.640]   time. Could you flip over to my demo screen, please? All right. I have a button queued up to
[00:00:45.640 --> 00:00:51.300]   my machine in my house in my basement in Seattle, which is running this. And I'm going to hit enter,
[00:00:51.300 --> 00:00:57.080]   but I need help from the crowd to count down from 10 for me to windmill slam this enter button. So
[00:00:57.080 --> 00:01:00.700]   I'm going to start it, but I need all of you to participate. It's very important for the vibes
[00:01:00.700 --> 00:01:19.680]   that are run. 10, 9, 8, 7, 6, 5, 4, 3, 2, 1. Let's go. All right. So I'm here to talk about Quadplay's
[00:01:19.680 --> 00:01:26.600]   Pokemon because there's some new stuff that our models can do that is really exciting and makes
[00:01:26.600 --> 00:01:30.180]   the models better at Pokemon, makes the models better at a lot of things, makes the models better
[00:01:30.180 --> 00:01:33.380]   at being agents. What this is actually going to practically look like, and I'll show some examples
[00:01:33.380 --> 00:01:40.680]   later in some slides I have after we're done, is that our models will learn and adapt and think
[00:01:40.680 --> 00:01:44.680]   differently. So in a minute, we're going to get to the name entry screen. One of my favorite examples I show
[00:01:44.680 --> 00:01:51.140]   later is that. The name entry screen, a notoriously challenging place for Quad. Quad does not quite
[00:01:51.140 --> 00:01:55.440]   understand how cursors move around, and it gets a little bit lost. It's a grid. It gets confused.
[00:01:55.440 --> 00:02:01.620]   One of the things that it's really good at with this extended thinking mode is building a full plan of
[00:02:01.620 --> 00:02:05.820]   where it needs to move, what it needs to do, that thing between tool calls. So in the past, it might
[00:02:05.820 --> 00:02:10.940]   not use that extended thinking, reconsider its assumptions, question itself, figure out the right
[00:02:10.940 --> 00:02:23.000]   answer. In Quad 4, you will see that happen. Another feature we added in this new version of Quad that we
[00:02:23.000 --> 00:02:29.320]   have been asked for a lot is the ability to call multiple tool calls at once. So parallel tool calling
[00:02:29.320 --> 00:02:36.200]   is the other name. In Quad 3.7, it was like frustratingly bad at this. It would only call one tool at any given time.
[00:02:36.200 --> 00:02:42.920]   And what that means for you is practically when you're building an agent, it'll call one tool and then it will wait.
