
[00:00:00.000 --> 00:00:05.500]   [APPLAUSE]
[00:00:05.500 --> 00:00:08.100]   Everyone needs to put their hand up like this
[00:00:08.100 --> 00:00:11.660]   and pat themselves on the back.
[00:00:11.660 --> 00:00:17.780]   Because you guys just showed up at 8 AM on a Sunday
[00:00:17.780 --> 00:00:23.700]   to watch a lawyer speak without a slide deck also.
[00:00:23.700 --> 00:00:27.660]   So Mike, thank you for that introduction.
[00:00:27.660 --> 00:00:30.260]   Everything out there says Jennifer Rosell.
[00:00:30.260 --> 00:00:31.260]   I go by Jenny.
[00:00:31.260 --> 00:00:34.980]   You'll learn that I'm a pretty informal person.
[00:00:34.980 --> 00:00:40.180]   And y'all just have to bear with me without my slideshow.
[00:00:40.180 --> 00:00:42.780]   So like Mike said, I am an owner and attorney
[00:00:42.780 --> 00:00:44.060]   at Indiana State and Elder Law.
[00:00:44.060 --> 00:00:47.900]   Do I have any Indiana folks in the room?
[00:00:47.900 --> 00:00:51.060]   Oh, like one, two?
[00:00:51.060 --> 00:00:53.180]   We're so close, guys.
[00:00:53.180 --> 00:00:56.740]   Well, it's nice to see some Hoosiers in the audience.
[00:00:56.740 --> 00:01:03.620]   So as the firm name signals, all I do is estate and elder law.
[00:01:03.620 --> 00:01:09.220]   So this is what I live and breathe every single day.
[00:01:09.220 --> 00:01:13.060]   Also, as Mike mentioned, if you're a podcast person,
[00:01:13.060 --> 00:01:15.620]   I think podcasts are kind of a love-hate thing.
[00:01:15.620 --> 00:01:17.220]   You either love them, or you're like,
[00:01:17.220 --> 00:01:20.380]   I don't even know how to listen to them.
[00:01:20.380 --> 00:01:22.220]   Please feel free to check out my podcast.
[00:01:22.220 --> 00:01:23.500]   It's Legal Tea.
[00:01:23.500 --> 00:01:26.740]   And I do a ton of different content,
[00:01:26.740 --> 00:01:29.860]   but my favorite ones are celebrity estate planning.
[00:01:29.860 --> 00:01:33.220]   They are notoriously terrible at estate planning.
[00:01:33.220 --> 00:01:35.020]   So if you kind of like that sort of stuff,
[00:01:35.020 --> 00:01:37.100]   I think you'll enjoy it.
[00:01:37.100 --> 00:01:41.580]   So when I was preparing for this presentation,
[00:01:41.580 --> 00:01:45.140]   I really wanted to start with, what
[00:01:45.140 --> 00:01:49.140]   is that term estate planning even mean?
[00:01:49.140 --> 00:01:52.620]   Because I think that estate planning
[00:01:52.620 --> 00:01:56.260]   is kind of thrown around by different professionals,
[00:01:56.260 --> 00:01:58.020]   not wrongly.
[00:01:58.020 --> 00:02:00.700]   But what I mean by that is there's
[00:02:00.700 --> 00:02:03.620]   plenty of attorneys that do estate planning.
[00:02:03.620 --> 00:02:07.620]   Financial advisors will state that they do estate planning.
[00:02:07.620 --> 00:02:11.260]   Tax professionals will state that they do estate planning.
[00:02:11.260 --> 00:02:15.220]   My session today is from the lawyer's perspective.
[00:02:15.220 --> 00:02:19.820]   All of us do estate planning, because what estate planning is
[00:02:19.820 --> 00:02:24.820]   is really managing your assets from a place of what
[00:02:24.820 --> 00:02:30.100]   your goals are, kind of join that with your family
[00:02:30.100 --> 00:02:34.980]   structure, and what your age is, the types of assets.
[00:02:34.980 --> 00:02:38.140]   So all of these professionals do estate planning.
[00:02:38.140 --> 00:02:41.780]   But this session today, like my joke at the beginning,
[00:02:41.780 --> 00:02:43.420]   is from the lawyer's perspective,
[00:02:43.420 --> 00:02:48.580]   which is really about the documents that support us
[00:02:48.580 --> 00:02:54.180]   in the event of incapacity or in the event of we pass away.
[00:02:54.180 --> 00:02:56.780]   So not only did you guys show up to hear a lawyer talk
[00:02:56.780 --> 00:03:00.620]   about estate planning, but now it's 8 AM lawyer
[00:03:00.620 --> 00:03:02.580]   and talking about incapacity and death.
[00:03:02.580 --> 00:03:08.740]   So OK, so really getting to the meat and potatoes
[00:03:08.740 --> 00:03:09.660]   of this presentation.
[00:03:09.660 --> 00:03:14.460]   So when I think of that term, estate planning,
[00:03:14.460 --> 00:03:21.540]   there are four themes or things as part of estate planning
[00:03:21.540 --> 00:03:24.420]   that I consider the core four.
[00:03:24.420 --> 00:03:27.020]   And I'm going to go through each one of them
[00:03:27.020 --> 00:03:30.380]   kind of thoroughly and strategically.
[00:03:30.380 --> 00:03:35.100]   So oh, you're playing with my heart, tech people.
[00:03:35.100 --> 00:03:39.940]   I'm going to go through each one.
[00:03:39.940 --> 00:03:42.980]   So you guys should look at these core four
[00:03:42.980 --> 00:03:47.700]   as like really the basic ground level estate plan.
[00:03:47.700 --> 00:03:50.180]   So if you have embarked on an estate plan,
[00:03:50.180 --> 00:03:55.820]   these are kind of the four that are like your very basic plan.
[00:03:55.820 --> 00:03:58.980]   But if you have not embarked on any estate planning,
[00:03:58.980 --> 00:04:00.940]   these are going to be the kind of the starter
[00:04:00.940 --> 00:04:03.620]   package, so to speak.
[00:04:03.620 --> 00:04:08.380]   So first and foremost is advanced directives.
[00:04:08.380 --> 00:04:12.820]   And I'm going to say kind of slash living will declaration.
[00:04:12.820 --> 00:04:18.500]   So these kinds of documents are specifically
[00:04:18.500 --> 00:04:22.140]   for health care decisions.
[00:04:22.140 --> 00:04:25.900]   And more specifically, when we start talking about like end
