
[00:00:00.000 --> 00:00:04.000]   (music)
[00:00:04.000 --> 00:00:08.000]   God loves to work for those who wait for him.
[00:00:08.000 --> 00:00:13.000]   So how do we wait for God? Does waiting for God mean that we don't act?
[00:00:13.000 --> 00:00:16.000]   And when do we stop waiting and start acting?
[00:00:16.000 --> 00:00:23.000]   Those are really important questions and they were addressed in Pastor John's sermon on Isaiah 64, verses 1-4.
[00:00:23.000 --> 00:00:28.000]   In a sermon he preached way back in 1982.
[00:00:28.000 --> 00:00:30.000]   Here's what he said.
[00:00:30.000 --> 00:00:33.000]   In one sense God works for everybody.
[00:00:33.000 --> 00:00:37.000]   He makes that sun rise on the just and the unjust.
[00:00:37.000 --> 00:00:40.000]   He sends rain on the good and the evil.
[00:00:40.000 --> 00:00:45.000]   He brings seed time and harvest even for his rebellious creatures.
[00:00:45.000 --> 00:00:51.000]   God does work for all his creatures and all of this is meant to lead us to repentance.
[00:00:51.000 --> 00:00:59.000]   But in our text the work referred to is not that common grace given to all,
[00:00:59.000 --> 00:01:05.000]   but a special grace that is given to those who have a certain disposition.
[00:01:05.000 --> 00:01:17.000]   No eye has seen a God besides thee who works for those who wait, who wait for him.
[00:01:17.000 --> 00:01:22.000]   The work mentioned here clearly is not just the work of creation and preservation.
[00:01:22.000 --> 00:01:26.000]   It's not just the meeting of a few natural needs that he does for everybody.
[00:01:26.000 --> 00:01:33.000]   Rather it's the investment of all God's infinite sovereign power
[00:01:33.000 --> 00:01:37.000]   to do everything his people need to have done for their good.
[00:01:37.000 --> 00:01:43.000]   And for whom does he do it? He does it for those who wait for him.
[00:01:43.000 --> 00:01:51.000]   So the biggest question for us right now is, "What's that? How do you do that?"
[00:01:51.000 --> 00:01:57.000]   And I want to try to show you from Isaiah how you wait for the Lord.
[00:01:57.000 --> 00:02:01.000]   The people to whom Isaiah is talking are in trouble.
[00:02:01.000 --> 00:02:04.000]   They're in danger from enemies.
[00:02:04.000 --> 00:02:07.000]   Assyrians once, then Babylonians.
[00:02:07.000 --> 00:02:14.000]   Now, the danger that God sees is not so much the Assyrians and the Babylonians,
[00:02:14.000 --> 00:02:21.000]   but the temptation to run to Egypt for help instead of to God.
[00:02:21.000 --> 00:02:23.000]   Instead of waiting for God's help,
[00:02:23.000 --> 00:02:27.000]   he sees the temptation looming large that they're going to go after human help.
[00:02:27.000 --> 00:02:30.000]   And so he says in Isaiah 31.1,
[00:02:30.000 --> 00:02:35.000]   "Woe to those who go down to Egypt for help and rely on horses,
[00:02:35.000 --> 00:02:39.000]   who trust in chariots because they are many,
[00:02:39.000 --> 00:02:42.000]   or in horsemen because they are very strong,
[00:02:42.000 --> 00:02:50.000]   but do not look to the Holy One of Israel or consult the Lord."
[00:02:50.000 --> 00:02:54.000]   So the first thing that waiting on God means is,
[00:02:54.000 --> 00:02:59.000]   before you make one peep of an effort to solve your own problem
[00:02:59.000 --> 00:03:04.000]   or hire a human agency, pray.
[00:03:04.000 --> 00:03:08.000]   Seek the counsel of God.
[00:03:08.000 --> 00:03:14.000]   What is His way to solve this problem and bring you out of trouble?
[00:03:14.000 --> 00:03:17.000]   It says in Psalm 106.13,
[00:03:17.000 --> 00:03:24.000]   "They soon forgot His works; they did not wait for His counsel."
[00:03:24.000 --> 00:03:28.000]   The first act of waiting, therefore, is prayer.
[00:03:28.000 --> 00:03:33.000]   Before we make one little move to solve our problem.
[00:03:33.000 --> 00:03:37.000]   And I know if you're like me, you've come through many efforts.
[00:03:37.000 --> 00:03:41.000]   And an hour into it, you say, "I forgot to pray."
[00:03:41.000 --> 00:03:48.000]   And we need to work to form the habit of stopping again and again and again.
[00:03:48.000 --> 00:03:51.000]   That's what Paul means, I think, when he says, "Pray without ceasing."
[00:03:51.000 --> 00:03:54.000]   Before you do anything, at every little occasion of your life,
[00:03:54.000 --> 00:03:58.000]   every interview, every encounter, whisper a prayer,
[00:03:58.000 --> 00:04:02.000]   "How would it go if I relied on you? What do you want me to do?"
[00:04:02.000 --> 00:04:05.000]   And then, do what the Lord says.
[00:04:05.000 --> 00:04:07.000]   We are like patients.
[00:04:07.000 --> 00:04:11.000]   Prayer is like getting on the phone and calling up your doctor and saying,
[00:04:11.000 --> 00:04:15.000]   "I'm in trouble. There's this pain. What should I do about it?"
[00:04:15.000 --> 00:04:19.000]   Before you gulp down any medicine or start doing jumping jacks,
