
[00:00:00.000 --> 00:00:04.080]   Welcome to lesson 12.
[00:00:04.080 --> 00:00:06.560]   Wow, we're moving along.
[00:00:06.560 --> 00:00:11.400]   And this is an exciting lesson because it's where we're going to wrap up all the pieces
[00:00:11.400 --> 00:00:14.000]   both for computer vision and for NLP.
[00:00:14.000 --> 00:00:17.760]   And you might be surprised to hear that we're going to wrap up all the pieces for NLP because
[00:00:17.760 --> 00:00:19.600]   we haven't really done any NLP yet.
[00:00:19.600 --> 00:00:24.560]   But actually everything we've done is equally applicable to NLP.
[00:00:24.560 --> 00:00:32.080]   So there's very little to do to get a state-of-the-art result on IMDB sentiment analysis from scratch.
[00:00:32.080 --> 00:00:34.200]   So that's what we're going to do.
[00:00:34.200 --> 00:00:38.960]   Before we do, let's finally finish off this slide we've been going through for three lessons
[00:00:38.960 --> 00:00:39.960]   now.
[00:00:39.960 --> 00:00:45.180]   I promised, not promised, that we would get something state-of-the-art on ImageNet.
[00:00:45.180 --> 00:00:46.180]   Turns out we did.
[00:00:46.180 --> 00:00:48.000]   So you're going to see that today.
[00:00:48.000 --> 00:00:55.200]   So we're going to finish off, mix up, label smoothing, and resnets.
[00:00:55.200 --> 00:00:58.600]   Okay, so let's do it.
[00:00:58.600 --> 00:01:06.840]   Before we look at the new stuff, 09B learner.
[00:01:06.840 --> 00:01:11.240]   I've made a couple of minor changes that I thought you might be interested in.
[00:01:11.240 --> 00:01:12.680]   It's kind of like as you refactor things.
[00:01:12.680 --> 00:01:17.280]   So remember last week we refactored the learner to get rid of that awful separate runner.
[00:01:17.280 --> 00:01:20.280]   So there's just now one thing, made a lot of our code a lot easier.
[00:01:20.280 --> 00:01:25.320]   There's still this concept left behind that when you started fitting, you had to tell
[00:01:25.320 --> 00:01:28.400]   each callback what its learner or runner was.
[00:01:28.400 --> 00:01:36.240]   I've moved that, because they're all totally attached now, I've moved that to the init.
[00:01:36.240 --> 00:01:42.600]   And so now you can call add cbs to add a whole bunch of callbacks, or add cb to add one callback.
[00:01:42.600 --> 00:01:45.220]   And that happens automatically at the start of training.
[00:01:45.220 --> 00:01:46.960]   That's a very minor thing.
[00:01:46.960 --> 00:01:53.920]   More interesting was when I did this little reformatting exercise where I took all these
