
[00:00:00.000 --> 00:00:01.520]   Let's talk about the sweaters, okay?
[00:00:01.520 --> 00:00:04.000]   David, let's start with you, because I love it.
[00:00:04.000 --> 00:00:04.840]   I love it.
[00:00:04.840 --> 00:00:05.160]   David.
[00:00:05.160 --> 00:00:06.680]   I f***ing love that sweater.
[00:00:06.680 --> 00:00:08.740]   I decided to up my sweater game for Chamath.
[00:00:08.740 --> 00:00:09.580]   This is Tom Ford.
[00:00:09.580 --> 00:00:10.500]   I love it.
[00:00:10.500 --> 00:00:11.220]   Tom Ford.
[00:00:11.220 --> 00:00:11.920]   Tom Ford.
[00:00:11.920 --> 00:00:14.860]   The buttons are made out of endangered rhino horn.
[00:00:14.860 --> 00:00:18.960]   We just lost a third of the audience.
[00:00:18.960 --> 00:00:25.240]   So my sweater is a very light Italian cashmere made by a company called Doriani.
[00:00:25.240 --> 00:00:26.360]   Doriani cashmere.
[00:00:27.920 --> 00:00:30.040]   I thought we weren't doing plugs for our startups.
[00:00:30.040 --> 00:00:31.800]   This is how we're monetizing the all-in pod.
[00:00:31.800 --> 00:00:32.520]   Here we go.
[00:00:32.520 --> 00:00:34.080]   Doriani cashmere just got a free.
[00:00:34.080 --> 00:00:37.560]   This right here is a little young calf leather.
[00:00:37.560 --> 00:00:38.760]   Very soft.
[00:00:38.760 --> 00:00:39.500]   Very soft.
[00:00:39.500 --> 00:00:44.020]   And the buttons, like David's, are made from shark fin.
[00:00:44.020 --> 00:00:49.420]   And for those of you at home who would like to spend $150 and stay warm,
[00:00:49.420 --> 00:00:51.200]   may I recommend the marine layer?
[00:00:51.200 --> 00:00:53.660]   You can find it on Union Street Jacket.
[00:00:53.660 --> 00:00:56.940]   You can also find that jacket on Turk Street?
[00:00:56.940 --> 00:01:00.900]   How tilted is Sweater Karen listening to this?
[00:01:00.900 --> 00:01:04.200]   Sweater Karen, if you're listening, I mean, you must be.
[00:01:04.200 --> 00:01:04.880]   I will never reveal.
[00:01:04.880 --> 00:01:08.260]   Sweater Karen got back to me and she was like, oh my God, he's so tilted.
[00:01:08.260 --> 00:01:09.880]   I think I know who she is.
[00:01:09.880 --> 00:01:11.960]   Sweater Karen can kiss my brown ass.
[00:01:11.960 --> 00:01:14.200]   So Jade comes home last night.
[00:01:14.200 --> 00:01:14.760]   I kid you not.
[00:01:14.760 --> 00:01:17.020]   She's like, I don't like you in the t-shirts.
[00:01:17.020 --> 00:01:18.500]   I got you some sweaters.
[00:01:18.500 --> 00:01:21.440]   And I was, you know, we're going to the mountains for the holiday.
[00:01:21.440 --> 00:01:23.580]   And I was like, did you watch the podcast about the sweater?
[00:01:23.580 --> 00:01:24.800]   She's like, no, I don't listen to your podcast.
[00:01:24.800 --> 00:01:26.220]   I was like, okay, fair enough.
[00:01:26.220 --> 00:01:26.300]   I don't like you in the t-shirts.
[00:01:26.300 --> 00:01:26.360]   I don't like you in the t-shirts.
[00:01:26.360 --> 00:01:28.320]   And I'm like, I'm looking at these things.
[00:01:28.320 --> 00:01:29.120]   They're all in these boxes.
[00:01:29.120 --> 00:01:30.260]   And she's got this bunch of sweaters.
[00:01:30.260 --> 00:01:30.680]   I started opening up.
[00:01:30.680 --> 00:01:31.680]   I was like, what did you spend on this?
[00:01:31.680 --> 00:01:33.020]   She said $3,000.
[00:01:33.020 --> 00:01:35.900]   I was like, I'm not comfortable spending $3,000 on a sweater.
[00:01:35.900 --> 00:01:37.000]   That's half a sweater.
[00:01:37.000 --> 00:01:37.980]   Let alone eight of them.
[00:01:37.980 --> 00:01:39.860]   And she goes, no, no, it's $3,000 for all eight.
[00:01:39.860 --> 00:01:41.600]   Yeah, Chamath is like, is that a sleeve?
[00:01:41.600 --> 00:01:44.860]   He's like, it's $3,000 for all eight.
[00:01:44.860 --> 00:01:46.900]   Four buttons and a waistband?
[00:01:46.900 --> 00:01:48.440]   That might be a vest for Chamath.
[00:01:48.440 --> 00:01:53.160]   I think that's the box the sweater came in with $3,000.
[00:01:53.160 --> 00:01:55.460]   So I got my three-quarter zip.
[00:01:55.460 --> 00:01:55.720]   Oh, my God.
[00:01:55.720 --> 00:01:55.780]   Oh, my God.
[00:01:55.780 --> 00:01:55.800]   Oh, my God.
[00:01:55.800 --> 00:01:56.420]   I'm feeling good.
[00:01:56.420 --> 00:01:57.300]   I'm feeling really good.
[00:01:57.300 --> 00:01:58.300]   I feel pretty sexy in it.
[00:01:58.300 --> 00:01:58.840]   I'll be honest.
[00:01:58.840 --> 00:02:01.640]   Let your winners ride.
[00:02:01.640 --> 00:02:04.520]   Rain Man, David Sack.
[00:02:04.520 --> 00:02:08.180]   And it's said.
[00:02:08.180 --> 00:02:09.740]   We open source it to the fans.
[00:02:09.740 --> 00:02:11.300]   And they've just gone crazy with it.
[00:02:11.300 --> 00:02:11.880]   Love you, man.
[00:02:11.880 --> 00:02:12.100]   Nice.
[00:02:12.100 --> 00:02:13.600]   Queen of Kinwa.
[00:02:13.600 --> 00:02:15.400]   I'm going all in.
[00:02:15.400 --> 00:02:16.400]   Hey, everybody.
[00:02:16.400 --> 00:02:16.760]   Hey, everybody.
[00:02:16.760 --> 00:02:18.800]   Welcome to the All In Podcast.
[00:02:18.800 --> 00:02:19.500]   Yes.
[00:02:19.500 --> 00:02:25.120]   Breaking into the top 50 podcasts week after week because of you,
[00:02:25.240 --> 00:02:27.420]   the amazing audience telling your friends about the pod.
[00:02:27.420 --> 00:02:28.000]   It's been two weeks.
[00:02:28.000 --> 00:02:29.240]   So it's week and week.
[00:02:29.240 --> 00:02:30.120]   All right.
[00:02:30.120 --> 00:02:31.320]   That's what I said.
