
[00:00:00.000 --> 00:00:01.000]   Welcome, everyone.
[00:00:01.000 --> 00:00:04.000]   This short screencast is an overview of the Lit Review.
[00:00:04.000 --> 00:00:07.000]   We've reached the project phase of this course,
[00:00:07.000 --> 00:00:10.000]   and I think the Lit Review is a really crucial element there.
[00:00:10.000 --> 00:00:13.000]   It's where you begin to build an intellectual foundation
[00:00:13.000 --> 00:00:14.000]   for your project.
[00:00:14.000 --> 00:00:18.000]   Fundamentally, for me, the rationale behind the Lit Review
[00:00:18.000 --> 00:00:20.000]   is about productive dialogue.
[00:00:20.000 --> 00:00:23.000]   We want you to enter into dialogue with your teammates
[00:00:23.000 --> 00:00:25.000]   and with yourself and with your mentors
[00:00:25.000 --> 00:00:27.000]   and with your colleagues.
[00:00:27.000 --> 00:00:30.000]   With your teammates and with yourself and with your mentor
[00:00:30.000 --> 00:00:32.000]   from the teaching team about what you're
[00:00:32.000 --> 00:00:35.000]   going to try to accomplish in the final project.
[00:00:35.000 --> 00:00:37.000]   So you should pose questions.
[00:00:37.000 --> 00:00:41.000]   You should identify obstacles and propose initial workarounds.
[00:00:41.000 --> 00:00:44.000]   You should find data sets and models and architectures
[00:00:44.000 --> 00:00:47.000]   and everything else, and you should think carefully
[00:00:47.000 --> 00:00:49.000]   about your resources.
[00:00:49.000 --> 00:00:52.000]   The idea here is to gather intel from the literature
[00:00:52.000 --> 00:00:55.000]   about what people are doing in your space
[00:00:55.000 --> 00:00:57.000]   and use that information to begin
[00:00:57.000 --> 00:01:02.000]   to carve out an original vision for your own final projects.
[00:01:02.000 --> 00:01:06.000]   The specific requirements are listed at the course website.
[00:01:06.000 --> 00:01:09.000]   You can follow the link at the top of the slide here.
[00:01:09.000 --> 00:01:11.000]   Let me just offer you a brief rundown.
[00:01:11.000 --> 00:01:13.000]   First, it's a roughly six-page document,
[00:01:13.000 --> 00:01:16.000]   and we say eight pages is the max so you don't go overboard,
[00:01:16.000 --> 00:01:20.000]   and that does not include the obligatory references section.
[00:01:20.000 --> 00:01:22.000]   We have a template that you can use.
[00:01:22.000 --> 00:01:25.000]   It's a LaTeX template based in the ACL format.
