
[00:00:00.000 --> 00:00:04.260]   [Music]
[00:00:04.260 --> 00:00:12.880]   [Farsi]
[00:00:12.880 --> 00:00:16.640]   God is most glorified in us when we are most satisfied in Him.
[00:00:16.640 --> 00:00:20.560]   That's what you just heard in Farsi from our friend Mo.
[00:00:20.560 --> 00:00:25.680]   Mo is bringing Desiring God resources to Iran, Afghanistan, and Tajikistan.
[00:00:25.680 --> 00:00:27.440]   Incredible work.
[00:00:27.440 --> 00:00:34.080]   You will want to hear the story in just a minute, but first we get to today's question here on this Wednesday.
[00:00:34.080 --> 00:00:37.520]   What is a good musical worship experience?
[00:00:37.520 --> 00:00:40.800]   That's today's question from a listener to the podcast by the name of Jeff.
[00:00:40.800 --> 00:00:42.240]   Hello, Pastor John.
[00:00:42.240 --> 00:00:48.080]   I know many Christians speak of a good worship experience as one associated with an emotional response,
[00:00:48.080 --> 00:00:54.640]   and I have several relatives that will say a good worship experience is tied to the quality of the music,
[00:00:54.640 --> 00:00:58.160]   how well the musicians sing and performed on stage,
[00:00:58.160 --> 00:01:03.680]   and they will defend popular Christian worship bands who hold to a theology that's a little bit weak,
[00:01:03.680 --> 00:01:09.600]   but defend the songs because of the personal emotional high that they cause.
[00:01:09.600 --> 00:01:15.360]   As a result, my relatives will say things like the worship experience was "very powerful."
[00:01:15.360 --> 00:01:20.000]   We even know of a local church that doesn't allow children in the singing portion
[00:01:20.000 --> 00:01:23.840]   because it distracts from the worship experience.
[00:01:23.840 --> 00:01:26.240]   So my question for you, Pastor John, is this.
[00:01:26.240 --> 00:01:32.640]   What makes for a good musical worship experience?
[00:01:32.640 --> 00:01:36.000]   I put that question to Pastor John in Nashville.
[00:01:36.000 --> 00:01:37.680]   Here he is.
[00:01:37.680 --> 00:01:41.120]   Well, not taking the kids out,
[00:01:41.120 --> 00:01:47.440]   Noel and I wrote an article in our first year or two at Bethlehem
[00:01:47.440 --> 00:01:51.680]   making the case that we will not have a children's church,
[00:01:51.680 --> 00:01:58.000]   but the children will be in worship services after age, I don't know what we chose, three, something like that.
[00:01:58.000 --> 00:02:09.440]   And my argument was where else will a three, four, five, six, seven year old boy, say boy,
[00:02:09.440 --> 00:02:19.440]   learn what the heart of a mature man toward God is if he doesn't see his dad sing,
[00:02:19.440 --> 00:02:24.720]   if he doesn't see his dad pray, if he doesn't see his dad bow down in holy reverence.
[00:02:24.720 --> 00:02:31.600]   And so there's so much more going on in a good experience of worship.
[00:02:31.600 --> 00:02:42.800]   So the other thing that came to my mind when I heard that question was that the word experience is viewed negatively
[00:02:42.800 --> 00:02:47.520]   because it's got connotations of empty emotionalism.
[00:02:47.520 --> 00:02:49.040]   And all that was just an experience.
[00:02:49.040 --> 00:02:52.400]   But the word experience in English is necessary.
[00:02:52.400 --> 00:02:54.560]   I mean, it's a good word.
[00:02:54.560 --> 00:02:56.800]   Worship is an experience.
[00:02:56.800 --> 00:02:57.360]   It is.
[00:02:57.360 --> 00:03:01.840]   And it needs to be fleshed out as what kind of experience it is.
[00:03:01.840 --> 00:03:14.160]   And what makes it good is that there is truth and there is response to that truth in understanding.
