
[00:00:00.040 --> 00:00:22.240]   so thank you everyone we have a very full room today so we'll get started with the repo here in
[00:00:22.240 --> 00:00:26.360]   a second there is a QR code here and then in a couple other slides that all link to the same
[00:00:26.360 --> 00:00:34.400]   place will be using a Python notebook and we'll be doing graph rag with some real data using Neo4j so
[00:00:34.400 --> 00:00:40.760]   it'll be myself I'm Zach and then we have Andreas or ABK in the back who will be helping and then we
[00:00:40.760 --> 00:00:50.040]   have Michael hunger somewhere else in the room who can help answer questions and and Tomaj as well
[00:00:50.040 --> 00:00:58.920]   hello Tomaj back there in the base who can help answer questions as well as we go through so this is an
[00:00:58.920 --> 00:01:03.900]   interactive section session we have only two hours so we're asking to save the big questions to the
[00:01:03.900 --> 00:01:09.480]   end but basically we'll be popping back and forth between the slides and then between hands-on work
[00:01:09.480 --> 00:01:14.580]   inside of a notebook so if you do get stuck with anything raise your hand we'll come over and try to
[00:01:14.580 --> 00:01:20.100]   help you through and try to stick to our schedule as well with around 10 to 15 minutes per each
[00:01:20.100 --> 00:01:25.800]   section and there's about five sections for us to walk through so before we start there's two things
[00:01:25.800 --> 00:01:32.820]   we want to do if you haven't done them already the first thing is we want to create a blank Neo4j graph
[00:01:32.820 --> 00:01:41.340]   data science sandbox this is going to be at sandbox.neo4j.com so basically what you're going to do if I go ahead and click this link
[00:01:41.340 --> 00:01:50.520]   you might have to create an account really quickly on this page and then you're going to click for data science here and then it's going to be this if you can see
[00:01:50.520 --> 00:01:59.100]   this blank graph data science thing here so you're going to click on that blank sandbox graph data science
[00:01:59.100 --> 00:02:10.940]   and then your that will create an instance for you and it should come up with username and password that you're going to use inside of the notebook so this will be the database that we'll use throughout the course
[00:02:10.940 --> 00:02:24.040]   the next thing that you're going to do is go to the notebook so the notebook is going to be in this link and also by the way this QR code so I'll go back to that in just a second if you missed it
[00:02:24.040 --> 00:02:34.720]   but before that I just want to show you this GitHub repository and it's gen AI workshop is the notebook so what you're going to want to do is you're going to want to go to this notebook
[00:02:34.720 --> 00:02:46.780]   and then you're going to want to click open in Colab this will require a Google account if you don't have a Google account you can use VS code or you can run it locally that's fine
[00:02:46.780 --> 00:02:58.880]   but then when you go in if you are using Google Colab the internet is a little bit slow so it might take a while for it to load here hopefully once everyone gets settled it will go a little bit faster
[00:02:58.880 --> 00:03:11.780]   but basically what will happen is you just want to go to the top menu and you're basically going to go like file and you're going to save a copy and drive just so that you have the ability to edit it
[00:03:11.780 --> 00:03:19.200]   so you go file and then you say save a copy and drive and then it will create another copy for you
[00:03:19.200 --> 00:03:28.420]   so I'm going to go back to the slide and I'll give everyone a little while to get that all set up
[00:03:28.420 --> 00:03:31.760]   actually too while we're waiting on that
[00:03:31.760 --> 00:03:37.340]   15 people can still sit in the front if you don't want to stand in the back so feel free
