
[00:00:00.000 --> 00:00:02.500]   A major resignation now.
[00:00:02.500 --> 00:00:05.040]   An editor at the New York Times.
[00:00:05.040 --> 00:00:09.360]   Showing up for work as a centrist that an American newspaper should not require bravery.
[00:00:09.360 --> 00:00:12.800]   She's saying no one should be allowed to criticize me.
[00:00:12.800 --> 00:00:14.640]   They thought them very wise.
[00:00:14.640 --> 00:00:18.960]   Anyone that departs from woke orthodoxy gets a lot more heat.
[00:00:18.960 --> 00:00:23.840]   A new consensus has emerged in the press, but perhaps especially at this paper.
[00:00:23.840 --> 00:00:28.560]   If you don't have the right views, everything is caveated, edited,
[00:00:28.560 --> 00:00:31.200]   tripled, quadrupled the amount of crimes.
[00:00:31.200 --> 00:00:36.880]   Should it take courage to say that those who praise the pristine subways of Russia
[00:00:36.880 --> 00:00:39.840]   are not journalists, but propagandists?
[00:00:39.840 --> 00:00:44.480]   Should it take courage to just say in public, "I disagree"?
[00:00:44.480 --> 00:00:50.560]   Join me in welcoming Barry Weiss to the stage.
[00:00:56.560 --> 00:00:58.720]   Welcome. Hi, Barry.
[00:00:58.720 --> 00:01:02.240]   Barry, thanks for being here.
[00:01:02.240 --> 00:01:03.200]   Thanks for having me.
[00:01:03.200 --> 00:01:04.160]   Thanks for the cool weather.
[00:01:04.160 --> 00:01:05.040]   Really appreciate it.
[00:01:05.040 --> 00:01:07.840]   Yes, Barry made headlines.
[00:01:07.840 --> 00:01:09.520]   I'm going to give you a little introduction.
[00:01:09.520 --> 00:01:11.200]   Even though most everyone here knows who you are.
[00:01:11.200 --> 00:01:14.160]   But you made headlines in 2020 when you left the New York Times,
[00:01:14.160 --> 00:01:17.520]   criticizing its stance on free speech and diversity of thought.
[00:01:17.520 --> 00:01:19.760]   And since then, you've launched the Free Press.
[00:01:19.760 --> 00:01:20.240]   Congrats.
[00:01:20.240 --> 00:01:22.640]   I know a lot of folks here are subscribers.
[00:01:25.760 --> 00:01:29.520]   And the Free Press declares itself a free press for free people,
[00:01:29.520 --> 00:01:31.360]   honest, independent, and fearless.
[00:01:31.360 --> 00:01:36.560]   I think we all respect and admire you for your fiercely independent thinking
[00:01:36.560 --> 00:01:41.200]   and direct and honest takes on current events and social issues.
[00:01:41.200 --> 00:01:45.200]   We feel like you're a kindred spirit.
[00:01:45.200 --> 00:01:46.560]   Yes, a bestie.
[00:01:46.560 --> 00:01:47.060]   I wish.
[00:01:47.060 --> 00:01:51.040]   This may be an audition.
[00:01:51.040 --> 00:01:51.540]   Let's see.
[00:01:51.540 --> 00:01:54.560]   I don't know if you guys can handle having a woman in a bestie.
[00:01:54.560 --> 00:01:55.360]   I'm not sure.
[00:01:55.360 --> 00:01:56.240]   No, no, we can.
[00:01:56.240 --> 00:01:56.960]   Just not sex.
[00:01:56.960 --> 00:02:05.200]   So look, I want to start with a very broad, general question
[00:02:05.200 --> 00:02:07.200]   that you can take in any direction you want.
[00:02:07.200 --> 00:02:08.720]   What's going on in America?
[00:02:08.720 --> 00:02:10.000]   What are the two sides?
[00:02:10.000 --> 00:02:15.920]   Because it seems like a lot of what has, as we've been hearing a lot about,
[00:02:15.920 --> 00:02:18.240]   and I think we're going to hear more about throughout this conference,
[00:02:18.240 --> 00:02:22.160]   there are polarizing forces at play.
[00:02:22.880 --> 00:02:26.800]   And the polls kind of get defined differently.
[00:02:26.800 --> 00:02:29.520]   But is there a unifying thesis here?
[00:02:29.520 --> 00:02:32.720]   There's the notion of populists and elitists.
[00:02:32.720 --> 00:02:35.360]   Are there elitists that say I'm an elitist?
[00:02:35.360 --> 00:02:37.920]   There's corporate and government folks.
[00:02:37.920 --> 00:02:39.840]   The pocket square says you're an elitist.
[00:02:39.840 --> 00:02:42.080]   Yes, like pockets where it keeps slipping.
[00:02:42.080 --> 00:02:46.000]   There's the conservatives versus the liberals.
[00:02:46.000 --> 00:02:48.400]   I mean, what is the divide in the United States?
[00:02:48.400 --> 00:02:50.320]   And what is causing the polarity?
[00:02:50.320 --> 00:02:52.400]   How would you think about the polarity that's emerged?
[00:02:52.400 --> 00:02:55.040]   I think there's two ways, broadly, that I would answer that.
[00:02:55.040 --> 00:02:59.040]   And obviously, besties push back on me, as I know David Sachs surely will.
[00:02:59.040 --> 00:03:03.760]   One way to think about it, and I think Martin Goury has written about this
[00:03:03.760 --> 00:03:06.960]   absolutely brilliantly in his book, "The Revolt of the Public,"
[00:03:06.960 --> 00:03:09.440]   probably the most important book written in the last 25 years.
[00:03:09.440 --> 00:03:10.400]   Read it.
[00:03:10.400 --> 00:03:12.160]   If you haven't, "Stripe Press," publish it.
[00:03:12.160 --> 00:03:12.960]   Say it again.
[00:03:12.960 --> 00:03:16.320]   Martin Goury's book, it's called "The Revolt of the Public."
[00:03:16.320 --> 00:03:20.480]   And broadly, what he prophesied, without using the words Donald Trump
[00:03:20.480 --> 00:03:24.960]   or BLM or any of the phenomenon that have reshaped American political life
[00:03:24.960 --> 00:03:28.000]   over the past several decades, is the sort of--
[00:03:28.000 --> 00:03:31.680]   call it the renegades versus the establishment
[00:03:31.680 --> 00:03:34.480]   or the outsiders versus the insiders.
[00:03:34.480 --> 00:03:36.880]   If you want to understand how it can be
[00:03:36.880 --> 00:03:41.280]   that Dick Cheney and Kamala Harris are on one side
[00:03:41.280 --> 00:03:44.960]   and Donald Trump and Tulsi Gabbard and Robert F. Kennedy,
[00:03:44.960 --> 00:03:47.360]   whatever you think of any of those people are on the other,
[00:03:47.360 --> 00:03:49.520]   that's how you have to understand that, I think.
[00:03:50.400 --> 00:03:52.880]   Another way that I've been thinking about a lot, though,
[00:03:52.880 --> 00:03:56.000]   is sort of like there are three sides that I see that are emerging.
[00:03:56.000 --> 00:03:58.800]   And I think the free press is trying to position itself
[00:03:58.800 --> 00:04:04.160]   in what I believe is the broad, self-silencing majority piece of the pie,
[00:04:04.160 --> 00:04:06.560]   which is to say there's a woke left.
[00:04:06.560 --> 00:04:08.480]   There's increasingly a woke right.
[00:04:08.480 --> 00:04:10.480]   And then there's the normal people.
[00:04:10.480 --> 00:04:12.160]   And the normal--
[00:04:12.160 --> 00:04:13.440]   I mean, this is what people come up--
[00:04:13.440 --> 00:04:16.640]   I went to a thing for my daughter's new preschool yesterday,
[00:04:16.640 --> 00:04:18.080]   and there were some free press readers.
[00:04:18.080 --> 00:04:20.960]   And they didn't come up to me to talk about any particular piece.
[00:04:20.960 --> 00:04:23.360]   They just said, "Thank you for being normal."
[00:04:23.360 --> 00:04:26.240]   And normal was the adjective that almost all of them used.
[00:04:26.240 --> 00:04:29.920]   And so I think that that's also something that's happening where,
[00:04:29.920 --> 00:04:34.240]   you know, I'm sure as has already been discussed at this conference,
[00:04:34.240 --> 00:04:37.120]   we have this horseshoe in which the left,
[00:04:37.120 --> 00:04:40.640]   the identitarian sort of anti-liberal left, illiberal left,
[00:04:40.640 --> 00:04:45.520]   sounds eerily similar at times to the illiberalism of the right.
[00:04:45.520 --> 00:04:47.840]   And they sort of are in this dance with each other.
[00:04:47.840 --> 00:04:49.440]   And the rest of us are feeling like,
[00:04:49.440 --> 00:04:52.560]   "When did everything get so crazy?
[00:04:52.560 --> 00:04:54.720]   And is there a return to normalcy?"
[00:04:54.720 --> 00:04:56.400]   And I'm not saying a return to normalcy
[00:04:56.400 --> 00:05:00.800]   in the sense of like returning to some kind of neoliberal consensus.
[00:05:00.800 --> 00:05:06.000]   I just mean a return to the things that I think many of us still believe
[00:05:06.000 --> 00:05:09.600]   are just basic commonsensical American values
[00:05:09.600 --> 00:05:11.200]   that right now feel under siege.
[00:05:11.200 --> 00:05:13.680]   - Let's talk about the media's role in this.
[00:05:13.680 --> 00:05:16.800]   You and I have been career journalists, editors.
[00:05:17.360 --> 00:05:19.920]   And so when we were coming up,
[00:05:19.920 --> 00:05:22.320]   they would take your piece, whatever you wrote,
[00:05:22.320 --> 00:05:23.840]   and they'd just say, "Well, this is an opinion."
[00:05:23.840 --> 00:05:26.160]   They'd strike it out and say, "Who are you attributing this to?"
[00:05:26.160 --> 00:05:28.320]   There was a very thoughtful process.
[00:05:28.320 --> 00:05:32.320]   And then something happened economically with link baiting
[00:05:32.320 --> 00:05:34.640]   and maybe trying to get more clicks.
[00:05:34.640 --> 00:05:39.040]   And then this very strange thing happened when Donald Trump got elected
[00:05:39.040 --> 00:05:40.800]   that I think you and I both witnessed,
[00:05:40.800 --> 00:05:44.720]   which was journalists who were, you know,
[00:05:44.720 --> 00:05:46.800]   thought of themselves as independent.
[00:05:46.800 --> 00:05:50.320]   And storytellers who would just present the facts to an audience
[00:05:50.320 --> 00:05:53.840]   then saw themselves as part of the resistance
[00:05:53.840 --> 00:05:55.920]   and that they had to stop this individual
[00:05:55.920 --> 00:05:58.240]   because they believed he was Hitler.
[00:05:58.240 --> 00:06:00.880]   And the marketing when you went to the Guardian
[00:06:00.880 --> 00:06:03.120]   or the Washington Post or the New York Times,
[00:06:03.120 --> 00:06:06.240]   at the bottom of a Trump story would say,
[00:06:06.240 --> 00:06:08.880]   "If you want us to hold truth to power and stop Trump,
[00:06:08.880 --> 00:06:10.720]   give us your credit card."
[00:06:10.720 --> 00:06:11.440]   - Yeah.
[00:06:11.440 --> 00:06:14.320]   - And this seemed like this bizarre moment.
[00:06:14.960 --> 00:06:17.920]   Maybe you could just talk about that paradigm shifting
[00:06:17.920 --> 00:06:21.680]   because it happened during the economic turmoil as well
[00:06:21.680 --> 00:06:23.200]   when journalism got gutted.
[00:06:23.200 --> 00:06:24.720]   - I think it's deeper than...
[00:06:24.720 --> 00:06:27.680]   The roots of this are deeper than Trump.
[00:06:27.680 --> 00:06:30.400]   We actually have a piece we're running tomorrow afternoon
[00:06:30.400 --> 00:06:32.400]   called "When We Started Lying."
[00:06:32.400 --> 00:06:34.160]   That's sort of a view from someone
[00:06:34.160 --> 00:06:36.560]   that was in the Middle East Bureau of the AP
[00:06:36.560 --> 00:06:40.080]   and seeing the roots of this back in 2005, 2006.
[00:06:40.080 --> 00:06:41.600]   And what that piece argues,
[00:06:41.600 --> 00:06:43.840]   and I think it's exactly put,
[00:06:43.840 --> 00:06:45.440]   is people don't really understand
[00:06:45.440 --> 00:06:48.400]   that the fundamental job description
[00:06:48.400 --> 00:06:50.720]   of mainstream journalism has changed.
[00:06:50.720 --> 00:06:53.920]   It used to be that the job of journalism,
[00:06:53.920 --> 00:06:56.000]   and I still believe that this is the job,
[00:06:56.000 --> 00:06:59.120]   is to hold up a mirror to the world as it actually is
[00:06:59.120 --> 00:07:02.800]   so people can make sensible, rational decisions
[00:07:02.800 --> 00:07:04.320]   about where to send their kids to school,
[00:07:04.320 --> 00:07:06.400]   about where to live, about who to vote for,
[00:07:06.400 --> 00:07:09.200]   about all of the things that are important in this life.
[00:07:09.200 --> 00:07:12.640]   Tell the story about reality as plainly
[00:07:12.640 --> 00:07:13.920]   and as truthfully as you can.
[00:07:13.920 --> 00:07:17.600]   That is plainly no longer the goal,
[00:07:17.600 --> 00:07:19.760]   I think, of many "mainstream,"
[00:07:19.760 --> 00:07:22.480]   I should put in quotes, American journalists.
[00:07:22.480 --> 00:07:24.720]   The job description as they see it
[00:07:24.720 --> 00:07:27.760]   is to usher you toward the correct political position.
[00:07:27.760 --> 00:07:29.120]   That's it.
[00:07:29.120 --> 00:07:31.440]   And once you begin to understand that,
[00:07:31.440 --> 00:07:32.880]   things that seem crazy, like,
[00:07:32.880 --> 00:07:35.280]   "Wait, how did they not tell me
[00:07:35.280 --> 00:07:37.280]   "about the Hunter Biden laptop story?"
[00:07:37.280 --> 00:07:38.800]   Or, "Why did they tell me
[00:07:38.800 --> 00:07:41.200]   "that the thing that I saw with my own eyes,
[00:07:41.200 --> 00:07:42.880]   "which is the obvious mental decline
[00:07:42.880 --> 00:07:44.960]   "of the President of the United States,
[00:07:44.960 --> 00:07:47.280]   "which is relevant to every single person
[00:07:47.280 --> 00:07:51.520]   "in this country and in the world, was a lie?"
[00:07:51.520 --> 00:07:53.360]   And once you start to understand that,
[00:07:53.360 --> 00:07:56.960]   you understand the misconstrual of certain stories,
[00:07:56.960 --> 00:08:00.800]   you understand the absolute silence around others,
[00:08:00.800 --> 00:08:03.520]   and frankly, that's why we're all here.
[00:08:03.520 --> 00:08:06.000]   Like, it's given this tremendous opportunity
